timeline_id,recording_id,source_file,start_time,end_time,duration_seconds,speech_evidence_status,speech_summary,action_keyword_hits,normalized_action_id,problem_category_id,usable_structure_name,candidate_signal_score,candidate_status,source_evidence
rec_001_t001,rec_001,5月13日直播素材.MP4,00:00:00.000,00:02:00.000,120,machine_transcript_pending_manual_review,机器转写高层摘要：口播功能=原因；主题=主题待人工听审；结构倾向=日期/主题不明素材 + 待视觉复核索引；未命中明确动作词族；转写字符数约 17。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,high_level_tags=主题待人工听审; keyword_count=0,,,日期/主题不明素材 + 待视觉复核索引,2,reject_or_low_signal,local_faster_whisper_full_recording_transcript; action_kb_text_keyword_rules; visual_pending_review
rec_001_t002,rec_001,5月13日直播素材.MP4,00:02:00.000,00:04:00.000,120,machine_transcript_pending_manual_review,机器转写高层摘要：口播功能=口播定位；主题=主题待人工听审；结构倾向=日期/主题不明素材 + 待视觉复核索引；未命中明确动作词族；转写字符数约 20。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,high_level_tags=主题待人工听审; keyword_count=0,,,日期/主题不明素材 + 待视觉复核索引,0,reject_or_low_signal,local_faster_whisper_full_recording_transcript; action_kb_text_keyword_rules; visual_pending_review
rec_001_t003,rec_001,5月13日直播素材.MP4,00:04:00.000,00:06:00.000,120,machine_transcript_pending_manual_review,机器转写高层摘要：口播功能=异议；主题=胸部/呼吸练习 / 情绪/关系表达 / 动作/问题关键词命中；结构倾向=多动作组合 + 同一主题推进 + 轻跟练收束；动作词族命中；转写字符数约 454。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,high_level_tags=胸部/呼吸练习 / 情绪/关系表达 / 动作/问题关键词命中; keyword_count=1,presenter_step_count_or_page_turn,course_step_explain,多动作组合 + 同一主题推进 + 轻跟练收束,7,candidate_signal,local_faster_whisper_full_recording_transcript; action_kb_text_keyword_rules; visual_pending_review
rec_001_t004,rec_001,5月13日直播素材.MP4,00:06:00.000,00:08:00.000,120,machine_transcript_pending_manual_review,机器转写高层摘要：口播功能=异议；主题=动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达；结构倾向=问题问答 + 原因解释 + 方法边界；动作词族命中；转写字符数约 548。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,high_level_tags=动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达; keyword_count=2,course_relationship_problem_reference,relationship_communication,问题问答 + 原因解释 + 方法边界,8,candidate_signal,local_faster_whisper_full_recording_transcript; action_kb_text_keyword_rules; visual_pending_review
rec_001_t005,rec_001,5月13日直播素材.MP4,00:08:00.000,00:10:00.000,120,machine_transcript_pending_manual_review,机器转写高层摘要：口播功能=异议；主题=胸部/呼吸练习 / 问题问答/原因解释 / 课程/商品/业务信息 / 情绪/关系表达；结构倾向=问题问答 + 原因解释 + 方法边界；动作词族命中；转写字符数约 591。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,high_level_tags=胸部/呼吸练习 / 问题问答/原因解释 / 课程/商品/业务信息 / 情绪/关系表达; keyword_count=1,course_relationship_problem_reference,relationship_communication,问题问答 + 原因解释 + 方法边界,7,candidate_signal,local_faster_whisper_full_recording_transcript; action_kb_text_keyword_rules; visual_pending_review
rec_001_t006,rec_001,5月13日直播素材.MP4,00:10:00.000,00:12:00.000,120,machine_transcript_pending_manual_review,机器转写高层摘要：口播功能=风险；主题=动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 误区纠错/风险提醒；结构倾向=误区/错误先抛 + 正确动作对比 + 原因解释；动作词族命中；转写字符数约 595。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,high_level_tags=动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 误区纠错/风险提醒; keyword_count=2,presenter_emphasis_warning_pause,risk_boundary,误区/错误先抛 + 正确动作对比 + 原因解释,9,candidate_signal,local_faster_whisper_full_recording_transcript; action_kb_text_keyword_rules; visual_pending_review
rec_001_t007,rec_001,5月13日直播素材.MP4,00:12:00.000,00:14:00.000,120,machine_transcript_pending_manual_review,机器转写高层摘要：口播功能=异议；主题=盆底/产后训练 / 胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达；结构倾向=多动作组合 + 同一主题推进 + 轻跟练收束；动作词族命中；转写字符数约 637。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,high_level_tags=盆底/产后训练 / 胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达; keyword_count=1,presenter_step_count_or_page_turn,course_step_explain,多动作组合 + 同一主题推进 + 轻跟练收束,7,candidate_signal,local_faster_whisper_full_recording_transcript; action_kb_text_keyword_rules; visual_pending_review
rec_001_t008,rec_001,5月13日直播素材.MP4,00:14:00.000,00:16:00.000,120,machine_transcript_pending_manual_review,机器转写高层摘要：口播功能=方法；主题=胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中；结构倾向=问题问答 + 原因解释 + 方法边界；动作词族命中；转写字符数约 566。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,high_level_tags=胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中; keyword_count=4,course_relationship_problem_reference,relationship_communication,问题问答 + 原因解释 + 方法边界,11,candidate_signal,local_faster_whisper_full_recording_transcript; action_kb_text_keyword_rules; visual_pending_review
rec_001_t009,rec_001,5月13日直播素材.MP4,00:16:00.000,00:18:00.000,120,machine_transcript_pending_manual_review,机器转写高层摘要：口播功能=异议；主题=问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中；结构倾向=多动作组合 + 同一主题推进 + 轻跟练收束；动作词族命中；转写字符数约 556。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,high_level_tags=问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中; keyword_count=2,presenter_step_count_or_page_turn,course_step_explain,多动作组合 + 同一主题推进 + 轻跟练收束,7,candidate_signal,local_faster_whisper_full_recording_transcript; action_kb_text_keyword_rules; visual_pending_review
rec_001_t010,rec_001,5月13日直播素材.MP4,00:18:00.000,00:20:00.000,120,machine_transcript_pending_manual_review,机器转写高层摘要：口播功能=异议；主题=动作口令/跟练 / 问题问答/原因解释 / 情绪/关系表达；结构倾向=多动作组合 + 同一主题推进 + 轻跟练收束；动作词族命中；转写字符数约 606。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,high_level_tags=动作口令/跟练 / 问题问答/原因解释 / 情绪/关系表达; keyword_count=1,presenter_step_count_or_page_turn,course_step_explain,多动作组合 + 同一主题推进 + 轻跟练收束,7,candidate_signal,local_faster_whisper_full_recording_transcript; action_kb_text_keyword_rules; visual_pending_review
rec_001_t011,rec_001,5月13日直播素材.MP4,00:20:00.000,00:22:00.000,120,machine_transcript_pending_manual_review,机器转写高层摘要：口播功能=异议；主题=胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中；结构倾向=问题问答 + 原因解释 + 方法边界；动作词族命中；转写字符数约 568。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,high_level_tags=胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中; keyword_count=2,course_relationship_problem_reference,relationship_communication,问题问答 + 原因解释 + 方法边界,8,candidate_signal,local_faster_whisper_full_recording_transcript; action_kb_text_keyword_rules; visual_pending_review
