pair_id,source_id,file_name,file_path,file_size_bytes_manifest,read_bytes,timecode_probe_status,matched_pattern,probe_note
pair_0001,src_scan_0002,10分钟练出紧致 盆底肌.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/10分钟练出紧致 盆底肌.txt,60,60,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0032,src_scan_0003,30岁女性八爪鱼要多久.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/30岁女性八爪鱼要多久.txt,76,76,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0002,src_scan_0006,50+女性练出精致的盆底肌.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/50+女性练出精致的盆底肌.txt,53,53,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0003,src_scan_0008,60岁的夫妻生活还有意思吗.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/60岁的夫妻生活还有意思吗.txt,65,65,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0004,src_scan_0010,60岁还有夫妻生活是种什么体验.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/60岁还有夫妻生活是种什么体验.txt,59,59,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0005,src_scan_0012,S蜜垂吊球练一次收一次.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/S蜜垂吊球练一次收一次.txt,56,56,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0006,src_scan_0014,两个动作让你轻松臀跳舞.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/两个动作让你轻松臀跳舞.txt,55,55,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0007,src_scan_0016,为什么男人都喜欢丰满的女人.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/为什么男人都喜欢丰满的女人.txt,48,48,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0008,src_scan_0018,亚洲和欧洲女性身体上的区别在哪.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/亚洲和欧洲女性身体上的区别在哪.txt,60,60,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0009,src_scan_0020,动态臀桥 练一次收一次.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/动态臀桥 练一次收一次.txt,55,55,no_timecode_found,,regex_no_match;encoding=utf-8-sig
