reason_id,sample_id,file_name,parse_basis,why_someone_might_select,first_glance_value,viewer_problem_value,retention_mechanism,visual_value,core_value_carrier,codex_should_learn,content_archetype,route_decision,candidate_status,problem_action_bridge_seconds,native_completeness_score,repackaging_value_score,teachability_score,risk_boundary,confidence
positive_reason_001,ai_needed_001,30+产后妈妈居家必练动作.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（主讲人正面坐姿，大字幕‘30+产后妈妈 居家必练动作’）,postpartum_or_age_group,动作演示；字幕指令；叠影过渡；重复强化,画面为同一女性在椅上完成四组动作：前两帧为‘漏尿松弛’对应提臀动作（背对镜头），后两帧为‘高张疼痛’与‘盆底Jz’对应震颤动作（侧身视角）；所有动作均配黄色大字幕标注问题+动作+次数；右侧小字竖排‘本方法为辅助改善方式’；无口播画面可见，仅字幕与动作；叠影用于动作过渡，但未改变结构逻辑,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,0.849,5,5,3,health_action_risk_pending_professional_review,high
positive_reason_002,ai_needed_002,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000–00:00:02.115：背对镜头坐姿启动，字幕完整呈现‘35岁以后都去练…最重要的是可以锻炼盆底肌’，画面同步演示坐姿准备态,belly_core_pressure；pelvic_floor；hip_glute_shape；postpartum_or_age_group,动作演示；身体姿态微调,8帧均为同一女性在室内沙发背景前，坐于椅子+瑜伽球上执行重复性骨盆运动；字幕全程未变；前4帧背对，后4帧转为正面半身；无器械更换、无场景切换、无他人出镜；右上角图标轮换（蝴蝶结/鱼/海豚等装饰图）,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,3.76,5,5,4,health_action_risk_pending_professional_review,high
positive_reason_003,ai_needed_003,4月17日(1).mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（侧身扶杆骨盆前倾）、00:00:01.000（手臂上举时腰代偿）体现典型错误模式,general_body_management,对比演示、分步调整、静态定型,前3帧为同一人物在镜前做侧屈伸展，骨盆前倾明显；第4帧切换至仰卧位错误卷腹；第5-6帧为站姿下肢错误动作；最后2帧为正面伸展与闭眼放松。无可见字幕，动作连续性依赖姿态变化而非运镜,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,movement_correction,positive_reference_only,pending_user_review,4.924,5,4,5,health_action_risk_pending_professional_review,high
positive_reason_004,ai_needed_004,5月26日 (2).mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000–00:00:02.198：连续三帧显示相同背影坐姿+固定字幕‘30+女性必练 越练越紧’，构成强人群+痛点开场,general_body_management,动作演示、口令节奏暗示（通过重复帧位变化）,全片仅一人示范；始终背对/侧对镜头；使用粉色瑜伽球辅助；字幕全程固定为‘30+女性必练 越练越紧’；动作在坐姿范围内循环变换（跪坐→盘坐→开胯坐→扭转），无讲解画面或图解；无口型可见，无额外字幕变化,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,3.908,5,5,4,health_action_risk_pending_professional_review,high
positive_reason_005,ai_needed_005,5月26日(1).mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000：主讲人坐姿展示‘八爪鱼’姿势，大字幕‘八爪鱼 越练越紧’，下方图示对比‘正常盆底肌’与‘盆底肌松弛’，顶部标题‘盆底肌瑜伽球 练了就知道有多紧了’已出现，构成结果式开场,general_body_management,动作演示；图解；口令；对比,画面始终为单人室内坐姿演示，使用粉色瑜伽球；每帧含顶部标题‘盆底肌瑜伽球 练了就知道有多紧了’；底部固定图解对比盆底肌状态；左上角小图随帧变化；中段出现呼吸口令字幕；无背景切换或多人出镜；所有动作均为同一姿势的细微调整，未出现独立错误动作示范,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,movement_correction,positive_reference_only,pending_user_review,1,5,5,4,health_action_risk_pending_professional_review,high
positive_reason_006,ai_needed_006,5月26日.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（‘八爪鱼越练越紧’大字+图示对比）,general_body_management,呼吸口令、坐姿动作演示、图解对比,画面中女性坐于瑜伽球上，双腿外展；字幕反复强调‘盆底肌瑜伽球’‘练了就知道有多紧了’；下方固定图解对比‘正常盆底肌’与‘盆底肌松弛’；每帧均有‘吸气打开 呼气收紧’口令；动作从手扶髋→手放膝→轻触腹部→回归膝上，呈呼吸节奏性微调,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,1,5,5,5,health_action_risk_pending_professional_review,high
positive_reason_007,ai_needed_007,5月27日 (1).mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000：字幕‘盆底肌高张疼痛 睡前滚一滚’+人物侧坐位错误姿势（骨盆后倾、腰椎代偿）,general_body_management,动作演示；字幕解释,画面中人物全程使用粉色球置于坐骨结节下方进行髋关节外旋伸展；前两帧显示骨盆后倾+腰椎塌陷（错误），后续帧逐步调整为骨盆中立+脊柱延展（正确）；所有帧均有黄色字幕‘别再瞎练凯格尔 每天睡前跟练5分钟’；首帧额外叠加‘盆底肌高张疼痛 睡前滚一滚’字幕；无口播文字可见，仅靠画面与字幕传递信息,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,movement_correction,positive_reference_only,pending_user_review,1,5,5,3,health_action_risk_pending_professional_review,high
positive_reason_008,ai_needed_008,5月27日.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000–00:00:02.972：展示臀部凹陷姿态+字幕‘产后臀凹陷妈妈臀 练这个就完事了’，构成痛点可视化开场,general_body_management,动作演示；对比；发力点提示,画面中人物坐椅做髋部微蹲类动作；前两帧突出臀部凹陷形态并配痛点文字；后续帧统一显示标准动作位+黄色训练指令字幕+右侧‘不会发力看这里’竖排提示；无口播文字可见，仅字幕信息,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,movement_correction,positive_reference_only,pending_user_review,5.283,5,5,4,health_action_risk_pending_professional_review,high
positive_reason_009,ai_needed_009,70%女性中招的盆底肌误区.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（标题页：70%女性中招的盆底肌误区；配图蜷缩女性）+ 00:00:01.000（主讲人开场：很多人都在问我说）,pelvic_floor；postpartum_or_age_group,口述归因；手势模拟身体部位；表情强化不适感,首帧为图文标题+蜷缩女性形象；后续7帧均为同一主讲人坐姿讲解，配合手部动作指向颈部/腹部区域，字幕逐句呈现‘很多人在问我’‘肩颈劳损时’‘感觉很堵塞’‘盆底肌’‘松在这里’‘评论区留言’；背景书架统一，无场景切换；每帧右上角有固定水印文字‘十五年女性健康行业经验’；底部有小字免责声明‘本内容仅为科普分享…’,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,unclear,positive_reference_only,pending_user_review,11.841,5,4,3,health_action_risk_pending_professional_review,high
positive_reason_010,ai_needed_010,Z宫下垂盆底无力就练臀桥呼吸.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000：大字幕‘Z宫下垂盆底无力 就练臀桥呼吸’+人物仰卧准备位；00:00:01.000：延续同一画面，字幕‘每天练习十分钟 下垂说拜拜’,pelvic_floor；hip_glute_shape,动作演示；解剖图示；口令引导；呼吸节奏提示,画面始终为单人仰卧位臀桥准备/执行状态；左上角固定标题‘每天练习十分钟 下垂说拜拜’；右侧持续出现子宫解剖对比图（正常vs脱垂）；字幕依次呈现痛点→原理→呼吸指令→动作要点→倒计时；无口播画面，仅字幕引导；人物动作从准备到顶峰保持连贯，无明显中断,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,14.323,5,5,5,pending_user_review,high
