trace_id,source_file_id,source_path,copied_or_extracted_path,action_id,problem_id,bridge_id,evidence_type,evidence_summary,review_gate
TRACE0001,SRC00057,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00057_c07cec5976_06_讲师动作时间轴_presenter_action_timeline_extract.csv,unknown_or_unusable_visual_action,manual_review_queue;visual_review_blocker,BRIDGE014,extract_rows,动作时间轴、三线对照和逐句 JSONL 中大量 low_confidence、no_face、scene_no_presenter、OCR unavailable 类状态。,visual_review_required
TRACE0002,SRC00057,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00057_c07cec5976_06_讲师动作时间轴_presenter_action_timeline_extract.csv,unknown_or_unusable_visual_action,,BRIDGE014,extract_rows,source_label_or_keyword_family,visual_review_required
TRACE0003,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_neutral_idle,course_knowledge_explain;presentation_delivery,BRIDGE001,copy_full,动作标签库与触发规则存在该标签；多处桥接建议仍要求人工复核。,visual_review_required
TRACE0004,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_open_explain,presentation_delivery;question_answer_bridge,BRIDGE002,copy_full,动作标签库列出 hand_open_explain；触发规则把 question_prompt 映射到该动作但 confidence=low。,visual_review_required; customer_review_if_used_in_live_script
TRACE0005,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_screen_point_or_highlight,courseware_attention;visual_focus_bridge,BRIDGE003,copy_full,动作标签库含 hand_point_screen、highlight_focus、eye_to_slide、mouse_pointer_move。,visual_review_required; ocr_review_required
TRACE0006,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_step_count_or_page_turn,course_step_explain;method_sequence,BRIDGE004,copy_full,动作标签库含 hand_counting 与 page_turn。,visual_review_required; professional_review_if_exercise_method
TRACE0007,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_emphasis_warning_pause,objection_response;risk_boundary,BRIDGE005,copy_full,动作标签库含 serious_emphasis、pause_thinking；触发规则把 warning_reminder 映射为 serious_emphasis 但 confidence=low。,professional_review_required; compliance_review_required
TRACE0008,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_neutral_idle,,BRIDGE001,copy_full,source_label_or_keyword_family,visual_review_required
TRACE0009,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_neutral_idle,,BRIDGE001,copy_full,source_label_or_keyword_family,visual_review_required
TRACE0010,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_open_explain,,BRIDGE002,copy_full,source_label_or_keyword_family,visual_review_required; customer_review_if_used_in_live_script
