package_id,package_type,candidate_id,p0_gate_result,usable_structure_name,structure_folder,task_folder,task_card_path,speech_clip_path,action_clip_path,full_context_path,contact_sheet_path,speech_export_method,action_export_method,full_context_export_method,technical_probe_status,content_status,notes
R001,true_pair,R513_009,true_pair,问题问答 + 原因解释 + 方法边界,01_问题问答_原因解释方法边界,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_logic_first_video_package/01_问题问答_原因解释方法边界/R001_R513_009,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_logic_first_video_package/01_问题问答_原因解释方法边界/R001_R513_009/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_logic_first_video_package/01_问题问答_原因解释方法边界/R001_R513_009/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_logic_first_video_package/01_问题问答_原因解释方法边界/R001_R513_009/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_logic_first_video_package/01_问题问答_原因解释方法边界/R001_R513_009/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_logic_first_video_package/01_问题问答_原因解释方法边界/R001_R513_009/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M001,manual_review,R513_001,weak_related,工具/动作演示 + 发力口令 + 低压跟练收束,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M001_R513_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M001_R513_001/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M001_R513_001/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M001_R513_001/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M001_R513_001/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M001_R513_001/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M002,manual_review,R513_002,logic_mismatch,问题问答 + 原因解释 + 方法边界,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M002_R513_002,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M002_R513_002/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M002_R513_002/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M002_R513_002/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M002_R513_002/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M002_R513_002/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M003,manual_review,R513_003,weak_related,工具/动作演示 + 发力口令 + 低压跟练收束,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M003_R513_003,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M003_R513_003/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M003_R513_003/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M003_R513_003/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M003_R513_003/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M003_R513_003/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M004,manual_review,R513_004,weak_related,工具/动作演示 + 发力口令 + 低压跟练收束,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M004_R513_004,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M004_R513_004/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M004_R513_004/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M004_R513_004/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M004_R513_004/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M004_R513_004/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M005,manual_review,R513_005,weak_related,工具/动作演示 + 发力口令 + 低压跟练收束,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M005_R513_005,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M005_R513_005/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M005_R513_005/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M005_R513_005/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M005_R513_005/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M005_R513_005/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M006,manual_review,R513_006,logic_mismatch,工具/动作演示 + 发力口令 + 低压跟练收束,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M006_R513_006,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M006_R513_006/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M006_R513_006/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M006_R513_006/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M006_R513_006/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M006_R513_006/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M007,manual_review,R513_007,weak_related,工具/动作演示 + 发力口令 + 低压跟练收束,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M007_R513_007,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M007_R513_007/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M007_R513_007/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M007_R513_007/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M007_R513_007/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M007_R513_007/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M008,manual_review,R513_008,manual_review,工具/动作演示 + 发力口令 + 低压跟练收束,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M008_R513_008,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M008_R513_008/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M008_R513_008/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M008_R513_008/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M008_R513_008/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M008_R513_008/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M009,manual_review,R513_010,logic_mismatch,工具/动作演示 + 发力口令 + 低压跟练收束,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M009_R513_010,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M009_R513_010/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M009_R513_010/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M009_R513_010/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M009_R513_010/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M009_R513_010/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M010,manual_review,R513_011,weak_related,工具/动作演示 + 发力口令 + 低压跟练收束,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M010_R513_011,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M010_R513_011/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M010_R513_011/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M010_R513_011/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M010_R513_011/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M010_R513_011/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M011,manual_review,R513_012,weak_related,工具/动作演示 + 发力口令 + 低压跟练收束,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M011_R513_012,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M011_R513_012/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M011_R513_012/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M011_R513_012/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M011_R513_012/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M011_R513_012/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M012,manual_review,R513_013,weak_related,工具/动作演示 + 发力口令 + 低压跟练收束,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M012_R513_013,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M012_R513_013/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M012_R513_013/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M012_R513_013/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M012_R513_013/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M012_R513_013/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
M013,manual_review,R513_014,logic_mismatch,工具/动作演示 + 发力口令 + 低压跟练收束,06_人工复核池,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M013_R513_014,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M013_R513_014/00_剪辑任务卡.md,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M013_R513_014/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M013_R513_014/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M013_R513_014/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M013_R513_014/04_视觉证据_contact_sheet.jpg,stream_copy,stream_copy,stream_copy,passed,pending_user_review,local media ignored by Git; not a finished video
