standard_id,standard_name,standard_type,sample_type,pair_id,source_id,video_file_name,start_time,end_time,evidence_summary,evidence_role,confidence,status,notes
CORE-01,不能按几秒语音段直接下判断,核心原则,正样片,pair_0001,src_scan_0001,10分钟练出紧致 盆底肌.mp4,00:00:14.960,00:01:10.000,一个动作教学需要连续步骤、感受提示和呼吸节奏共同成立,支持,高,已确认,
CORE-02,完整视频必须形成观看闭环,核心原则,正样片,pair_0032,src_scan_0004,30岁的女性练八爪鱼要多久.mp4,00:00:00.000,00:00:17.400,短视频也能形成问题、方法、工具和互动收束,支持,高,已确认,
CORE-03,文本结构通过不等于画面剪辑通过,边界规则,负样片,pair_0033,src_scan_0063,会跳舞的臀你想拥有吗？.mp4,00:00:00.000,00:00:10.600,动作类短片仅凭文字无法验证动作画面是否匹配,待复核,高,待人工复核,
TH-01,traffic_hook 要建立观看理由并可兑现,入选标准,正样片,pair_0032,src_scan_0004,30岁的女性练八爪鱼要多久.mp4,00:00:00.000,00:00:04.600,用时间预期引发继续观看,支持,高,已确认,
TH-02,traffic_hook 可以用反常识问题开场,入选标准,正样片,pair_0003,src_scan_0007,60岁的夫妻生活还有意思吗.mp4,00:00:00.000,00:00:05.920,用年龄与体验反差打开话题,支持,中,部分成立,
TH-03,traffic_hook 不能只有欲望结果没有解释,排除标准,负样片,pair_0033,src_scan_0063,会跳舞的臀你想拥有吗？.mp4,00:00:00.000,00:00:01.640,只给结果愿望，未建立为什么或如何做到,反例,中,部分成立,
CT-01,course_teaching 需要问题、原因、方法、步骤,入选标准,正样片,pair_0016,src_scan_0033,如何改善X冷淡？.mp4,00:00:00.000,00:00:31.000,围绕改善问题给出认识身体、探索开发、持续强化三层路径,支持,高,已确认,
CT-02,动作教学必须保留完整操作链,入选标准,正样片,pair_0001,src_scan_0001,10分钟练出紧致 盆底肌.mp4,00:00:14.960,00:01:10.000,从站位、方向、感受、呼吸到重复练习形成一组教学块,支持,高,已确认,
CT-03,只有动作和结果承诺不等于完整教学,排除标准,负样片,pair_0030,src_scan_0064,跑跳漏水尴尬 一个小球告别尴尬.mp4,00:00:00.000,00:00:24.280,重复动作加确定结果，缺少原因、条件和适用边界,反例,高,部分成立,
OB-01,objection_response 要先承认疑问再解释依据,入选标准,正样片,pair_0023,src_scan_0047,男性按摩操真的有用吗.mp4,00:00:00.000,00:00:29.600,先提出有用吗，再说明压力、循环、能力和双方感受,支持,高,已确认,
