video_id,file_name,source_path,duration_seconds,resolution,aspect_ratio,analysis_status,video_type_primary,video_type_secondary,structure_formula,opening_type,opening_0_3s_function,opening_reason,middle_delivery_type,middle_delivery_evidence,ending_closure_type,ending_next_action,source_integrity_score,visual_speech_continuity_score,emotion_continuity_score,editing_flow_score,jump_cut_risk,why_complete_or_incomplete,how_to_make_complete,how_middle_avoids_jump,usable_as_reference,manual_review_items,evidence_timecodes,evidence_frame_summaries,notes
fv_0001,30+产后妈妈居家必练动作.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/30+产后妈妈居家必练动作.mp4,10.611,1080x1920,9:16,success,body_care_knowledge,sports_teaching,人群点名 + 痛点放大 + 单动作演示 + 坚持建议,痛点可视化+人群点名,建立身份认同与问题共鸣,"前两帧（00:00:00, 00:00:02）同步展示‘漏尿松弛’字幕+动作，直击目标人群核心困扰；第三帧切换至‘高张疼痛’，扩展痛点维度，强化‘30+产后妈妈’身份标签",分步动作演示+字幕指令固化,00:00:04–00:00:10连续四帧呈现两个不同动作（提臀→震颤），每动作配‘100次’量化指令与对应症状标签，动作连贯、无跳切，镜头固定保障操作可模仿性,动作收束+隐含坚持建议,无显式CTA，但‘100次’重复强调构成行为暗示，引导观众自行跟练,5,5,3,5,low,结构完整：痛点引入→动作交付→隐性行动号召闭环成立；时长10.6s适配单动作教学短视频节奏,无需补充；若需增强转化，可在结尾0.5s加‘收藏跟练’文字提示,同一场景、同一人物、同一座椅+球道具，仅微调体位与字幕变化，无场景/服装/运镜突变,yes,‘漏尿松弛’‘高张疼痛’等医学表述需临床依据确认；‘100次’频次是否适配个体差异需专业复核,"00:00:00.000, 00:00:02.122, 00:00:04.244, 00:00:06.367, 00:00:08.489, 00:00:10.611",F1-2: 背对坐姿提臀，字幕‘漏尿松弛’；F3: 侧身坐姿，字幕‘高张疼痛’；F4: 同F3姿势延续；F5-6: 正面坐姿上下震颤，字幕‘盆底Jz’；所有帧右下角小字标注‘本方法为辅助改善手段’,业务事实待确认：1) ‘漏尿松弛’与‘高张疼痛’属不同病理机制，合并演示需说明适用人群区分；2) ‘100次’为经验性建议，非循证推荐；3) 未见禁忌症提示，存在健康风险隐患
fv_0002,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,11.749,1080x1920,9:16,success,sports_teaching,body_care_knowledge,人群点名 + 低门槛动作 + 坚持建议,文字结论前置+画面同步演示,建立目标人群认同与核心价值承诺,首帧即呈现‘35岁以后都去练’+‘小肚子平了 臀翘了’+‘锻炼盆底肌’三重结果承诺，配合人物背对坐姿准备动作，快速锚定受众与收益,单动作循环演示+身体姿态微调,00:00:02.350–00:00:09.399连续四帧展示同一坐姿骨盆卷动动作的连贯过程：从起始位→顶峰收缩→回位→再启动；手部位置、骨盆角度、呼吸节奏有细微变化，体现动作细节教学,正面收束+强化价值,无明确CTA按钮，但通过重复字幕+人物正脸闭眼深呼吸姿态，暗示‘可立即跟随练习’,5,5,5,5,low,完整闭环：人群定位→动作演示→价值重申；无缺失环节,无需补充,动作连续性高，仅通过微幅体态调整实现节奏变化，无场景/服装/道具突变,yes,‘小肚子平了 臀翘了’‘锻炼盆底肌’等效果承诺需医学依据支持；‘每天100个’是否适合产后/高龄人群需专业复核,"00:00:00.000, 00:00:02.350, 00:00:04.700, 00:00:07.049, 00:00:09.399, 00:00:11.749",帧1-3（0-4.7s）：背对坐姿，双手扶椅，骨盆后倾启动；帧4-6（7-11.7s）：转为正脸，手放腰腹，强调核心参与与呼吸配合；全程字幕一致强化‘35+’‘100个’‘盆底肌’关键词,业务事实待确认：1) 盆底肌锻炼是否可通过该坐姿动作有效达成；2) ‘生完多久了’未限定时间窗，存在误导风险；3) 效果‘小肚子平了 臀翘了’属主观描述，需标注‘个体差异’
fv_0003,4月17日(1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/4月17日(1).mp4,27.353,720x1280,9:16,success,sports_teaching,movement_correction,错误动作 + 正确动作 + 原因解释,结果前置,展示标准动作姿态建立专业信任,首帧为完整拉伸动作（00:00:00），身体线条清晰、姿态规范，符合教学类视频‘先立标杆’的开场逻辑,对比演示+分步拆解,第2帧（00:00:05.471）为手绘坐姿错误示范；第3帧（00:00:10.941）真人站立错误姿势；第4帧（00:00:16.412）真人正确动态动作；第5帧（00:00:21.882）侧视手绘细节修正；第6帧（00:00:27.353）侧视真人收尾定型——形成‘错→对→细节→定型’递进链,动作定型+视觉收束,无明确CTA，但结尾定型姿态暗示可重复练习,5,3,3,5,low,结构闭环：起始标准动作→中间错误/正确对比→结尾定型，符合教学视频完整逻辑；但无字幕/语音佐证，依赖画面推断,补充口播说明各帧对应要点，或添加字幕标注‘常见错误’‘正确要领’等标签,通过手绘与实拍交替切换（帧2/5手绘，帧3/4/6实拍），用风格统一的插画过渡降低跳切感；动作连贯性由同一人物、同场景、同服装保障,yes,需确认是否含语音讲解；业务事实待确认：动作是否针对特定健康问题（如肩颈矫正），是否存在效果承诺表述,"00:00:00.000, 00:00:05.471, 00:00:10.941, 00:00:16.412, 00:00:21.882, 00:00:27.353",帧1：真人正面标准拉伸；帧2：手绘坐姿错误示范；帧3：真人站立错误姿势（耸肩/手位不当）；帧4：真人正确动态动作（开合+呼吸）；帧5：手绘侧视肩颈细节修正；帧6：真人侧视收尾定型,涉及身体动作教学，需业务方确认动作安全性及适用人群；无明显效果承诺，但‘错误vs正确’结构隐含改善预期
fv_0004,5月26日 (2).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日 (2)/5月26日 (2).mp4,12.213,1080x1920,9:16,success,sports_teaching,body_care_knowledge,人群点名 + 低门槛动作 + 坚持建议,文字钩子+背影示范,锁定目标人群并建立紧迫感,首帧即出现‘30+女性必练’+‘越练越紧’强标签，配合人物背影坐姿示范，快速锚定受众与核心价值,循环式动作演示,6帧中4组重复动作序列（坐姿→屈膝开胯→手推膝外展→回正），无讲解字幕但动作连贯、节奏稳定，体现低门槛可复制性,动作收束+视觉强化,隐含‘立即跟练’指令（无口播但动作闭环）,5,3,3,5,low,成片结构完整：人群定位→动作演示→重复强化，符合短视频教学类黄金12秒结构；但无口播/字幕解释原理，依赖观众自行理解,补充1-2句画外音说明‘为何此动作紧致骨盆’或添加箭头标注发力点,固定机位+统一服装/场景+动作周期性重复，消除剪辑跳脱感,yes,‘越练越紧’效果承诺需医学依据确认；动作是否适用于产后/盆底肌受损人群待专业审核,"00:00:00.000, 00:00:02.443, 00:00:04.885, 00:00:07.328, 00:00:09.770, 00:00:12.213",帧1-2：背影坐姿+文字钩子；帧3-4：屈膝开胯过渡；帧5-6：手推膝外展+回正循环；全程同一场景/人物/道具（粉色球），动作幅度小、易模仿,业务事实待确认：‘越练越紧’属效果承诺，需明确指代部位（如盆底肌/臀肌）及适用人群禁忌；建议加注‘个体差异存在，建议咨询医师’
fv_0005,5月26日(1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日(1)/5月26日(1).mp4,14.141,1080x1920,9:16,success,movement_correction,body_care_knowledge,错误动作 + 正确动作 + 原因解释,结果前置+痛点共鸣,用标题与表情强化练习后身体反应,首帧即展示‘练了就知道有多紧了’+人物侧身紧张姿态,分步动作演示+图解辅助,00:02.828-00:11.313连续演示吸气打开/呼气收紧，配盆底肌示意图,动作定格+口型强调,引导观众同步呼吸节奏练习,5,5,5,5,low,6帧覆盖完整动作循环与讲解节点，无缺失环节,无需补充,固定机位+连贯坐姿转换+字幕同步提示呼吸节点,yes,业务事实待确认：盆底肌训练效果承诺表述,"00:00:00.000,00:00:02.828,00:00:05.656,00:00:08.485,00:00:11.313,00:00:14.141",0s侧身紧张态+标题；2.8s开始坐姿准备；5.7s吸气展开；8.5s呼气收紧；11.3s转向镜头讲解；14.1s定格口型强调呼吸指令,业务事实待确认：‘练了就知道有多紧了’属主观感受表述，需合规审核
fv_0006,5月26日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日/5月26日.mp4,14.141,1080x1920,9:16,success,body_care_knowledge,movement_correction,痛点可视化 + 解决方案 + 效果对比 + 行动指令,结果前置+痛点强调,用标题与表情同步触发身体感知共鸣,首帧即呈现‘练了就知道有多累’+皱眉动作，强化体验预期,分步操作演示+图示辅助,6帧均含‘吸气打开-呼气收紧’口令与盆底肌解剖图，动作连贯递进,动作收束+指令强化,引导观众立即跟练单次呼吸循环,5,5,5,5,low,结构闭环：痛点→方法→执行指令完整，无缺失环节,无需补充，当前已完整,动作连续微调（手位/体态变化）+字幕同步更新，无突兀切换,yes,盆底肌训练效果承诺需业务事实待确认,00:00:00.000–00:00:14.141,6帧均为同一人坐姿演示盆底肌瑜伽球练习，字幕统一强调‘练了就知道有多累’，每帧配呼吸指令与解剖图示,涉及健康干预动作，业务事实待确认
fv_0007,5月27日 (1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月27日 (1)/5月27日 (1).mp4,22.384,1080x1920,9:16,success,movement_correction,body_care_knowledge,错误动作 + 正确动作 + 原因解释,字幕观点前置+人物示范起始,用反常识标题引发注意并建立身份权威,首帧即出现‘别再瞎练凯格尔’强否定句式，配合坐姿示范形成认知冲突,多角度动作对比演示,00:00:04-00:00:17六帧中三组正/背/侧视角切换，展示骨盆位置与呼吸配合差异,正面动作定格+眼神确认,引导每日睡前5分钟坚持练习,5,5,5,5,low,结构闭环：问题指出→动作拆解→正确示范→行动号召完整,,同一场景连续拍摄，仅机位微调，无场景跳变,yes,凯格尔训练效果承诺需业务事实待确认,"00:00:00,00:00:04,00:00:09,00:00:13,00:00:18,00:00:22",六帧均为同一女性在室内地毯上用粉色球演示凯格尔相关动作，字幕统一为‘别再瞎练凯格尔 每天睡前跟练5分钟’；前3帧含正面/侧视/背视角度变化，后3帧强化坐姿细节与呼吸配合,涉及盆底肌训练效果表述，业务事实待确认
fv_0008,5月27日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月27日/5月27日.mp4,16.509,1080x1920,9:16,success,movement_correction,body_care_knowledge,错误动作 + 正确动作 + 原因解释,动作演示开场,呈现典型错误坐姿形态,快速建立问题认知锚点,对比式分步演示,六帧连续展示同一动作不同阶段，字幕强调'一组八次上下左右每天10组'及'不会发力位置错误',动作定格强化,引导每日重复训练,5,5,3,5,low,结构完整，动作闭环，无缺失环节,无需补充,固定机位+连续动作流+字幕同步提示,yes,业务事实待确认,00:00:00.000-00:00:16.509,六帧均为同一人坐姿训练动作，从侧面/后侧多角度展示臀部发力错误与调整过程，字幕重复训练频次与常见错误提示,涉及身体训练效果承诺，业务事实待确认
fv_0009,70%女性中招的盆底肌误区.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/70%女性中招的盆底肌误区.mp4,65.782,1080x1920,9:16,success,pitfall_warning,body_care_knowledge,人群点名 + 痛点放大 + 单动作演示 + 坚持建议,结论前置式钩子,用‘70%女性中招’制造身份代入与危机感,文件名与首帧字幕‘干涩漏尿这种情况呢’直接点出高发误区,问题归因+行为警示,00:00:13-00:01:05连续6帧聚焦‘有紧缩’‘情绪长期处一种’‘越练越严重’等错误认知与后果,风险升级收束,隐含‘需专业评估’而非自行操作,5,5,5,5,low,结构闭环：痛点→归因→错误后果→隐含正确路径,无需补充，当前已完整传递警示逻辑,同一场景+连贯手势+字幕递进，无场景跳变,yes,业务事实待确认：70%数据来源、‘越练越严重’临床依据,"00:00:00,00:00:13,00:00:26,00:00:39,00:00:52,00:01:05",六帧均为同一主讲人坐姿讲解，字幕依次呈现：干涩漏尿→很多人不知道→都是有紧缩的→情绪长期处一种→要解决起来→可能越练越严重,涉及健康效果承诺，业务事实待确认
fv_0010,Z宫下垂盆底无力就练臀桥呼吸.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/Z宫下垂盆底无力就练臀桥呼吸.mp4,79.575,1080x1920,9:16,success,sports_teaching,body_care_knowledge,痛点问题 + 原因解释 + 方法交付,字幕+图示+动作启动,点名宫下垂盆底无力问题并给出解决方案,首帧即出现‘宫下垂盆底无力就练臀桥呼吸’标题与解剖图示,分步口令引导式教学,00:00:15-00:01:19连续6帧展示臀桥呼吸各阶段：起始→收会阴→向中收紧→吸气→数数节奏，字幕同步指令,节奏收束+数字计数强化,暗示每日练习十分钟可改善,5,5,5,5,low,完整呈现单一动作全流程，无缺失环节,无需补充,固定机位+连续动作+字幕递进，无场景切换,yes,业务事实待确认：宫下垂与臀桥呼吸的医学关联性,"00:00:00,00:00:15,00:00:31,00:00:47,00:01:03,00:01:19",六帧依次显示：标题+解剖图→起始位→收会阴→盆底肌向中收紧→吸气→数数节奏（1987654321）,涉及健康效果承诺，业务事实待确认
