candidate_id,pair_group_id,recording_id,usable_structure_name,pair_relation,talk_start_time,talk_end_time,talk_function,action_start_time,action_end_time,action_function,target_problem,why_pair,editor_sequence_advice,front_back_split_status,editor_first_step,editor_note
live_cand_0004,pair_0004,rec_001,误区/错误先抛 + 正确动作对比 + 原因解释,talk_before_action,00:10:00.000,00:12:00.000,风险,00:10:00.000,00:12:00.000,纠错,risk_boundary,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0006,pair_0006,rec_001,问题问答 + 原因解释 + 方法边界,intercut_needed,00:14:00.000,00:16:00.000,方法,00:14:00.000,00:16:00.000,演示,relationship_communication,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0011,pair_0011,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,intercut_needed,00:24:00.000,00:26:00.000,方法,00:24:00.000,00:26:00.000,证据,breathing_coordination,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0012,pair_0012,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,intercut_needed,00:26:00.000,00:28:00.000,方法,00:26:00.000,00:28:00.000,证据,breathing_coordination,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0013,pair_0013,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,talk_before_action,00:28:00.000,00:30:00.000,风险,00:28:00.000,00:30:00.000,证据,course_step_explain,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0014,pair_0014,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,talk_before_action,00:30:00.000,00:32:00.000,风险,00:30:00.000,00:32:00.000,工具展示,breathing_coordination,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0015,pair_0015,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,intercut_needed,00:32:00.000,00:34:00.000,方法,00:32:00.000,00:34:00.000,演示,course_step_explain,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0016,pair_0016,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,talk_before_action,00:34:00.000,00:36:00.000,风险,00:34:00.000,00:36:00.000,跟练,breathing_coordination,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0017,pair_0017,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,intercut_needed,00:36:00.000,00:38:00.000,方法,00:36:00.000,00:38:00.000,演示,course_step_explain,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0018,pair_0018,rec_001,痛点/人群点名 + 单动作完整循环 + 坚持建议,talk_before_action,00:38:00.000,00:40:00.000,风险,00:38:00.000,00:40:00.000,工具展示,pelvic_floor_training,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0019,pair_0019,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,intercut_needed,00:40:00.000,00:42:00.000,方法,00:40:00.000,00:42:00.000,工具展示,course_step_explain,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0022,pair_0022,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,intercut_needed,00:46:00.000,00:48:00.000,方法,00:46:00.000,00:48:00.000,纠错,course_step_explain,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0023,pair_0023,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,intercut_needed,00:48:00.000,00:50:00.000,方法,00:48:00.000,00:50:00.000,演示,breathing_coordination,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0024,pair_0024,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,intercut_needed,00:50:00.000,00:52:00.000,方法,00:50:00.000,00:52:00.000,证据,breathing_coordination,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0025,pair_0025,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,talk_before_action,00:52:00.000,00:54:00.000,痛点,00:52:00.000,00:54:00.000,演示,course_step_explain,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0026,pair_0026,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,intercut_needed,00:56:00.000,00:58:00.000,方法,00:56:00.000,00:58:00.000,跟练,courseware_attention,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0027,pair_0027,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,intercut_needed,00:58:00.000,01:00:00.000,方法,00:58:00.000,01:00:00.000,演示,course_step_explain,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0028,pair_0028,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,talk_before_action,01:00:00.000,01:02:00.000,风险,01:00:00.000,01:02:00.000,演示,course_step_explain,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0030,pair_0030,rec_001,误区/错误先抛 + 正确动作对比 + 原因解释,talk_before_action,01:04:00.000,01:06:00.000,风险,01:04:00.000,01:06:00.000,演示,risk_boundary,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0031,pair_0031,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,talk_before_action,01:06:00.000,01:08:00.000,风险,01:06:00.000,01:08:00.000,证据,course_step_explain,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0032,pair_0032,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,intercut_needed,01:08:00.000,01:10:00.000,方法,01:08:00.000,01:10:00.000,证据,course_step_explain,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
live_cand_0033,pair_0033,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,intercut_needed,01:10:00.000,01:12:00.000,方法,01:10:00.000,01:12:00.000,证据,course_step_explain,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,not_available_from_pair_table_same_time_range,先看完整上下文，人工确认主问题、动作完整循环和可剪切点。,不做前后段自动拆分；如人工确认口播和动作确实分离，再由剪辑师在 full_context 内二次切点。
