candidate_id,recording_id,start_time,end_time,reject_reason,missing_part,could_be_fixed_by_manual_edit,notes
rej_001,rec_001,00:00:00.000,00:01:30.000,无有效开头理由、中段交付缺失、结尾非自然收束；仅含静态坐姿与零散手势，无法构成独立内容单元,opening/middle/ending/evidence,unclear,若前后段含口播/字幕/动作连贯性，可能补全；当前窗口孤立无效
rej_002,rec_001,00:02:50.000,00:04:20.000,缺乏开头观看理由与结尾收束；中段仅有讲解姿态，无可验证的动作/方法交付证据,opening/middle/ending/evidence,unclear,若前序窗口含问题引入（如‘腰痛困扰？’），本段或可补为中段；但当前独立窗口不满足完整性
rej_003,rec_001,00:04:20.000,00:05:50.000,结尾帧无收束信号；全程无信息增量，重复讲解姿态,ending/evidence,no,末帧手势开放，易被误判为结束，实为持续讲解中段
rej_004,rec_001,00:05:40.000,00:08:40.000,无明确开头观看理由（未说明问题/目标/受众），中段仅有手势变化无实质方法交付，结尾无自然收束；缺乏字幕/道具/流程支撑完整性,"opening,middle,ending,evidence",unclear,若前序窗口含问题引入（如‘今天教你缓解腰酸’），本段或可作为方法演示片段，但当前独立窗口不成立
rej_005,rec_001,00:08:30.000,00:11:30.000,开头无观看理由建立，中段动作缺乏可识别交付内容，结尾无收束信号；整体为片段化讲解，不满足完整候选结构要求,opening/evidence/continuity,unclear,若前段含问题引入（如观众留言截图）、后段含总结+CTA，则可拼接成完整单元；当前独立窗口无效
rej_006,rec_001,00:11:20.000,00:14:20.000,缺乏开头观看理由、中段无真实可验证交付、结尾无自然收束；仅单人静态讲解片段，无结构完整性,"opening,middle,ending,evidence",unclear,若前段有引入问题、后段有演示/总结，可能拼接成完整段；当前独立窗口不成立
rej_007,rec_001,00:14:10.000,00:17:10.000,缺少结构化开头（无观看理由/问题引入）与中段真实交付证据（动作无步骤说明、无原理/效果支撑）；仅靠视觉动作无法判定为完整教学片段,"opening,middle,evidence",unclear,若前段含问题引入、后段含总结/呼吁，则可拼接成完整单元；当前独立窗口不满足初剪完整性标准
rej_008,rec_001,00:17:00.000,00:20:00.000,无明确开头观看理由（未说明问题/价值）、中段动作无上下文支撑为有效交付、结尾无自然收束；仅靠重复手部动作不足以构成完整片段,opening/middle/ending/evidence,unclear,若前序帧含问题引入（如‘肩颈僵硬怎么办？’），本段或可作为方法演示部分；但当前独立窗口不完整
rej_009,rec_001,00:19:50.000,00:22:50.000,无明确开头观看理由与结尾自然收束；中段动作存在但交付完整性依赖口播，画面证据不足,opening/ending/evidence,unclear,若前段含痛点引入（如患者主诉画面）、后段含总结话术，则可拼接成完整片段
rej_010,rec_001,00:22:40.000,00:25:40.000,无明确开头动机、中段交付缺失、结尾未收束；仅静态坐姿+零星持物动作，无法独立成段,opening/middle/ending/evidence,unclear,若前段含问题引入、后段含总结话术，可拼接为完整片段；当前窗口仅为中间演示切片
rej_011,rec_001,00:25:30.000,00:28:30.000,无明确开头观看理由（无问题引入/价值承诺）、中段仅有手势无实质交付证据、结尾无自然收束；整体为持续讲解片段但缺乏结构锚点,opening/middle/ending/evidence,unclear,若前段含问题陈述、后段含总结/转化，则本段可作中段填充；单独不可用
rej_012,rec_001,00:28:20.000,00:31:20.000,无明确开头观看理由与结尾收束；中段仅动作序列，缺乏方法讲解证据（无字幕/道具说明/步骤分解）,opening/ending/evidence,unclear,若前段含痛点引入、后段含总结，则可拼接成完整片段；当前独立窗口不满足初剪完整性
rej_013,rec_001,00:31:10.000,00:34:10.000,无开头观看理由、无中段实质交付、结尾非自然收束；仅静态坐姿+零星手势，无法构成独立内容单元,opening/middle/ending/evidence,unclear,换装发生在00:33:47.500（窗口后1/3处），疑似场景切换，但无过渡说明；前后动作无逻辑递进
rej_014,rec_001,00:34:00.000,00:37:00.000,缺乏开头观看理由、中段真实交付、结尾收束三要素；仅呈现静态坐姿与微动作，无信息密度,"opening,middle,ending,evidence",unclear,最后一帧换装突兀，疑似剪辑断点；需结合前后音频与字幕判断是否为完整模块
rej_015,rec_001,00:36:50.000,00:39:50.000,无明确开头观看理由、无结尾收束；中段动作缺乏可识别的交付结构（步骤/原理/验证）；仅靠连续坐姿+手势不足以构成完整教学片段,opening/ending/evidence,unclear,若前段有痛点引入、后段有总结，则可拼接成完整单元；当前孤立窗口不满足初剪完整性标准
rej_016,rec_001,00:39:40.000,00:42:40.000,开头无观看理由建立，中段无明确方法交付证据，结尾未收束；仅靠重复坐姿+手部动作无法构成完整单元,opening/middle/ending/evidence,unclear,若前段含问题引入（如‘很多人肚子胀气’），后段含总结（如‘记住这三点’），可合并成完整片段；当前独立窗口不成立
rej_017,rec_001,00:42:30.000,00:45:30.000,无完整结构：开头未建立观看理由，中段仅展示物品无方法/逻辑链，结尾无收束；动作孤立，缺乏叙事支撑,opening/middle/ending/evidence,unclear,若前段含问题引入、后段含总结/转化，则可拼接成完整片段；当前独立窗口不满足初剪完整性标准
rej_018,rec_001,00:45:20.000,00:48:20.000,缺乏完整结构：无明确开头（观看理由）、无中段实质交付（仅手势无动作/方法演示）、无结尾收束；黑帧过多导致连续性断裂,opening/middle/ending/evidence/continuity,unclear,若前段含问题引入、后段含总结/行动号召，可合并成完整片段；当前独立窗口不满足初剪完整性标准
rej_019,rec_001,00:48:10.000,00:51:10.000,缺乏完整结构：无明确开头观看理由、无中段实质交付、无结尾收束；仅静态坐姿+零星手势，无法构成独立内容单元,"opening,middle,ending,evidence",unclear,若前后片段含起始介绍与结束致谢，本段或可作中间填充，但单独不可用
rej_020,rec_001,00:51:00.000,00:54:00.000,缺乏开头观看理由与结尾收束；中段仅持物无实质交付；无法独立成完整片段,opening/ending/evidence,unclear,若前段有痛点引入、后段有总结转化，可拼接使用；当前窗口孤立无效
rej_021,rec_001,00:53:50.000,00:56:50.000,无明确开头观看理由、无中段实质性交付、无结尾收束；仅为持续讲解片段，缺乏结构完整性,opening/middle/ending/evidence,unclear,若前序窗口含问题引入、后续窗口含总结，则可合并成完整段；当前独立窗口不满足初剪候选标准
