speech_unit_id,source_file,speech_start_time,speech_end_time,duration_seconds,speech_type,speech_claimed_action,speech_claimed_problem,speech_claimed_function,action_keywords,problem_keywords,asr_text_excerpt,notes
SU001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:05:48.870,00:07:55.370,126.5,action_instruction,呼吸练习,胸部/乳房状态,配合呼吸完成练习,动作；呼吸；练习；乳房,乳腺,我就会很担心我自己 我自己会有这样的情况 所以我长大过后 我会特别关注乳房的健康 但即便是这样 但是依然还是会面临着乳房开始出现的一些问题 短短的一两年的时间 我从一个很健康的状态 然后也有了一些真生也有些解解 其实刚开始的时候我是不但能够接受 我自己的有真相和洁洁这件事情的 我觉得我都已经这么多关注他了 我就觉得我这么多去练习 对吧 呼吸 可是为什么他还是会有这些问题呢 但是其实我一直在试图控制他 一直在试图不让他出现问题 或是说其实,from_asr_cache_resegmented; not_old_102_window
SU002,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:07:30.970,00:09:25.170,114.2,problem_explain,动作/练习口播,胸部/乳房状态,建立身体连接,动作；胸；乳房,胸；乳腺,可是為什麼這樣的問題在我身上出現 每個人都帶著自己的可能 一夜的也好 或姻緣也好 信號也好來到這個世界上 所以當他的得了乳腺癌過後 他把乳房切除了過後 他很长的时间他没有办法接受这个事实 意觉不正 甚至他都觉得他不配再去交别人的瑜伽 因为真正瑜伽的含义不在于动作的拉伸 而在于融合 在于阴阳 在于内在和外在的连接 但是恰恰是那段时间 让他开始对瑜伽的意义有了更深刻的理解 所以后来他开始出来做了大量的公益宣传 他勇敢的把自己切掉的乳房 坦露,from_asr_cache_resegmented; not_old_102_window
SU003,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:13:06.910,00:14:03.010,56.1,action_related,动作/练习口播,胸部/乳房状态,动作教学,乳房,,有的人可能是在下半部分 大家也可以打在评论区 然后跟我去回应 去互动 因为你去看见他的那一刻 我们说看见及疗愈 所以当你能意识得到 你的乳房的健康也好 松弛也好 或说它出现问题也好 它不是单一的存在的 那么讲讲乳房的上下 上下呢 那如果是你在乳房的上部分 然后出现的问题 它跟什么有关系呢 上面就跟我们的自我价值感 尊严感有关系 然后我们会是因为别人的评价 或者说一些社会身份没有得到认同 就觉得好像别人不认可自己 觉得自己的地位不够高 或,from_asr_cache_resegmented; not_old_102_window
SU004,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:14:45.030,00:16:08.190,83.16,problem_explain,动作/练习口播,胸部/乳房状态,动作教学,乳房,乳腺,然后总是感觉在这种关系当中 好像自己在委屈求全 好像觉得只有自己一个人在经营 好像只有自己一个人在 在很努力地在维系这段关系 这种纠结 这种委屈 那么就会在你的乳房的下部储存起来 所以讲到这里 然后你也可以对照一下自己 我是在哪个部分 我可能确确实是有这样的一个状况 或者是有这样的信号 大家也可以去发达我们的聊天区 那当然除了位置以外 我们乳房它有不同的呈现的问题 比如说有的人是姐姐 有的人是真身 有的人是郎总 对吗 好 那么不同的情况,from_asr_cache_resegmented; not_old_102_window
SU005,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:16:29.150,00:17:29.070,59.92,problem_explain,动作/练习口播,胸部/乳房状态,动作教学,,乳腺,眼內往肚子裡咽 所以你看我們很多時候眼淚都不允許它流出來 我們只能讓它往肚子裡咽 往心裡流 那麼其實這個對我們來講就是一個非常大的一個影響 好 然後還有就是由乳腺增生的 我也教大家怎麼測 怎麼摸 如果你摸到有一條一條的這種腳趾增生 那麼它跟什麼有關呢 就跟你長期的精神的緊繃有關係 因為乳腺增生它是一條一條的 就是长期的精神的紧繃繃的一个小 或者说你那些一直放不下的事 或者说总是担心自己健康出了问题 担心自己会不会抛弃 担心安全感等等 总,from_asr_cache_resegmented; not_old_102_window
SU006,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:19:43.110,00:21:00.210,77.1,problem_explain,动作/练习口播,胸部/乳房状态,建立身体连接,练习；胸；乳房,胸；萎缩,允许自己去哭泣 允许自己难过 就一想哭就哭 就像我跟大家讲课我花好眼泪流 我不想去阻止它 我就是当下听到这个音乐 想到大家几天的练习 也连接到了很多人的这种情绪 以及包括女性 我们生了孩子过后 就是会觉得自己的身材怎么样呢呀 我曾经也面临过生了孩子过后 那个胸一下子就萎缩了 就没有了 就有一个徒弟被嘲笑 被伴侣说哎呀 怎么这个样子 就是就很多很多这些 其实也会在 然后那么允许自己去难过去哭泣 你会发现你看当我们在哭泣的时候 我们的乳房是,from_asr_cache_resegmented; not_old_102_window
SU007,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:21:15.090,00:23:24.270,129.18,sales_or_course,胸部呼吸/胸腔扩张,胸部/乳房状态,建立身体连接,呼吸；练习；胸；乳房；按摩,胸,让眼泪无声地滑落 它就那个水泡 装满内水的水带 就慢慢地释放 那如果你有真身的 那特别适合做什么呢 做呼吸 做冥想 做进行 因为真身的人 就是因为缺乏安全感 长期紧绷 然后焦虑造成的 那我们要放下过度的担心 世界末日不会到来 明天也照样太阳会升起来 哪怕是穷一点 没关系 没有谁是被饿死的 对吗 所以就是当我们能放下过度的担心 我们能够每天去跟乳房去连接 去做深呼吸 来去做进心 相信我们的身体它有这样治愈的能力 我们不再过度地去焦虑 我们,from_asr_cache_resegmented; not_old_102_window
SU008,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:22:51.870,00:24:58.660,126.79,action_instruction,双手抬至肩高的呼吸动作,胸部/乳房状态,放松和降低紧张,呼吸；吸气；练习；收缩；放松；肩；胸；胸腔；乳房；按摩,胸,我们也可以在心里把刚刚听到的这些话 这些内容想要对自己讲的 帮我把那个锣开一下 想要对自己讲的 然后呢去讲出来 对 然后你可以边按摩的时候 可以边告诉自己 我健康 我柔软 我值得被爱 我允许自己的脆弱 我允许自己的悲伤 我被爱包围着 然后等等这样的 就是正向的这样子一个信息的传递给到它 好 OK 好 那准备好了吗 那接下来喝个水 稍等一下 首先我们来做一个 关于乳房的呼吸的练习 前两天我们也学了 学了关于凶势的呼吸和凶势打气 对不对 好,from_asr_cache_resegmented; not_old_102_window
SU009,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:24:25.460,00:26:33.720,128.26,action_instruction,双手抬至肩高的呼吸动作,胸部/乳房状态,放松和降低紧张,动作；吸气；收缩；放松；肩；肩膀；胸；胸腔,胸；肩膀,我们的手就想像这个球在你的身体的中间 然后慢慢地让它变大变大变大变大变大变大 好 呼气的时候 想像这个球在像中间收缩 对 就这样抱球的方式 感觉自己真的包着一个气团 一个气球 你可以先看我做 然后就闭上眼睛自己做 鼻子吸气 吸气的时候吸到胸腔 伴手的手向两侧打开 嘴巴呼气 手向内收 肩膀自然地放松 如果你感觉肩膀有些怂肩 让你肩部自然放松 手臂自然地向下坠的感觉 吸气 用胸肌带动 我们的手向两边打开 像一个巨大的能量球 好 呼气 感受这,from_asr_cache_resegmented; not_old_102_window
SU010,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:25:54.950,00:27:28.360,93.41,action_instruction,胸部呼吸/胸腔扩张,胸部/乳房状态,打开/扩张目标部位,动作；吸气；胸,胸,也许是白色 感受它也许是红色在慢慢的扩张 好 呼气 对 当你知道这个动作怎么做 你可以闭上眼睛 我们一起来做一个胸部的能量的扩张 想象在你的胸口处有一个小小的球 吸气 让那个小小的球扩张 带动的手向外打开 呼气 再次吸气 吸气 呼气 吸气 呼气 吸气,from_asr_cache_resegmented; not_old_102_window
