alias_id,source_alias,normalized_action_id,normalized_action_name_cn,alias_type,source_basis,source_file_ids,normalization_status,review_gate,notes
ALIAS001,neutral_idle,presenter_neutral_idle,自然讲解/默认静止,source_label,source_label_or_keyword_family,SRC00058;SRC00342,ready_for_screening_with_review_gate,visual_review_required,保留 confidence/review_flag 闸门。
ALIAS002,自然静止,presenter_neutral_idle,自然讲解/默认静止,cn_label,source_label_or_keyword_family,SRC00058;SRC00342,ready_for_screening_with_review_gate,visual_review_required,保留 confidence/review_flag 闸门。
ALIAS003,hand_open_explain,presenter_open_explain,张手解释/开放讲解,source_label,source_label_or_keyword_family,SRC00058;SRC00342,ready_for_screening_with_review_gate,visual_review_required; customer_review_if_used_in_live_script,保留 confidence/review_flag 闸门。
ALIAS004,张手解释,presenter_open_explain,张手解释/开放讲解,cn_label,source_label_or_keyword_family,SRC00058;SRC00342,ready_for_screening_with_review_gate,visual_review_required; customer_review_if_used_in_live_script,保留 confidence/review_flag 闸门。
ALIAS005,question_prompt,presenter_open_explain,张手解释/开放讲解,prosody_label,source_label_or_keyword_family,SRC00063;SRC00347,ready_for_screening_with_review_gate,visual_review_required; customer_review_if_used_in_live_script,保留 confidence/review_flag 闸门。
ALIAS006,hand_point_screen,presenter_screen_point_or_highlight,指向课件/屏幕重点,source_label,source_label_or_keyword_family,SRC00058;SRC00342,ready_for_screening_with_review_gate,visual_review_required; ocr_review_required,保留 confidence/review_flag 闸门。
ALIAS007,highlight_focus,presenter_screen_point_or_highlight,指向课件/屏幕重点,source_label,source_label_or_keyword_family,SRC00058;SRC00342,ready_for_screening_with_review_gate,visual_review_required; ocr_review_required,保留 confidence/review_flag 闸门。
ALIAS008,eye_to_slide,presenter_screen_point_or_highlight,指向课件/屏幕重点,source_label,source_label_or_keyword_family,SRC00058;SRC00342,ready_for_screening_with_review_gate,visual_review_required; ocr_review_required,保留 confidence/review_flag 闸门。
ALIAS009,mouse_pointer_move,presenter_screen_point_or_highlight,指向课件/屏幕重点,source_label,source_label_or_keyword_family,SRC00058;SRC00342,ready_for_screening_with_review_gate,visual_review_required; ocr_review_required,保留 confidence/review_flag 闸门。
ALIAS010,hand_counting,presenter_step_count_or_page_turn,步骤数数/翻页承接,source_label,source_label_or_keyword_family,SRC00058;SRC00342,ready_for_screening_with_review_gate,visual_review_required; professional_review_if_exercise_method,保留 confidence/review_flag 闸门。
ALIAS011,page_turn,presenter_step_count_or_page_turn,步骤数数/翻页承接,source_label,source_label_or_keyword_family,SRC00058;SRC00342,ready_for_screening_with_review_gate,visual_review_required; professional_review_if_exercise_method,保留 confidence/review_flag 闸门。
ALIAS012,serious_emphasis,presenter_emphasis_warning_pause,严肃强调/风险提醒/停顿,source_label,source_label_or_keyword_family,SRC00058;SRC00342,ready_for_screening_with_review_gate,professional_review_required; compliance_review_required,保留 confidence/review_flag 闸门。
ALIAS013,pause_thinking,presenter_emphasis_warning_pause,严肃强调/风险提醒/停顿,source_label,source_label_or_keyword_family,SRC00058;SRC00342,ready_for_screening_with_review_gate,professional_review_required; compliance_review_required,保留 confidence/review_flag 闸门。
ALIAS014,warning_reminder,presenter_emphasis_warning_pause,严肃强调/风险提醒/停顿,prosody_label,source_label_or_keyword_family,SRC00063;SRC00347,ready_for_screening_with_review_gate,professional_review_required; compliance_review_required,保留 confidence/review_flag 闸门。
ALIAS015,盆底肌,course_pelvic_floor_training_reference,盆底/私密训练关键词族,course_term,source_label_or_keyword_family,SRC13403,ready_for_screening_with_review_gate,professional_review_required; health_claim_review_required,保留 confidence/review_flag 闸门。
ALIAS016,私密训练,course_pelvic_floor_training_reference,盆底/私密训练关键词族,course_term,source_label_or_keyword_family,SRC13403,ready_for_screening_with_review_gate,professional_review_required; health_claim_review_required,保留 confidence/review_flag 闸门。
ALIAS017,私密瑜伽,course_pelvic_floor_training_reference,盆底/私密训练关键词族,course_term,source_label_or_keyword_family,SRC13403,ready_for_screening_with_review_gate,professional_review_required; health_claim_review_required,保留 confidence/review_flag 闸门。
ALIAS018,收紧/放松,course_pelvic_floor_training_reference,盆底/私密训练关键词族,course_term_family,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,professional_review_required; health_claim_review_required,保留 confidence/review_flag 闸门。
ALIAS019,呼吸,course_breathing_coordination_reference,呼吸配合关键词族,course_term,source_label_or_keyword_family,SRC13403,ready_for_screening_with_review_gate,professional_review_required,保留 confidence/review_flag 闸门。
ALIAS020,后入式,course_position_method_reference,亲密姿势方法词族,sensitive_course_term,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,敏感词族不展开源内操作细节。
ALIAS021,後入式,course_position_method_reference,亲密姿势方法词族,sensitive_asr_or_traditional_alias_pending_review,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,敏感词族不展开源内操作细节。
ALIAS022,传教式,course_position_method_reference,亲密姿势方法词族,sensitive_course_term,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,敏感词族不展开源内操作细节。
ALIAS023,女上位,course_position_method_reference,亲密姿势方法词族,sensitive_course_term,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,敏感词族不展开源内操作细节。
ALIAS024,六九式,course_position_method_reference,亲密姿势方法词族,sensitive_course_term,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,敏感词族不展开源内操作细节。
ALIAS025,六九的姿势,course_position_method_reference,亲密姿势方法词族,sensitive_course_term,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,敏感词族不展开源内操作细节。
ALIAS026,侧卧式,course_position_method_reference,亲密姿势方法词族,sensitive_asr_alias_pending_review,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,敏感词族不展开源内操作细节。
ALIAS027,策卧室/策务室,course_position_method_reference,亲密姿势方法词族,推测_asr_alias_pending_review,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,保留 confidence/review_flag 闸门。
ALIAS028,女骑手/女起手/女尚未,course_position_method_reference,亲密姿势方法词族,推测_asr_alias_pending_review,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,保留 confidence/review_flag 闸门。
ALIAS029,体味技巧,course_position_method_reference,亲密姿势方法词族,推测_asr_alias_pending_review,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,保留 confidence/review_flag 闸门。
ALIAS030,体位技巧,course_body_position_technique_reference,亲密姿势/体位技巧关键词族,sensitive_course_term,source_label_or_keyword_family,SRC13403,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,敏感词族不展开源内操作细节。
ALIAS031,私命瑜伽/私女一家/私密与家,course_pelvic_floor_training_reference,盆底/私密训练关键词族,推测_asr_alias_pending_review,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,professional_review_required; health_claim_review_required,保留 confidence/review_flag 闸门。
ALIAS032,盆底积/盘底机,course_pelvic_floor_training_reference,盆底/私密训练关键词族,推测_asr_alias_pending_review,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,professional_review_required; health_claim_review_required,保留 confidence/review_flag 闸门。
ALIAS033,音道,course_body_position_technique_reference,亲密姿势/体位技巧关键词族,推测_asr_alias_pending_review,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,保留 confidence/review_flag 闸门。
