export_id,candidate_id,pair_group_id,recording_id,usable_structure_name,structure_folder,candidate_folder,source_file,start_time,end_time,duration_seconds,full_context_path,full_context_relpath,full_context_exists,full_context_probe_status,full_context_duration_seconds,width,height,video_codec,audio_codec,export_method,front_clip_path,action_clip_path,front_back_split_status,clip_value_type,recommended_editor_action,manual_review_items,status
A001,live_cand_0004,pair_0004,rec_001,误区/错误先抛 + 正确动作对比 + 原因解释,01_误区错误纠正_错误动作正确动作原因解释,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/01_误区错误纠正_错误动作正确动作原因解释/A001_live_cand_0004_pair_0004_rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:10:00.000,00:12:00.000,120,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/01_误区错误纠正_错误动作正确动作原因解释/A001_live_cand_0004_pair_0004_rec_001/03_完整上下文_full_context.mp4,outputs/local_live_A_editor_package/01_误区错误纠正_错误动作正确动作原因解释/A001_live_cand_0004_pair_0004_rec_001/03_完整上下文_full_context.mp4,true,success,120.020,1920,1080,h264,pcm_s16be,stream_copy,,,not_available_from_pair_table_same_time_range,风险,优先给剪辑师听审和看原片；保留同题口播与动作窗口，先做人工精修候选。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,exported_pending_manual_review
A002,live_cand_0006,pair_0006,rec_001,问题问答 + 原因解释 + 方法边界,02_问题问答_原因解释方法边界,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/02_问题问答_原因解释方法边界/A002_live_cand_0006_pair_0006_rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:14:00.000,00:16:00.000,120,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/02_问题问答_原因解释方法边界/A002_live_cand_0006_pair_0006_rec_001/03_完整上下文_full_context.mp4,outputs/local_live_A_editor_package/02_问题问答_原因解释方法边界/A002_live_cand_0006_pair_0006_rec_001/03_完整上下文_full_context.mp4,true,success,120.020,1920,1080,h264,pcm_s16be,stream_copy,,,not_available_from_pair_table_same_time_range,方法,优先给剪辑师听审和看原片；保留同题口播与动作窗口，先做人工精修候选。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,exported_pending_manual_review
A003,live_cand_0011,pair_0011,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,04_工具动作演示_发力口令低压跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A003_live_cand_0011_pair_0011_rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:24:00.000,00:26:00.000,120,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A003_live_cand_0011_pair_0011_rec_001/03_完整上下文_full_context.mp4,outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A003_live_cand_0011_pair_0011_rec_001/03_完整上下文_full_context.mp4,true,success,120.020,1920,1080,h264,pcm_s16be,stream_copy,,,not_available_from_pair_table_same_time_range,方法,优先给剪辑师听审和看原片；保留同题口播与动作窗口，先做人工精修候选。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,exported_pending_manual_review
A004,live_cand_0012,pair_0012,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,04_工具动作演示_发力口令低压跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A004_live_cand_0012_pair_0012_rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:26:00.000,00:28:00.000,120,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A004_live_cand_0012_pair_0012_rec_001/03_完整上下文_full_context.mp4,outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A004_live_cand_0012_pair_0012_rec_001/03_完整上下文_full_context.mp4,true,success,120.020,1920,1080,h264,pcm_s16be,stream_copy,,,not_available_from_pair_table_same_time_range,方法,优先给剪辑师听审和看原片；保留同题口播与动作窗口，先做人工精修候选。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,exported_pending_manual_review
A005,live_cand_0013,pair_0013,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,05_多动作组合_同一主题推进轻跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A005_live_cand_0013_pair_0013_rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:28:00.000,00:30:00.000,120,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A005_live_cand_0013_pair_0013_rec_001/03_完整上下文_full_context.mp4,outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A005_live_cand_0013_pair_0013_rec_001/03_完整上下文_full_context.mp4,true,success,120.020,1920,1080,h264,pcm_s16be,stream_copy,,,not_available_from_pair_table_same_time_range,风险,优先给剪辑师听审和看原片；保留同题口播与动作窗口，先做人工精修候选。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,exported_pending_manual_review
A006,live_cand_0014,pair_0014,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,04_工具动作演示_发力口令低压跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A006_live_cand_0014_pair_0014_rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:30:00.000,00:32:00.000,120,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A006_live_cand_0014_pair_0014_rec_001/03_完整上下文_full_context.mp4,outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A006_live_cand_0014_pair_0014_rec_001/03_完整上下文_full_context.mp4,true,success,120.020,1920,1080,h264,pcm_s16be,stream_copy,,,not_available_from_pair_table_same_time_range,风险,优先给剪辑师听审和看原片；保留同题口播与动作窗口，先做人工精修候选。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,exported_pending_manual_review
A007,live_cand_0015,pair_0015,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,05_多动作组合_同一主题推进轻跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A007_live_cand_0015_pair_0015_rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:32:00.000,00:34:00.000,120,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A007_live_cand_0015_pair_0015_rec_001/03_完整上下文_full_context.mp4,outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A007_live_cand_0015_pair_0015_rec_001/03_完整上下文_full_context.mp4,true,success,120.020,1920,1080,h264,pcm_s16be,stream_copy,,,not_available_from_pair_table_same_time_range,方法,优先给剪辑师听审和看原片；保留同题口播与动作窗口，先做人工精修候选。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,exported_pending_manual_review
A008,live_cand_0016,pair_0016,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,04_工具动作演示_发力口令低压跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A008_live_cand_0016_pair_0016_rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:34:00.000,00:36:00.000,120,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A008_live_cand_0016_pair_0016_rec_001/03_完整上下文_full_context.mp4,outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A008_live_cand_0016_pair_0016_rec_001/03_完整上下文_full_context.mp4,true,success,120.020,1920,1080,h264,pcm_s16be,stream_copy,,,not_available_from_pair_table_same_time_range,风险,优先给剪辑师听审和看原片；保留同题口播与动作窗口，先做人工精修候选。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,exported_pending_manual_review
A009,live_cand_0017,pair_0017,rec_001,多动作组合 + 同一主题推进 + 轻跟练收束,05_多动作组合_同一主题推进轻跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A009_live_cand_0017_pair_0017_rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:36:00.000,00:38:00.000,120,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A009_live_cand_0017_pair_0017_rec_001/03_完整上下文_full_context.mp4,outputs/local_live_A_editor_package/05_多动作组合_同一主题推进轻跟练收束/A009_live_cand_0017_pair_0017_rec_001/03_完整上下文_full_context.mp4,true,success,120.020,1920,1080,h264,pcm_s16be,stream_copy,,,not_available_from_pair_table_same_time_range,方法,优先给剪辑师听审和看原片；保留同题口播与动作窗口，先做人工精修候选。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,exported_pending_manual_review
A010,live_cand_0018,pair_0018,rec_001,痛点/人群点名 + 单动作完整循环 + 坚持建议,03_痛点人群点名_单动作完整循环坚持建议,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/03_痛点人群点名_单动作完整循环坚持建议/A010_live_cand_0018_pair_0018_rec_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:38:00.000,00:40:00.000,120,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/03_痛点人群点名_单动作完整循环坚持建议/A010_live_cand_0018_pair_0018_rec_001/03_完整上下文_full_context.mp4,outputs/local_live_A_editor_package/03_痛点人群点名_单动作完整循环坚持建议/A010_live_cand_0018_pair_0018_rec_001/03_完整上下文_full_context.mp4,true,success,120.020,1920,1080,h264,pcm_s16be,stream_copy,,,not_available_from_pair_table_same_time_range,风险,优先给剪辑师听审和看原片；保留同题口播与动作窗口，先做人工精修候选。,ASR 校字；原片听审；动作完整循环；画面遮挡；健康/业务/适用人群；敏感表达公开尺度。,exported_pending_manual_review
