contrast_id,sample_type,file_name,positive_reason,negative_reason,matched_existing_rule,missing_new_rule,content_archetype,route_decision,evidence_timecodes,manual_review_items
contrast_001,negative_sample,会跳舞的臀你想拥有吗？.mp4,pending_positive_structure_review,开头只给结果愿望，后文没有足够解释，作为钩子未兑现反例；全片更像结果口号和动作片段，缺少价值和信任铺垫；开头检查；短摘录：想要擁有完美屯線首要疏通靈活跨步日常堅持練習這個動作既能…；用于判断是否有观看理由和后文兑现,引流钩子少于 3 秒要看兑现；促单开头出现默认降级；开头 8 秒内是否建立观看理由,needs_content_archetype_route_bridge_tts_alignment_fields,single_action_tts_teaching,negative_reference_only,00:00:00.000-00:00:01.640；00:00:00.000-00:00:10.600；00:00:00.000-00:00:08.000,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_002,negative_sample,跑跳漏水尴尬 一个小球告别尴尬.mp4,pending_positive_structure_review,用动作次数直接推出结果，缺少对疑问的解释依据；开头检查；短摘录：當你不小心做到這個球上然後前後前後移動100次那麼你的盆…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：左右左右踢吞100次所以你的小腹一定很平坦又一個不小心做…；用于判断课程讲解是否完整,没有解释依据的结果承诺不算回应；开头 8 秒内是否建立观看理由；课程讲解 主体结构块证据,needs_content_archetype_route_bridge_tts_alignment_fields,single_action_tts_teaching,negative_reference_only,00:00:01.840-00:00:17.000；00:00:00.000-00:00:08.000；00:00:08.000-00:00:21.543,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_003,negative_sample,高段位女性都在练习八爪鱼.mp4,pending_positive_structure_review,英文歌词与五结构文本任务不匹配，应保留 unmapped_clip；开头检查；短摘录：thejuicegotyouhatinatthesame…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：thejuicegotyouhatinatthesame…；用于判断无法映射片段是否完整,无法映射片段不按时长硬判；开头 8 秒内是否建立观看理由；无法映射片段 主体结构块证据,needs_content_archetype_route_bridge_tts_alignment_fields,single_action_tts_teaching,negative_reference_only,00:00:09.180-00:00:15.680；00:00:00.000-00:00:08.000；00:00:00.000-00:00:15.720,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_004,positive_sample,10分钟练出紧致 盆底肌.mp4,连续保留站位、动作方向、感受和呼吸，能形成完整教学块；开头检查；短摘录：像我们女生的那些干的呀松的呀冷的呀露的呀就跳她就跳她姐妹…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：就跳她姐妹们每天十分钟带你回到景致如厨让你达到什么滴水什…；用于判断课程讲解是否完整,pending_negative_structure_review,课程讲解 20-60 秒适合完整教学；开头 8 秒内是否建立观看理由；课程讲解 主体结构块证据,needs_content_archetype_route_bridge_tts_alignment_fields,single_action_tts_teaching,positive_reference_only,00:00:14.960-00:01:10.000；00:00:00.000-00:00:08.000；00:00:08.000-00:01:00.000,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_005,positive_sample,30岁的女性练八爪鱼要多久.mp4,开头 5 秒内给出练习多久的观看理由，后面接工具和练习说明；开头检查；短摘录：30家的女性练出八爪鱼需要多久快的一周慢的两周现在很多高…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：都在偷偷练习盆底机现在练习不需要大几万只需要一个同款瑜伽…；用于判断课程讲解是否完整,pending_negative_structure_review,引流钩子 3-8 秒标准区间；开头 8 秒内是否建立观看理由；课程讲解 主体结构块证据,needs_content_archetype_route_bridge_tts_alignment_fields,single_action_tts_teaching,positive_reference_only,00:00:00.000-00:00:04.600；00:00:00.000-00:00:08.000；00:00:08.000-00:00:17.554,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_006,positive_sample,50+女性练出精致的盆底肌.mp4,开头检查；短摘录：不管你生了幾個年齡有多大如果你每天坐在這個球上每天前後移…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：不管你生了幾個年齡有多大如果你每天坐在這個球上每天前後移…；用于判断无法映射片段是否完整；结尾检查；短摘录：不管你生了幾個年齡有多大如果你每天坐在這個球上每天前後移…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；无法映射片段 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,single_action_tts_teaching,positive_reference_only,00:00:00.000-00:00:08.000；00:00:00.000-00:00:11.308；00:00:00.000-00:00:11.308,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_007,positive_sample,60岁的夫妻生活还有意思吗.mp4,开头检查；短摘录：60岁的夫妻生活还有意思吗你听没听过一句话叫做老房子遭火…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：反而很没意思里面参加了太多才有情绪家庭压力各种的这些反而…；用于判断异议回应是否完整；结尾检查；短摘录：当两个人在这个过程还能够很好的品质你会发现女人会变得越来…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；异议回应 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:46.296；00:00:37.296-00:00:49.296,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_008,positive_sample,60岁还有夫妻生活是种什么体验.mp4,有学员年龄、关系背景、学习动机和反馈，能支撑案例信任；开头检查；短摘录：我的目標是到90歲我依然還可以完美的不去生活前來我還會擔…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：有個學員61歲分享了一個非常勁爆的消息全場都炸了他說他男…；用于判断案例信任是否完整,pending_negative_structure_review,案例信任太短会缺背景过程；开头 8 秒内是否建立观看理由；案例信任 主体结构块证据,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:05.600-00:01:35.200；00:00:00.000-00:00:08.000；00:00:08.000-00:01:00.000,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_009,positive_sample,S蜜垂吊球练一次收一次.mp4,开头检查；短摘录：这个球接近两斤重我可以用我的彭丽基的力量很轻松地把它掉起…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：让这个球可以前后摆动可以左右摆动还可以360度的螺旋式的…；用于判断课程讲解是否完整；结尾检查；短摘录：我想顺势真转我想逆势真转就可以转这个叫什么这个叫如如不动…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；课程讲解 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,single_action_tts_teaching,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:26.536；00:00:17.536-00:00:29.536,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_010,positive_sample,两个动作让你轻松臀跳舞.mp4,开头检查；短摘录：要不要学一下臀跳舞蹦蹦蹦蹦蹦蹦蹦蹦来找个椅子坐下来坐板凳…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：然后用你的臀部发力臀部发力来收放收放快速的收收收收用你的…；用于判断促单转化是否完整；结尾检查；短摘录：那我们在这样收的过程你的花园也会往上收核心会发力花园的通…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；促单转化 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:01:00.000；00:01:35.767-00:01:47.767,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
