sample_id,source_scope,relative_path,file_name,top_level_group,excluded_by_user_rule,hidden_resource_fork_skipped,parse_basis,matched_existing_video_id,matched_existing_analysis_status,duration_seconds,width,height,fps,audio_present,file_size_mb,metadata_probe_status,title_hook_type,viewer_problem_tags,core_asset_type,inferred_content_archetype,inferred_route_decision,selection_reason_tags,needs_audio_or_multimodal_review,boundary_status
ai_needed_001,AI需要的成片_non_finished,30+产后妈妈居家必练动作.mp4,30+产后妈妈居家必练动作.mp4,root,no,no,existing_multimodal_structure_reused,fv_0001,reused_existing_ali_recheck_success_no_new_api_call,10.611,1080,1920,60.000,yes,14.640,metadata_only_probe_passed,population_callout_hook,postpartum_or_age_group,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；postpartum_or_age_group；problem_to_action_bridge_short；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned；target_audience_called_out,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_002,AI需要的成片_non_finished,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,root,no,no,existing_multimodal_structure_reused,fv_0002,reused_existing_ali_recheck_success_no_new_api_call,11.749,1080,1920,60.000,yes,16.401,metadata_only_probe_passed,promise_action_hook,belly_core_pressure；pelvic_floor；hip_glute_shape；postpartum_or_age_group,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；belly_core_pressure；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；pelvic_floor；postpartum_or_age_group；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_003,AI需要的成片_non_finished,4月17日(1).mp4,4月17日(1).mp4,root,no,no,existing_multimodal_structure_reused,fv_0003,reused_existing_ali_recheck_success_no_new_api_call,27.353,720,1280,60.000,yes,25.615,metadata_only_probe_passed,topic_title_hook,general_body_management,result_or_problem_statement,movement_correction,positive_reference_only,ending_naturally_closes；general_body_management；high_pattern_reusability；problem_to_action_bridge_short；risk_pending_not_publish_ready；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_004,AI需要的成片_non_finished,5月26日 (2)/5月26日 (2).mp4,5月26日 (2).mp4,5月26日 (2),no,no,existing_multimodal_structure_reused,fv_0004,reused_existing_ali_recheck_success_no_new_api_call,12.213,1080,1920,30.000,yes,11.003,metadata_only_probe_passed,topic_title_hook,general_body_management,result_or_problem_statement,single_action_tts_teaching,positive_reference_only,ending_naturally_closes；general_body_management；high_pattern_reusability；problem_to_action_bridge_short；risk_pending_not_publish_ready；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_005,AI需要的成片_non_finished,5月26日(1)/5月26日(1).mp4,5月26日(1).mp4,5月26日(1),no,no,existing_multimodal_structure_reused,fv_0005,reused_existing_ali_recheck_success_no_new_api_call,14.141,1080,1920,60.000,yes,19.548,metadata_only_probe_passed,topic_title_hook,general_body_management,result_or_problem_statement,movement_correction,positive_reference_only,ending_naturally_closes；general_body_management；high_pattern_reusability；problem_to_action_bridge_short；risk_pending_not_publish_ready；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_006,AI需要的成片_non_finished,5月26日/5月26日.mp4,5月26日.mp4,5月26日,no,no,existing_multimodal_structure_reused,fv_0006,reused_existing_ali_recheck_success_no_new_api_call,14.141,1080,1920,60.000,yes,19.525,metadata_only_probe_passed,topic_title_hook,general_body_management,result_or_problem_statement,single_action_tts_teaching,positive_reference_only,ending_naturally_closes；general_body_management；high_pattern_reusability；problem_to_action_bridge_short；risk_pending_not_publish_ready；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_007,AI需要的成片_non_finished,5月27日 (1)/5月27日 (1).mp4,5月27日 (1).mp4,5月27日 (1),no,no,existing_multimodal_structure_reused,fv_0007,reused_existing_ali_recheck_success_no_new_api_call,22.384,1080,1920,30.000,yes,20.240,metadata_only_probe_passed,topic_title_hook,general_body_management,result_or_problem_statement,movement_correction,positive_reference_only,ending_naturally_closes；general_body_management；high_pattern_reusability；problem_to_action_bridge_short；risk_pending_not_publish_ready；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_008,AI需要的成片_non_finished,5月27日/5月27日.mp4,5月27日.mp4,5月27日,no,no,existing_multimodal_structure_reused,fv_0008,reused_existing_ali_recheck_success_no_new_api_call,16.509,1080,1920,30.000,yes,15.142,metadata_only_probe_passed,topic_title_hook,general_body_management,result_or_problem_statement,movement_correction,positive_reference_only,ending_naturally_closes；general_body_management；high_pattern_reusability；problem_to_action_bridge_short；risk_pending_not_publish_ready；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_009,AI需要的成片_non_finished,70%女性中招的盆底肌误区.mp4,70%女性中招的盆底肌误区.mp4,root,no,no,existing_multimodal_structure_reused,fv_0009,reused_existing_ali_recheck_success_no_new_api_call,65.782,1080,1920,60.000,yes,86.617,metadata_only_probe_passed,population_callout_hook,pelvic_floor；postpartum_or_age_group,semantic_explainer_or_misconception,unclear,positive_reference_only,ending_naturally_closes；high_pattern_reusability；pelvic_floor；postpartum_or_age_group；risk_pending_not_publish_ready；subtitle_and_action_aligned；target_audience_called_out,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_010,AI需要的成片_non_finished,Z宫下垂盆底无力就练臀桥呼吸.mp4,Z宫下垂盆底无力就练臀桥呼吸.mp4,root,no,no,existing_multimodal_structure_reused,fv_0010,reused_existing_ali_recheck_success_no_new_api_call,79.575,1080,1920,60.000,yes,105.348,metadata_only_probe_passed,topic_title_hook,pelvic_floor；hip_glute_shape,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；pelvic_floor；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
