bridge_id,normalized_action_id,normalized_action_name_cn,usable_structure_name,bridge_type,stage1_priority,required_text_evidence,required_visual_evidence,speech_action_sync_requirement,recommended_editor_action,transition_status,visual_review_status,health_business_review_required,candidate_status,manual_review_items,notes
BRIDGE001,presenter_neutral_idle,自然讲解/默认静止,痛点问题 + 原因解释 + 方法交付,语气承接,C,口播完整即可；动作只是呈现层。,人物/数字人状态不冲突即可。,说话、动作、表情/画面三条证据同题；任一断裂则 pending_user_visual_review。,先筛文本完整单元，再看动作/画面证据，最后保留风险边界。,pending_validation,low_confidence_pending_visual_review,no,bridge_only_pending_human_review,visual_review_required,不能写 publish_ready 或业务通过。
BRIDGE002,presenter_open_explain,张手解释/开放讲解,问题问答 + 原因解释 + 方法边界,问题承接,B,问题句、原因句、方法边界完整。,手势、表情、视线同题；否则只作文本候选。,说话、动作、表情/画面三条证据同题；任一断裂则 pending_user_visual_review。,先筛文本完整单元，再看动作/画面证据，最后保留风险边界。,pending_validation,label_defined_but_visual_unconfirmed,yes,bridge_only_pending_human_review,visual_review_required; customer_review_if_used_in_live_script,不能写 publish_ready 或业务通过。
BRIDGE003,presenter_screen_point_or_highlight,指向课件/屏幕重点,工具/动作演示 + 发力口令 + 低压跟练收束,字幕承接,B,口播提到位置、步骤、重点。,课件/OCR/指向/鼠标轨迹需同向。,说话、动作、表情/画面三条证据同题；任一断裂则 pending_user_visual_review。,先筛文本完整单元，再看动作/画面证据，最后保留风险边界。,pending_validation,ocr_or_visual_pending_review,no,screening_helper_pending_visual_review,visual_review_required; ocr_review_required,不能写 publish_ready 或业务通过。
BRIDGE004,presenter_step_count_or_page_turn,步骤数数/翻页承接,多动作组合 + 同一主题推进 + 轻跟练收束,方法承接,B,步骤顺序清楚，多个动作服务同一主题。,翻页或数数动作与口播顺序一致。,说话、动作、表情/画面三条证据同题；任一断裂则 pending_user_visual_review。,先筛文本完整单元，再看动作/画面证据，最后保留风险边界。,pending_validation,label_defined_but_visual_unconfirmed,yes,screening_helper_pending_human_review,visual_review_required; professional_review_if_exercise_method,不能写 publish_ready 或业务通过。
BRIDGE005,presenter_emphasis_warning_pause,严肃强调/风险提醒/停顿,结果前置 + 操作过程 + 注意事项/风险边界,异议承接,A,注意事项、适用/不适用边界必须保留。,语气/字幕/表情至少一项能体现风险提醒。,说话、动作、表情/画面三条证据同题；任一断裂则 pending_user_visual_review。,先筛文本完整单元，再看动作/画面证据，最后保留风险边界。,pending_validation,text_rule_only_pending_audio_visual_review,yes,risk_gate_required_before_live_use,professional_review_required; compliance_review_required,不能写 publish_ready 或业务通过。
BRIDGE006,course_pelvic_floor_training_reference,盆底/私密训练关键词族,痛点/人群点名 + 单动作完整循环 + 坚持建议,动作承接,A,同一痛点、动作口令、低压建议完整。,完整动作循环、发力方向、呼吸/次数、无遮挡。,说话、动作、表情/画面三条证据同题；任一断裂则 pending_user_visual_review。,先筛文本完整单元，再看动作/画面证据，最后保留风险边界。,pending_validation,text_keyword_confirmed_visual_pending_review,yes,screening_candidate_pending_professional_review,professional_review_required; health_claim_review_required,不能写 publish_ready 或业务通过。
BRIDGE007,course_breathing_coordination_reference,呼吸配合关键词族,工具/动作演示 + 发力口令 + 低压跟练收束,方法承接,B,呼吸口令与动作口令同题。,呼吸节奏与动作起势/回位同步。,说话、动作、表情/画面三条证据同题；任一断裂则 pending_user_visual_review。,先筛文本完整单元，再看动作/画面证据，最后保留风险边界。,pending_validation,text_keyword_confirmed_visual_pending_review,yes,screening_candidate_pending_professional_review,professional_review_required,不能写 publish_ready 或业务通过。
BRIDGE008,course_position_method_reference,亲密姿势方法词族,问题问答 + 原因解释 + 方法边界,方法承接,C,只允许高层主题和适用/不适用边界。,本轮不确认视觉；需客户/合规/专业复核。,说话、动作、表情/画面三条证据同题；任一断裂则 pending_user_visual_review。,先筛文本完整单元，再看动作/画面证据，最后保留风险边界。,pending_validation,sensitive_text_only_visual_not_confirmed,yes,do_not_auto_publish_high_sensitive,compliance_review_required; customer_review_required; professional_review_required,不能写 publish_ready 或业务通过。
BRIDGE009,course_body_position_technique_reference,亲密姿势/体位技巧关键词族,问题问答 + 原因解释 + 方法边界,方法承接,C,只允许高层主题和边界，不写敏感细节。,本轮不确认视觉；需客户/合规/专业复核。,说话、动作、表情/画面三条证据同题；任一断裂则 pending_user_visual_review。,先筛文本完整单元，再看动作/画面证据，最后保留风险边界。,pending_validation,sensitive_text_only_visual_not_confirmed,yes,do_not_auto_publish_high_sensitive,compliance_review_required; customer_review_required; professional_review_required,不能写 publish_ready 或业务通过。
BRIDGE010,course_touch_or_tool_method_reference,触碰/工具方法关键词族,工具/动作演示 + 发力口令 + 低压跟练收束,动作承接,C,只保留高层工具/方法词族和风险标签。,工具位置、接触点、遮挡风险需人工确认。,说话、动作、表情/画面三条证据同题；任一断裂则 pending_user_visual_review。,先筛文本完整单元，再看动作/画面证据，最后保留风险边界。,pending_validation,sensitive_text_only_visual_not_confirmed,yes,do_not_auto_publish_high_sensitive,compliance_review_required; customer_review_required; professional_review_required,不能写 publish_ready 或业务通过。
