evidence_id,video_id,file_name,timecode,evidence_summary,evidence_role,analysis_status,notes
ev_fv_0001_01,fv_0001,30+产后妈妈居家必练动作.mp4,"00:00:00.000, 00:00:02.122, 00:00:04.244, 00:00:06.367, 00:00:08.489, 00:00:10.611",F1-2: 背对坐姿提臀，字幕‘漏尿松弛’,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0002_01,fv_0002,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,"00:00:00.000, 00:00:02.350, 00:00:04.700, 00:00:07.049, 00:00:09.399, 00:00:11.749",帧1-3（0-4.7s）：背对坐姿，双手扶椅，骨盆后倾启动,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0003_01,fv_0003,4月17日(1).mp4,"00:00:00.000, 00:00:05.471, 00:00:10.941, 00:00:16.412, 00:00:21.882, 00:00:27.353",帧1：真人正面标准拉伸,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0004_01,fv_0004,5月26日 (2).mp4,"00:00:00.000, 00:00:02.443, 00:00:04.885, 00:00:07.328, 00:00:09.770, 00:00:12.213",帧1-2：背影坐姿+文字钩子,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0005_01,fv_0005,5月26日(1).mp4,"00:00:00.000,00:00:02.828,00:00:05.656,00:00:08.485,00:00:11.313,00:00:14.141",0s侧身紧张态+标题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0006_01,fv_0006,5月26日.mp4,00:00:00.000–00:00:14.141,6帧均为同一人坐姿演示盆底肌瑜伽球练习，字幕统一强调‘练了就知道有多累’，每帧配呼吸指令与解剖图示,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0007_01,fv_0007,5月27日 (1).mp4,"00:00:00,00:00:04,00:00:09,00:00:13,00:00:18,00:00:22",六帧均为同一女性在室内地毯上用粉色球演示凯格尔相关动作，字幕统一为‘别再瞎练凯格尔 每天睡前跟练5分钟’,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0008_01,fv_0008,5月27日.mp4,00:00:00.000-00:00:16.509,六帧均为同一人坐姿训练动作，从侧面/后侧多角度展示臀部发力错误与调整过程，字幕重复训练频次与常见错误提示,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0009_01,fv_0009,70%女性中招的盆底肌误区.mp4,"00:00:00,00:00:13,00:00:26,00:00:39,00:00:52,00:01:05",六帧均为同一主讲人坐姿讲解，字幕依次呈现：干涩漏尿→很多人不知道→都是有紧缩的→情绪长期处一种→要解决起来→可能越练越严重,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0010_01,fv_0010,Z宫下垂盆底无力就练臀桥呼吸.mp4,"00:00:00,00:00:15,00:00:31,00:00:47,00:01:03,00:01:19",六帧依次显示：标题+解剖图→起始位→收会阴→盆底肌向中收紧→吸气→数数节奏（1987654321）,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0011_01,fv_0011,产后漏尿能自己好吗.mp4,"00:00:00, 00:00:23, 00:00:47, 00:01:10, 00:01:34, 00:01:57",00:00:00痛点引入,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0012_01,fv_0012,你的小肚子凸可能不是胖.mp4,"00:00:00.000,00:00:11.104,00:00:22.208,00:00:33.311,00:00:44.415,00:00:55.519",6帧均为同一女性在室内做弓步交替动作，字幕提示‘左右交替进行 10次一组做3组’，叠加数字1/4/5/8/9指示进度,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0013_01,fv_0013,先减肥还是先改善漏尿.mp4,"00:00:00,00:00:12,00:00:24,00:00:36,00:00:48,00:01:00",00:00:00提问冲突,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0014_01,fv_0014,别再疯狂练收紧可能越练越漏尿.mp4,"00:00:00,00:00:08.754,00:00:17.508,00:00:26.261,00:00:35.015,00:00:43.769",00:00:00‘我还漏尿’点题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0015_01,fv_0015,单纯练凯格尔能改善漏尿吗.mp4,"00:00:00,00:00:36,00:01:13,00:01:50,00:02:27,00:03:04",00:00:00痛点陈述,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
