pair_id,source_id,video_file_name,video_path,transcript_json_path,transcript_txt_path,status,segment_count,duration_seconds,language,model_used,compute_type,error_message,needs_manual_review
pair_0001,src_scan_0001,10分钟练出紧致 盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/10分钟练出紧致 盆底肌.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0001_pair_0001_10分钟练出紧致_盆底肌_94b05251.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0001_pair_0001_10分钟练出紧致_盆底肌_94b05251.txt,success,48,107.000,zh,small,int8,,yes
pair_0032,src_scan_0004,30岁的女性练八爪鱼要多久.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/30岁的女性练八爪鱼要多久.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0004_pair_0032_30岁的女性练八爪鱼要多久_5b3ec355.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0004_pair_0032_30岁的女性练八爪鱼要多久_5b3ec355.txt,success,9,17.554,zh,small,int8,,yes
pair_0002,src_scan_0005,50+女性练出精致的盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/50+女性练出精致的盆底肌.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0005_pair_0002_50+女性练出精致的盆底肌_bdebf31e.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0005_pair_0002_50+女性练出精致的盆底肌_bdebf31e.txt,success,6,11.308,zh,small,int8,,yes
pair_0003,src_scan_0007,60岁的夫妻生活还有意思吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/60岁的夫妻生活还有意思吗.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0007_pair_0003_60岁的夫妻生活还有意思吗_90e8829c.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0007_pair_0003_60岁的夫妻生活还有意思吗_90e8829c.txt,success,39,49.296,zh,small,int8,,yes
pair_0004,src_scan_0009,60岁还有夫妻生活是种什么体验.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/60岁还有夫妻生活是种什么体验.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0009_pair_0004_60岁还有夫妻生活是种什么体验_8af3b8ad.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0009_pair_0004_60岁还有夫妻生活是种什么体验_8af3b8ad.txt,success,129,175.775,zh,small,int8,,yes
pair_0005,src_scan_0011,S蜜垂吊球练一次收一次.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/S蜜垂吊球练一次收一次.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0011_pair_0005_S蜜垂吊球练一次收一次_1e1831c1.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0011_pair_0005_S蜜垂吊球练一次收一次_1e1831c1.txt,success,14,29.536,zh,small,int8,,yes
pair_0006,src_scan_0013,两个动作让你轻松臀跳舞.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/两个动作让你轻松臀跳舞.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0013_pair_0006_两个动作让你轻松臀跳舞_7a9fe1c1.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0013_pair_0006_两个动作让你轻松臀跳舞_7a9fe1c1.txt,success,56,107.767,zh,small,int8,,yes
pair_0007,src_scan_0015,为什么男人都喜欢丰满的女人.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/为什么男人都喜欢丰满的女人.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0015_pair_0007_为什么男人都喜欢丰满的女人_935b0a17.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0015_pair_0007_为什么男人都喜欢丰满的女人_935b0a17.txt,success,7,14.512,zh,small,int8,,yes
pair_0008,src_scan_0017,亚洲和欧洲女性身体上的区别在哪.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/亚洲和欧洲女性身体上的区别在哪.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0017_pair_0008_亚洲和欧洲女性身体上的区别在哪_1c463b9a.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0017_pair_0008_亚洲和欧洲女性身体上的区别在哪_1c463b9a.txt,success,12,32.879,zh,small,int8,,yes
pair_0009,src_scan_0019,动态臀桥 练一次收一次.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/动态臀桥 练一次收一次.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0019_pair_0009_动态臀桥_练一次收一次_195fcaa5.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0019_pair_0009_动态臀桥_练一次收一次_195fcaa5.txt,success,24,60.604,zh,small,int8,,yes
pair_0010,src_scan_0021,只要你会很玩 男人就会很上头.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/只要你会很玩 男人就会很上头.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0021_pair_0010_只要你会很玩_男人就会很上头_080cf084.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0021_pair_0010_只要你会很玩_男人就会很上头_080cf084.txt,success,15,43.189,zh,small,int8,,yes
pair_0011,src_scan_0023,夫妻感情好不好看床就知道.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/夫妻感情好不好看床就知道.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0023_pair_0011_夫妻感情好不好看床就知道_96aa49cb.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0023_pair_0011_夫妻感情好不好看床就知道_96aa49cb.txt,success,33,52.779,zh,small,int8,,yes
