review_id,candidate_id,candidate_status,route_decision,start_time,end_time,priority_score,value_judgment,why_selected_or_exported,why_not_publish_ready,manual_packaging_action,audio_transcript_status,risk_boundary,next_decision
c9623_value_001,c9623_021,qualified_repackaging,action_repackaging_candidate,00:42:30.000,00:45:30.000,15,可做人审动作教学再包装素材；不是发布候选。,视觉上存在连续动作或前后窗口救回价值；仅作为本地人审素材导出，不代表发布可用。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,用 TTS 补问题前置、动作目标、禁忌提示；不要承诺治疗或效果。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,听口播后补问题前置/TTS/字幕，再决定是否包装。
c9623_value_002,c9623_022,qualified_repackaging,action_repackaging_candidate,00:45:20.000,00:48:20.000,15,可做人审动作教学再包装素材；不是发布候选。,视觉上存在连续动作或前后窗口救回价值；仅作为本地人审素材导出，不代表发布可用。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,用 TTS 补问题前置、动作目标、禁忌提示；不要承诺治疗或效果。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,听口播后补问题前置/TTS/字幕，再决定是否包装。
c9623_value_003,c9623_023,pending_audio_review,pending_manual_review,00:48:10.000,00:51:10.000,15,画面线索不足以单独定案，需音频/字幕复核。,视觉线索不足以确认完整表达，但有手势/动作/道具讲解线索，导出优先级样本供听审。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,用 TTS 补问题前置、动作目标、禁忌提示；不要承诺治疗或效果。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,先听审；不通过则淘汰。
c9623_value_004,c9623_028,qualified_repackaging,action_repackaging_candidate,00:59:30.000,01:02:30.000,15,可做人审动作教学再包装素材；不是发布候选。,视觉上存在连续动作或前后窗口救回价值；仅作为本地人审素材导出，不代表发布可用。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,用 TTS 补问题前置、动作目标、禁忌提示；不要承诺治疗或效果。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,听口播后补问题前置/TTS/字幕，再决定是否包装。
c9623_value_005,c9623_032,qualified_merge_candidate,adjacent_merge_candidate,01:10:50.000,01:13:50.000,15,可做相邻窗口合并复核；单窗口不独立成立。,视觉上存在连续动作或前后窗口救回价值；仅作为本地人审素材导出，不代表发布可用。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,用 TTS 补问题前置、动作目标、禁忌提示；不要承诺治疗或效果。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,扩前后窗口并重算语义完整度。
c9623_value_006,c9623_033,qualified_repackaging,action_repackaging_candidate,01:13:40.000,01:16:40.000,15,可做人审动作教学再包装素材；不是发布候选。,视觉上存在连续动作或前后窗口救回价值；仅作为本地人审素材导出，不代表发布可用。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,用 TTS 补问题前置、动作目标、禁忌提示；不要承诺治疗或效果。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,听口播后补问题前置/TTS/字幕，再决定是否包装。
c9623_value_007,c9623_038,qualified_merge_candidate,adjacent_merge_candidate,01:27:50.000,01:30:50.000,15,可做相邻窗口合并复核；单窗口不独立成立。,视觉上存在连续动作或前后窗口救回价值；仅作为本地人审素材导出，不代表发布可用。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,用 TTS 补问题前置、动作目标、禁忌提示；不要承诺治疗或效果。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,扩前后窗口并重算语义完整度。
c9623_value_008,c9623_039,qualified_repackaging,action_repackaging_candidate,01:30:40.000,01:33:40.000,15,可做人审动作教学再包装素材；不是发布候选。,视觉上存在连续动作或前后窗口救回价值；仅作为本地人审素材导出，不代表发布可用。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,用 TTS 补问题前置、动作目标、禁忌提示；不要承诺治疗或效果。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,听口播后补问题前置/TTS/字幕，再决定是否包装。
c9623_value_009,c9623_020,qualified_repackaging,action_repackaging_candidate,00:39:40.000,00:42:40.000,14,可做人审动作教学再包装素材；不是发布候选。,视觉上存在连续动作或前后窗口救回价值；仅作为本地人审素材导出，不代表发布可用。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,用 TTS 补问题前置、动作目标、禁忌提示；不要承诺治疗或效果。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,听口播后补问题前置/TTS/字幕，再决定是否包装。
c9623_value_010,c9623_043,qualified_merge_candidate,adjacent_merge_candidate,01:42:00.000,01:43:03.677,14,可做相邻窗口合并复核；单窗口不独立成立。,视觉上存在连续动作或前后窗口救回价值；仅作为本地人审素材导出，不代表发布可用。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,用 TTS 补问题前置、动作目标、禁忌提示；不要承诺治疗或效果。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,扩前后窗口并重算语义完整度。
c9623_value_011,c9623_026,pending_audio_review,pending_manual_review,00:53:50.000,00:56:50.000,13,画面线索不足以单独定案，需音频/字幕复核。,视觉线索不足以确认完整表达，但有手势/动作/道具讲解线索，导出优先级样本供听审。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,补 3 秒问题前置；用 TTS 解释动作目标/禁忌；字幕标出发力点；保留 pending_user_review。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,先听审；不通过则淘汰。
c9623_value_012,c9623_027,qualified_repackaging,action_repackaging_candidate,00:56:40.000,00:59:40.000,13,可做人审动作教学再包装素材；不是发布候选。,视觉上存在连续动作或前后窗口救回价值；仅作为本地人审素材导出，不代表发布可用。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,用 TTS 补问题前置、动作目标、禁忌提示；不要承诺治疗或效果。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,听口播后补问题前置/TTS/字幕，再决定是否包装。
c9623_value_013,c9623_029,pending_audio_review,pending_manual_review,01:02:20.000,01:05:20.000,13,画面线索不足以单独定案，需音频/字幕复核。,视觉线索不足以确认完整表达，但有手势/动作/道具讲解线索，导出优先级样本供听审。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,补 3 秒问题前置；用 TTS 解释动作目标/禁忌；字幕标出发力点；保留 pending_user_review。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,先听审；不通过则淘汰。
c9623_value_014,c9623_030,pending_audio_review,pending_manual_review,01:05:10.000,01:08:10.000,13,画面线索不足以单独定案，需音频/字幕复核。,视觉线索不足以确认完整表达，但有手势/动作/道具讲解线索，导出优先级样本供听审。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,补 3 秒问题前置；用 TTS 解释动作目标/禁忌；字幕标出发力点；保留 pending_user_review。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,先听审；不通过则淘汰。
c9623_value_015,c9623_035,pending_audio_review,pending_manual_review,01:19:20.000,01:22:20.000,13,画面线索不足以单独定案，需音频/字幕复核。,视觉线索不足以确认完整表达，但有手势/动作/道具讲解线索，导出优先级样本供听审。,pending_audio_transcript / pending_user_review / health_action_risk_pending_professional_review,补 3 秒问题前置；用 TTS 解释动作目标/禁忌；字幕标出发力点；保留 pending_user_review。,pending_audio_transcript,不确认审美、动作专业性、健康表达、业务转化或发布可用。,先听审；不通过则淘汰。
