source_file_id,source_path,usefulness_grade,source_role,file_size_mb,row_count_if_table,has_sensitive_sample,copy_decision,decision_reason
SRC00057,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,A,动作核心表,6.335,>10000,no,extract_rows,行数超过 10000
SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,A,动作核心表,0.001,,no,copy_full,A/B 类小体积文本资料，可完整复制。
SRC00060,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,A,动作核心表,10.702,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC00063,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/12_数字人动作触发规则_avatar_action_trigger_rules.csv,A,动作核心表,0.001,4,no,copy_full,A/B 类小体积表格，行数未超过阈值，可完整复制。
SRC00065,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/14_适合迁入直播项目的桥接字段_live_project_bridge_fields.md,B,课程文本上下文,0.000,,no,copy_full,A/B 类小体积文本资料，可完整复制。
SRC00087,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,B,课程文本上下文,6.698,>10000,yes,extract_rows,行数超过 10000；课程文本命中敏感词，仅保留高层摘录
SRC00088,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/neural_avatar_bridge_fields.jsonl,A,动作核心 JSONL,13.768,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC00089,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/presenter_actions.jsonl,A,动作核心 JSONL,10.503,>10000,no,extract_rows,行数超过 10000；体积超过 10MB
SRC00091,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/prosody_pacing.jsonl,A,动作核心 JSONL,7.830,>10000,no,extract_rows,行数超过 10000
SRC00093,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/transcript_timeline.jsonl,A,动作核心 JSONL,11.663,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC00094,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/tri_alignment.jsonl,A,动作核心 JSONL,16.313,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC00341,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,A,动作核心表,838.275,>10000,no,extract_rows,行数超过 10000；体积超过 10MB
SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,A,动作核心表,0.003,,no,copy_full,A/B 类小体积文本资料，可完整复制。
SRC00344,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,A,动作核心表,788.888,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC00347,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/12_数字人动作触发规则_avatar_action_trigger_rules.csv,A,动作核心表,0.001,6,no,copy_full,A/B 类小体积表格，行数未超过阈值，可完整复制。
SRC00349,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/14_适合迁入直播项目的桥接字段_live_project_bridge_fields.md,B,课程文本上下文,0.000,,no,copy_full,A/B 类小体积文本资料，可完整复制。
SRC06157,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/live_project_bridge_fields.csv,B,课程文本上下文,907.259,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB；课程文本命中敏感词，仅保留高层摘录
SRC06158,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/neural_avatar_bridge_fields.jsonl,A,动作核心 JSONL,1734.060,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06159,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/presenter_actions.jsonl,A,动作核心 JSONL,1382.822,>10000,no,extract_rows,行数超过 10000；体积超过 10MB
SRC06160,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/prosody_pacing.jsonl,A,动作核心 JSONL,701.422,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06162,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0000_0099_action_alignment.jsonl,A,动作核心表,54.788,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06163,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0100_0199_action_alignment.jsonl,A,动作核心表,43.798,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
