source_id,file_name,file_path,file_type,file_ext,file_size_bytes,detected_topic,pair_id,pair_status,usable_status,blocked_reason,notes
src_scan_0001,10分钟练出紧致 盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/10分钟练出紧致 盆底肌.mp4,视频,.mp4,6896134,正样本成片/10分钟练出紧致 盆底肌,pair_0001,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0002,10分钟练出紧致 盆底肌.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/10分钟练出紧致 盆底肌.txt,文本,.txt,60,正样本成片/10分钟练出紧致 盆底肌,pair_0001,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0003,30岁女性八爪鱼要多久.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/30岁女性八爪鱼要多久.txt,文本,.txt,76,正样本成片/30岁女性八爪鱼要多久,pair_0032,待人工确认,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0004,30岁的女性练八爪鱼要多久.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/30岁的女性练八爪鱼要多久.mp4,视频,.mp4,22927387,正样本成片/30岁的女性练八爪鱼要多久,pair_0032,待人工确认,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0005,50+女性练出精致的盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/50+女性练出精致的盆底肌.mp4,视频,.mp4,1144571,正样本成片/50+女性练出精致的盆底肌,pair_0002,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0006,50+女性练出精致的盆底肌.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/50+女性练出精致的盆底肌.txt,文本,.txt,53,正样本成片/50+女性练出精致的盆底肌,pair_0002,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0007,60岁的夫妻生活还有意思吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/60岁的夫妻生活还有意思吗.mp4,视频,.mp4,4373253,正样本成片/60岁的夫妻生活还有意思吗,pair_0003,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0008,60岁的夫妻生活还有意思吗.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/60岁的夫妻生活还有意思吗.txt,文本,.txt,65,正样本成片/60岁的夫妻生活还有意思吗,pair_0003,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0009,60岁还有夫妻生活是种什么体验.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/60岁还有夫妻生活是种什么体验.mp4,视频,.mp4,23652562,正样本成片/60岁还有夫妻生活是种什么体验,pair_0004,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0010,60岁还有夫妻生活是种什么体验.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/60岁还有夫妻生活是种什么体验.txt,文本,.txt,59,正样本成片/60岁还有夫妻生活是种什么体验,pair_0004,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0011,S蜜垂吊球练一次收一次.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/S蜜垂吊球练一次收一次.mp4,视频,.mp4,4362648,正样本成片/S蜜垂吊球练一次收一次,pair_0005,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0012,S蜜垂吊球练一次收一次.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/S蜜垂吊球练一次收一次.txt,文本,.txt,56,正样本成片/S蜜垂吊球练一次收一次,pair_0005,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0013,两个动作让你轻松臀跳舞.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/两个动作让你轻松臀跳舞.mp4,视频,.mp4,6296074,正样本成片/两个动作让你轻松臀跳舞,pair_0006,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0014,两个动作让你轻松臀跳舞.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/两个动作让你轻松臀跳舞.txt,文本,.txt,55,正样本成片/两个动作让你轻松臀跳舞,pair_0006,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0015,为什么男人都喜欢丰满的女人.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/为什么男人都喜欢丰满的女人.mp4,视频,.mp4,2460341,正样本成片/为什么男人都喜欢丰满的女人,pair_0007,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0016,为什么男人都喜欢丰满的女人.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/为什么男人都喜欢丰满的女人.txt,文本,.txt,48,正样本成片/为什么男人都喜欢丰满的女人,pair_0007,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0017,亚洲和欧洲女性身体上的区别在哪.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/亚洲和欧洲女性身体上的区别在哪.mp4,视频,.mp4,4463360,正样本成片/亚洲和欧洲女性身体上的区别在哪,pair_0008,已配对,待人工确认,,样本成片目录，非完整直播录屏
