pattern_id,selection_reason_tag,why_people_select_it,what_problem_it_solves,what_keeps_viewers,best_route,supporting_sample_count,example_files,failure_counterexample,codex_rule
why_selected_01,action_demo_clearly_visible,是动作教学再包装的底盘,动作主体看得见，能支撑可学可剪,动作方向、起止、循环或道具关系可见,action_repackaging,118,30+产后妈妈居家必练动作.mp4；35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4；Z宫下垂盆底无力就练臀桥呼吸.mp4；别再疯狂练收紧可能越练越漏尿.mp4；单纯练凯格尔能改善漏尿吗.mp4,,只有静态坐姿、零散手势、重复无解释动作
why_selected_02,single_method_easy_to_repackage,降低人工包装成本，提高复用性,单一方法或单一道具动作，容易包装成标准模板,一个动作、一个小球、一个测试、一个纠错点,action_repackaging / manual_packaging,118,30+产后妈妈居家必练动作.mp4；35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4；Z宫下垂盆底无力就练臀桥呼吸.mp4；别再疯狂练收紧可能越练越漏尿.mp4；单纯练凯格尔能改善漏尿吗.mp4,,多个动作混杂，无法稳定归类
why_selected_03,ending_naturally_closes,片段更容易形成完整人审素材,结尾能自然收住，不靠硬卖或突然中断,动作完成、口播总结、视觉定格或自然收束,native_clip / adjacent_merge_candidate,100,30+产后妈妈居家必练动作.mp4；35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4；4月17日(1).mp4；5月26日 (2).mp4；5月26日(1).mp4,,突然断掉、无总结、只剩直播中段
why_selected_04,high_pattern_reusability,让 Codex 后续能稳定按模式挑素材,这套标题和结构可批量复刻，不只是单条偶然可用,人群+痛点+动作/道具+结果兑现可复用,selection_standard_learning,100,30+产后妈妈居家必练动作.mp4；35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4；4月17日(1).mp4；5月26日 (2).mp4；5月26日(1).mp4,,只靠单条素材特殊背景或偶然画面
why_selected_05,risk_pending_not_publish_ready,标题或前序解析显示这个主题/问题在样本中高频出现。,risk_pending_not_publish_ready,需要通过口播/视觉进一步确认。,pending_route_after_review,100,30+产后妈妈居家必练动作.mp4；35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4；4月17日(1).mp4；5月26日 (2).mp4；5月26日(1).mp4,,不能把标题推断写成内容已确认。
why_selected_06,subtitle_and_action_aligned,让动作教学更容易成立，也方便剪映/CapCut 包装,字幕/口令和动作同题，不是各说各话,字幕标出动作目标、次数、方向或禁忌,native_clip / action_repackaging,100,30+产后妈妈居家必练动作.mp4；35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4；4月17日(1).mp4；5月26日 (2).mp4；5月26日(1).mp4,,字幕只喊结果，和动作无关
why_selected_07,problem_to_action_bridge_short,降低跳出率，让切片有开头到中段兑现,从问题到动作过渡短，进入教学快,problem_action_bridge_seconds <= 6,native_clip / action_repackaging,77,30+产后妈妈居家必练动作.mp4；35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4；4月17日(1).mp4；5月26日 (2).mp4；5月26日(1).mp4,,问题讲很久但没有动作、方法或解释
why_selected_08,result_promise_front_loaded,适合做短视频开头，但必须被中段兑现,结果感前置，先把点击理由给出来,肚子平了、臀翘了、告别尴尬、练出等结果承诺,positive_reference / action_repackaging,67,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4；40岁的女性练出八爪鱼要多久.mp4；40＋的姐妹练出紧致的盆底肌.mp4；一个动作让你练出紧致的盆底肌.mp4；一个小球帮你练出少女腹.mp4,,只有结果，没有动作/解释/证据
why_selected_09,hip_glute_shape,标题或前序解析显示这个主题/问题在样本中高频出现。,hip_glute_shape,需要通过口播/视觉进一步确认。,pending_route_after_review,52,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4；Z宫下垂盆底无力就练臀桥呼吸.mp4；妈妈臀 臀凹陷一个动作饱满臀部.mp4；30岁的女性练八爪鱼要多久6.2（4）.mp4；40岁女性练八爪鱼需要多久呢.mp4,,不能把标题推断写成内容已确认。
why_selected_10,pelvic_floor,标题或前序解析显示这个主题/问题在样本中高频出现。,pelvic_floor,需要通过口播/视觉进一步确认。,pending_route_after_review,50,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4；70%女性中招的盆底肌误区.mp4；Z宫下垂盆底无力就练臀桥呼吸.mp4；40岁女性练出J致的盆底肌需要多久？6.1.mp4；40岁的女性修复盆底肌要多久.mp4,,不能把标题推断写成内容已确认。
