video_id,file_name,source_path,duration_seconds,resolution,ali_recheck_status,ali_model_called,ali_analysis_route,ali_final_model,ali_confidence,old_video_type_primary,old_structure_formula,ali_video_type_primary,ali_structure_formula,ali_opening_trigger_type,ali_audience_triggers,ali_pain_point_triggers,ali_result_triggers,ali_risk_triggers,ali_middle_delivery_types,ali_ending_closure_types,ali_opening_timecode_evidence,ali_middle_timecode_evidence,ali_ending_timecode_evidence,ali_visual_evidence_summary,ali_fine_structure_summary,ali_transition_rule,ali_rough_cut_start_advice,ali_rough_cut_end_advice,ali_discard_condition,ali_manual_review_items,previous_rule_status,changed_from_previous,short_reason,frame_timecodes,metadata_ffprobe_status,ffmpeg_decode_status
fv_0001,30+产后妈妈居家必练动作.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/30+产后妈妈居家必练动作.mp4,10.611,1080x1920,success,yes,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,qwen-vl-max,high,body_care_knowledge,人群点名 + 痛点放大 + 单动作演示 + 坚持建议,body_care_knowledge,人群点名+双痛点并列演示+动作重复强化+字幕指令固化,人群点名,30+产后妈妈；居家场景,漏尿松弛；高张疼痛,左右提臀100次；上下震颤100次,未说明禁忌症；重复‘100次’可能引发过度训练暗示；‘盆底Jz’术语模糊,动作演示；字幕指令；叠影过渡；重复强化,动作完成；字幕收束,00:00:00.000（主讲人正面坐姿，大字幕‘30+产后妈妈 居家必练动作’）,00:00:00.849–00:00:08.489（连续展示两组动作：提臀×2对应‘漏尿松弛’，震颤×2对应‘高张疼痛’与‘盆底Jz’；每组动作均配黄色大字幕标注问题+动作+次数；右侧小字竖排‘本方法为辅助改善方式’）,00:00:10.261（最后震颤动作定格，字幕‘盆底Jz 上下震颤100次’）,画面为同一女性在椅上完成四组动作：前两帧为‘漏尿松弛’对应提臀动作（背对镜头），后两帧为‘高张疼痛’与‘盆底Jz’对应震颤动作（侧身视角）；所有动作均配黄色大字幕标注问题+动作+次数；右侧小字竖排‘本方法为辅助改善方式’；无口播画面可见，仅字幕与动作；叠影用于动作过渡，但未改变结构逻辑,以人群标签开场，用两个并列痛点引出两套动作，每套动作重复两次（含叠影过渡），字幕固化指令，结尾未出现总结或收束语句,开头人群标签直接切入第一痛点动作；中段通过叠影实现动作切换，但痛点标签更换未伴随明显节奏停顿；结尾动作结束即止，无收尾动作或呼吸调整,从00:00:00.000开始，保留主讲人正面镜头及首行大字幕,截至00:00:10.261动作定格帧，避免后续黑场或静帧,若字幕‘100次’未加‘建议循序渐进’等缓冲提示，或无禁忌说明，则存在健康风险应弃用,‘100次’是否构成效果承诺；‘盆底Jz’术语是否准确且需注解；叠影是否造成动作理解混淆,modified,旧结构称‘痛点放大→单动作演示’，实际为双痛点+双动作并列演示；旧称‘坚持建议’隐含，但画面无任何坚持/频率/周期提示，仅重复次数，故修正为‘字幕指令固化’；结尾无隐含建议，仅为动作收束,画面证据显示：开头明确人群标签；中段两痛点各配一套动作（提臀×2、震颤×2），字幕强绑定问题与次数；无口播、无收尾语、无频率/时长/禁忌说明；叠影用于动作过渡但未改变结构逻辑,00:00:00.000；00:00:00.849；00:00:01.910；00:00:03.396；00:00:05.093；00:00:06.791；00:00:08.489；00:00:10.261,success,success
fv_0002,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,11.749,1080x1920,success,yes,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,qwen-vl-max,high,sports_teaching,人群点名 + 低门槛动作 + 坚持建议,sports_teaching,人群点名+结果承诺前置+单动作循环演示+价值收束,人群点名,35岁以后；生完多久了,小肚子；臀翘了（隐含松弛）,小肚子平了；臀翘了；锻炼盆底肌,每天100个（量化强度无个体差异提示）；不管生完多久了（忽略产后恢复窗口期差异）,动作演示；身体姿态微调,动作完成；价值收束,00:00:00.000–00:00:02.115：背对镜头坐姿启动，字幕完整呈现‘35岁以后都去练…最重要的是可以锻炼盆底肌’，画面同步演示坐姿准备态,00:00:03.760–00:00:09.399：连续四帧展示同一动作循环（坐姿骨盆卷动/凯格尔类动作），髋部抬升-回落-再抬升，手扶椅背稳定，腰腹收紧可见；第00:00:07.519帧转为正面半身，双手置于骨盆前侧示意发力点,00:00:11.399：正面坐姿收尾，双手轻放大腿，表情放松，字幕仍保留原句，无新增动作或口令,8帧均为同一女性在室内沙发背景前，坐于椅子+瑜伽球上执行重复性骨盆运动；字幕全程未变；前4帧背对，后4帧转为正面半身；无器械更换、无场景切换、无他人出镜；右上角图标轮换（蝴蝶结/鱼/海豚等装饰图）,以固定字幕+单一动作循环构成极简教学结构，靠视角切换（背→正）与微姿态调整维持节奏，无分步拆解或错误示范,开头字幕承诺直接由中段动作演示兑现（坐姿骨盆运动对应‘小肚子平、臀翘、盆底肌’），结尾以动作自然停止+字幕留存完成价值闭环,从00:00:00.000开始，保留首帧完整字幕+背对起始姿态,截至00:00:11.399，避免拖尾静帧；若需强化收束可微加0.3s淡出,当出现医疗术语误用（如将凯格尔动作等同于‘练臀’）、或字幕承诺与动作明显不符时应放弃,字幕中‘每天100个’是否匹配动作实际耗时与强度；‘锻炼盆底肌’是否由该动作科学支撑（需医学核验）；右上角图标轮换是否有误导性（如鱼/海豚暗示水疗等无关联想）,confirmed,旧结构描述‘单动作循环演示+身体姿态微调’准确，本次复核确认中段无新增类型；‘文字结论前置+画面同步演示’成立，但补充明确为‘背对启动→正面微调’的视角转换细节,画面证据显示全程单一动作循环、字幕不变、视角仅由背转正，符合sports_teaching类极简教学结构；风险点存在于字幕量化承诺与医学适配性，非画面问题,00:00:00.000；00:00:00.940；00:00:02.115；00:00:03.760；00:00:05.640；00:00:07.519；00:00:09.399；00:00:11.399,success,success
fv_0003,4月17日(1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/4月17日(1).mp4,27.353,720x1280,success,yes,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,qwen-vl-max,high,sports_teaching,错误动作 + 正确动作 + 原因解释,movement_correction,错误动作演示 + 正确动作对比 + 多场景复现 + 放松收尾,误区错误,女性、居家健身者、腰背不适人群,弯腰代偿、骨盆前倾、核心未激活,脊柱延展、呼吸顺畅、动作稳定,未明确提示禁忌症、动作幅度无安全边界说明,对比演示、分步调整、静态定型,动作完成、视觉收束,00:00:00.000（侧身扶杆骨盆前倾）、00:00:01.000（手臂上举时腰代偿）体现典型错误模式,00:00:04.924（纠正后侧屈延展）、00:00:08.753（仰卧卷腹式错误）、00:00:13.129（站姿屈膝错误）、00:00:17.506（单腿平衡错误）构成多场景错误-正确对照,00:00:21.882（正面伸展定型）、00:00:27.003（闭眼放松收势）完成动作闭环,前3帧为同一人物在镜前做侧屈伸展，骨盆前倾明显；第4帧切换至仰卧位错误卷腹；第5-6帧为站姿下肢错误动作；最后2帧为正面伸展与闭眼放松。无可见字幕，动作连续性依赖姿态变化而非运镜,"以镜前错误动作为引子,穿插仰卧/站姿多角度错误示范,再以修正姿态收束,属‘问题暴露→多场景复现→统一矫正’结构",开头错误动作通过镜像视角自然过渡到中段其他场景错误；结尾用正面静态收势承接前序动态调整，形成视觉降速收束,从00:00:00.000开始，保留前3帧错误序列作为钩子,截至于00:00:27.003闭眼放松帧，避免后续可能存在的黑场或冗余,若实际视频中无口播解释机制、或错误动作未标注关键解剖点（如骨盆/肋骨位置），则素材信息密度不足应放弃,第4帧仰卧动作是否真为错误示范（需确认髋屈肌代偿细节）；最后两帧是否含微表情/呼吸节奏暗示（影响收尾有效性）,modified,旧结构认定为'sports_teaching'且公式为'错误+正确+原因'，现依据画面证据修正为'movement_correction'，并细化为'错误演示→多场景复现→分步调整→放松收尾'，因实际存在3种以上错误场景且无独立'原因解释'帧,画面呈现多场景错误动作对比与逐步修正过程，无独立讲解帧或知识图解，符合movement_correction特征；旧结构过度简化了错误场景多样性,00:00:00.000；00:00:01.000；00:00:04.924；00:00:08.753；00:00:13.129；00:00:17.506；00:00:21.882；00:00:27.003,success,success
fv_0004,5月26日 (2).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日 (2)/5月26日 (2).mp4,12.213,1080x1920,success,yes,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,qwen-vl-max,high,sports_teaching,人群点名 + 低门槛动作 + 坚持建议,sports_teaching,人群点名+坐姿动作循环演示+收束定格,人群点名,30+女性,越练越紧,failed,未说明‘紧’的具体部位与机制，易引发误解,动作演示、口令节奏暗示（通过重复帧位变化）,动作完成+视觉定格,00:00:00.000–00:00:02.198：连续三帧显示相同背影坐姿+固定字幕‘30+女性必练 越练越紧’，构成强人群+痛点开场,00:00:03.908–00:00:09.770：多组重复动作序列（坐姿扭转→回正→侧展→跪坐调整），帧间动作幅度递进但无新步骤，属循环式演示,00:00:11.863：最后一帧为侧身收势定格，字幕仍在，无新增信息，属动作收束,全片仅一人示范；始终背对/侧对镜头；使用粉色瑜伽球辅助；字幕全程固定为‘30+女性必练 越练越紧’；动作在坐姿范围内循环变换（跪坐→盘坐→开胯坐→扭转），无讲解画面或图解；无口型可见，无额外字幕变化,以单一痛点标语贯穿，通过8帧展示同一套坐姿动作的4个变体循环，无分段讲解或步骤拆解,开头痛点标语未被中段解释性内容兑现，仅靠动作重复维持节奏；结尾以动作定格自然收住，但缺乏结果呼应,从00:00:00.000开始，保留首帧完整字幕+背影构图,截至00:00:11.863动作定格帧，避免后续黑场或冗余静止,若字幕‘越练越紧’无配套医学依据说明或动作目标部位标注，存在误导风险时应放弃,字幕‘越练越紧’是否构成健康误导；动作是否涉及骨盆/骶髂关节高风险操作而无警示,modified,旧结构称‘文字钩子+背影示范’成立，但‘循环式动作演示’被证实为无步骤拆解的纯重复；‘坚持建议’未出现；‘视觉强化’仅靠字幕重复，非画面升级,画面证据显示全程无口播、无步骤分解、无结果承诺，仅靠固定字幕+动作循环推进，与旧结构中‘坚持建议’‘视觉强化’不符，需修正为纯动作循环教学流,00:00:00.000；00:00:00.977；00:00:02.198；00:00:03.908；00:00:05.862；00:00:07.816；00:00:09.770；00:00:11.863,success,success
fv_0005,5月26日(1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日(1)/5月26日(1).mp4,14.141,1080x1920,success,yes,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,qwen-vl-max,high,movement_correction,错误动作 + 正确动作 + 原因解释,movement_correction,结果前置+痛点共鸣+动作精调演示+图解辅助+口令引导+动作定格,结果承诺,产后女性；盆底肌松弛人群；瑜伽练习者,八爪鱼越练越紧；练了就知道有多紧了,吸气打开 呼气收紧,将‘越练越紧’等同于盆底肌功能改善，存在医学表述模糊风险,动作演示；图解；口令；对比,动作完成；口型强调,00:00:00.000：主讲人坐姿展示‘八爪鱼’姿势，大字幕‘八爪鱼 越练越紧’，下方图示对比‘正常盆底肌’与‘盆底肌松弛’，顶部标题‘盆底肌瑜伽球 练了就知道有多紧了’已出现，构成结果式开场,00:00:01.000–00:00:06.788：连续多帧展示同一坐姿动作的微调过程（侧身/正面/手部位置变化），叠加呼吸口令‘吸气打开 呼气收紧’及盆底肌状态图解；左上角小图动态变化（章鱼→羽毛→金属结构）暗示认知迭代；动作无明显错误与正确分段，而是持续优化,00:00:11.313–00:00:13.791：主讲人正面坐姿收尾，手放腹部，口型明显闭合强调，字幕重复‘吸气打开 呼气收紧’，图解仍在，动作稳定定格,画面始终为单人室内坐姿演示，使用粉色瑜伽球；每帧含顶部标题‘盆底肌瑜伽球 练了就知道有多紧了’；底部固定图解对比盆底肌状态；左上角小图随帧变化；中段出现呼吸口令字幕；无背景切换或多人出镜；所有动作均为同一姿势的细微调整，未出现独立错误动作示范,以‘结果式痛点’切入（八爪鱼越练越紧），通过同一动作的多角度微调+呼吸口令+图解递进，构建‘感知-调整-执行’闭环，结尾定格强化记忆,开头痛点由‘八爪鱼’具象动作与结果承诺启动，中段用相同体位但加入呼吸指令与图解实现认知修正，结尾回归稳定坐姿完成动作定格，形成从感知到执行的闭环,从00:00:00.000开始，保留首帧完整构图与标题字幕,截至00:00:13.791，确保最后一帧口型闭合且图解完整可见,若图解未明确标注‘盆底肌收缩方向’或呼吸口令与动作节奏错位，应放弃,‘越练越紧’是否误导为肌肉紧张即有效；图解中‘松弛’状态是否符合医学定义；呼吸口令与实际动作时序是否同步,modified,旧结构称‘错误动作+正确动作+原因解释’，但本片无独立‘错误动作’帧（所有演示均为同一姿势微调），实为‘结果前置→动作精调→图解强化’，故修正为更准确的细结构描述,画面中无明显错误 vs 正确的分段对比，而是通过同一动作的持续优化+图解+口令递进，且开头直接以结果式痛点词启动，不符合旧版三段式划分,00:00:00.000；00:00:01.000；00:00:02.545；00:00:04.525；00:00:06.788；00:00:09.050；00:00:11.313；00:00:13.791,success,success
fv_0006,5月26日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日/5月26日.mp4,14.141,1080x1920,success,yes,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,qwen-vl-max,high,body_care_knowledge,痛点可视化 + 解决方案 + 效果对比 + 行动指令,body_care_knowledge,痛点可视化 + 呼吸口令引导 + 动作演示 + 图解辅助 + 效果暗示,痛点可视化,女性、产后/久坐人群、盆底肌松弛者,八爪鱼越练越紧；练了就知道有多紧了,盆底肌瑜伽球；吸气打开 呼气收紧,‘越练越紧’易误解为肌肉僵硬而非激活；未明确适用禁忌人群,呼吸口令、坐姿动作演示、图解对比,动作完成+呼吸收束,00:00:00.000（‘八爪鱼越练越紧’大字+图示对比）,00:00:01.000–00:00:09.050（连续4帧展示吸气/呼气口令+手部动作变化+图解同步）,00:00:11.313–00:00:13.791（手放膝上、闭唇收势，呼吸口令重复，无新动作）,画面中女性坐于瑜伽球上，双腿外展；字幕反复强调‘盆底肌瑜伽球’‘练了就知道有多紧了’；下方固定图解对比‘正常盆底肌’与‘盆底肌松弛’；每帧均有‘吸气打开 呼气收紧’口令；动作从手扶髋→手放膝→轻触腹部→回归膝上，呈呼吸节奏性微调,以‘紧’为痛点锚点，通过图解建立认知差-用呼吸口令统一动作节奏-以手位变化体现执行过程-结尾回归静态收势,开头图解引发认知冲突→中段用呼吸指令将抽象‘紧’转化为可操作动作→结尾手位归零形成动作闭环,从00:00:00.000开始，保留首帧‘八爪鱼越练越紧’强视觉钩子,截至00:00:13.791（最后一帧手放膝、口令完整呈现），避免后续可能的静止黑场,若图解医学准确性存疑（如盆底肌形态示意错误）或无明确禁忌提示时应放弃,图解中盆底肌形态是否符合解剖常识；‘越练越紧’是否易引发负面联想需优化措辞,modified,旧结构称‘效果对比’，但画面无前后实拍对比，仅图解示意；‘分步操作演示’实际为呼吸节奏下的微动作调整，非多步骤分解；结尾非‘指令强化’而是动作自然收束,画面证据显示：痛点靠文字+图解触发，中段核心是呼吸口令驱动的连续微动作，无真实效果对比镜头，结尾为动作完成态而非强化指令，故修正结构描述,00:00:00.000；00:00:01.000；00:00:02.545；00:00:04.525；00:00:06.788；00:00:09.050；00:00:11.313；00:00:13.791,success,success
fv_0007,5月27日 (1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月27日 (1)/5月27日 (1).mp4,22.384,1080x1920,success,yes,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,qwen-vl-max,high,movement_correction,错误动作 + 正确动作 + 原因解释,movement_correction,错误动作警示 + 正确动作演示 + 字幕引导式解释,痛点可视化,女性、久坐人群、盆底肌高张者,盆底肌高张疼痛；睡前滚一滚,每天睡前跟练5分钟,医学健康边界：未说明适用禁忌症；效果承诺：隐含‘缓解疼痛’但无临床依据,动作演示；字幕解释,动作完成,00:00:00.000：字幕‘盆底肌高张疼痛 睡前滚一滚’+人物侧坐位错误姿势（骨盆后倾、腰椎代偿）,00:00:01.000–00:00:17.907：多角度展示同一动作（正面/侧面/背面），字幕持续‘别再瞎练凯格尔 每天睡前跟练5分钟’，动作从错误过渡到稳定正确位（骨盆中立、核心微收）,00:00:22.034：正面坐姿完成位，双手轻放膝上，眼神平视镜头，动作定格,画面中人物全程使用粉色球置于坐骨结节下方进行髋关节外旋伸展；前两帧显示骨盆后倾+腰椎塌陷（错误），后续帧逐步调整为骨盆中立+脊柱延展（正确）；所有帧均有黄色字幕‘别再瞎练凯格尔 每天睡前跟练5分钟’；首帧额外叠加‘盆底肌高张疼痛 睡前滚一滚’字幕；无口播文字可见，仅靠画面与字幕传递信息,以单个错误动作起始，通过多角度连续帧展示修正过程，字幕贯穿始终强化认知冲突与替代方案,开头用错误姿势+痛点字幕制造认知缺口，中段通过同一动作不同视角/阶段的连续演示填补缺口，结尾以标准位定格完成行为闭环,从00:00:00.000开始，保留首帧字幕‘盆底肌高张疼痛 睡前滚一滚’作为钩子,截至00:00:22.034，确保结尾为正面标准位定格，避免后续可能的收势动作缺失,若字幕未明确区分‘凯格尔’与本动作差异，或画面无法清晰呈现骨盆位置变化，则应放弃,字幕‘盆底肌高张疼痛’是否构成医疗宣称；‘别再瞎练凯格尔’是否构成对他人方法的贬损性表述,modified,旧结构称‘错误动作+正确动作+原因解释’，但画面中无独立‘原因解释’帧（如图解/口播），实际为字幕嵌入式解释；旧称‘多角度动作对比演示’不准确，实为同一动作的连续修正过程，非并列对比,画面证据显示为单一动作的渐进修正流程，字幕承担解释功能，无独立讲解段落；开头痛点字幕明确，结尾定格完整，但健康表述存在合规风险需人工复核,00:00:00.000；00:00:01.000；00:00:04.029；00:00:07.163；00:00:10.744；00:00:14.326；00:00:17.907；00:00:22.034,success,success
fv_0008,5月27日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月27日/5月27日.mp4,16.509,1080x1920,success,yes,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,qwen3-vl-plus,high,movement_correction,错误动作 + 正确动作 + 原因解释,movement_correction,错误动作演示 + 正确动作演示 + 原因解释（发力点提示）,痛点可视化,产后妈妈；臀凹陷人群,产后臀凹陷；练这个就完事了（暗示问题存在且可解）,一组八次 上下左右每天10组,不会发力看这里（隐含效果依赖正确执行，但未明确医学边界）,动作演示；对比；发力点提示,动作完成；结果重申,00:00:00.000–00:00:02.972：展示臀部凹陷姿态+字幕‘产后臀凹陷妈妈臀 练这个就完事了’，构成痛点可视化开场,00:00:05.283–00:00:13.207：多帧重复‘一组八次 上下左右每天10组’+右侧竖排‘不会发力看这里’，呈现正确动作与发力提示的对比式分步演示,00:00:16.159：定格在标准动作位，字幕仍为训练频次指令，属动作完成+结果重申收尾,画面中人物坐椅做髋部微蹲类动作；前两帧突出臀部凹陷形态并配痛点文字；后续帧统一显示标准动作位+黄色训练指令字幕+右侧‘不会发力看这里’竖排提示；无口播文字可见，仅字幕信息,以同一动作的错误形态切入，快速转入标准动作重复演示，并通过固定字幕强化训练参数与发力提醒，形成‘问题-方案-执行指引’闭环,开头痛点画面（00:00:00–00:00:02）通过动作姿态自然过渡到中段标准动作演示（00:00:05起），结尾以相同动作定格+重复指令收束，依赖视觉一致性而非剪辑跳转,从00:00:00.000开始，保留首帧痛点字幕与体态画面,截至00:00:16.159，确保最后一帧为完整动作定格+指令字幕,若实际视频中无‘不会发力看这里’等关键提示字幕，或动作演示模糊无法区分正误，则应放弃,‘不会发力看这里’是否在全片持续出现且位置稳定；字幕‘练这个就完事了’是否存在过度承诺风险,confirmed,旧结构‘错误动作+正确动作+原因解释’完全匹配画面证据，未修正,8帧contact sheet清晰呈现：前2帧为凹陷姿态+痛点字幕（错误动作），后6帧均为标准动作+训练指令+发力提示（正确动作+原因解释），时间码与动作演进连续，结构公式与历史一致,00:00:00.000；00:00:01.000；00:00:02.972；00:00:05.283；00:00:07.924；00:00:10.566；00:00:13.207；00:00:16.159,success,success
fv_0009,70%女性中招的盆底肌误区.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/70%女性中招的盆底肌误区.mp4,65.782,1080x1920,success,yes,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,qwen-vl-max,high,pitfall_warning,人群点名 + 痛点放大 + 单动作演示 + 坚持建议,pitfall_warning,误区标题+人群共情钩子 + 问题归因与身体信号描述 + 手势模拟感知演示 + 互动引导收尾,人群点名,70%女性；中招者；肩颈劳损人群,盆底肌误区；不是因为松；感觉很堵塞；松在我这里真的是,在评论区留言或者来找我,将‘松’直接等同于盆底肌状态可能引发误解；未明确区分主观感受与临床诊断,口述归因；手势模拟身体部位；表情强化不适感,互动引导；轻行动号召,00:00:00.000（标题页：70%女性中招的盆底肌误区；配图蜷缩女性）+ 00:00:01.000（主讲人开场：很多人都在问我说）,00:00:11.841（训练的过程当中）→ 00:00:21.050（当你肩颈劳损的时候）→ 00:00:31.575（你会感觉很堵塞）→ 00:00:42.100（你会发现你的盆底肌）→ 00:00:52.626（松在我这里真的是）,00:01:05.432（在评论区留言或者来找我）,首帧为图文标题+蜷缩女性形象；后续7帧均为同一主讲人坐姿讲解，配合手部动作指向颈部/腹部区域，字幕逐句呈现‘很多人在问我’‘肩颈劳损时’‘感觉很堵塞’‘盆底肌’‘松在这里’‘评论区留言’；背景书架统一，无场景切换；每帧右上角有固定水印文字‘十五年女性健康行业经验’；底部有小字免责声明‘本内容仅为科普分享…’,以‘70%女性中招’为钩子，通过肩颈劳损→盆底肌堵塞的关联推导，用主观体感词构建认知落差，结尾转向互动留资,开头‘误区’标题由主讲人承接为‘很多人都在问我说’自然过渡到问题展开；中段以‘当你…时候’句式串联身体信号链；结尾用‘真的是’转折后接行动指令完成闭环,从00:00:00.000标题帧开始，保留00:00:01.000主讲人第一句口播作为声音锚点,截至于00:01:05.432‘评论区留言’帧，避免后续黑场或冗余静帧,若字幕中‘松’‘堵’等词未加医学限定说明，或无专业资质背书画面支撑，应放弃用于医疗类平台分发,‘松在我这里真的是’是否易被理解为诊断结论；蜷缩女性图像是否构成负面身体暗示；水印文字‘十五年经验’是否需同步资质证明,modified,旧结构称‘单动作演示’，但实际无真实动作演示帧，仅手势模拟与口述；‘风险升级收束’改为‘互动引导收尾’；‘结论前置式钩子’修正为‘误区标题+人群共情钩子’更准确,画面证据显示无实操动作演示，仅有口述+手势+字幕递进；结尾非风险强调而是留资引导；开头标题与首句口播构成双层钩子，非单纯结论前置,00:00:00.000；00:00:01.000；00:00:11.841；00:00:21.050；00:00:31.575；00:00:42.100；00:00:52.626；00:01:05.432,success,success
fv_0010,Z宫下垂盆底无力就练臀桥呼吸.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/Z宫下垂盆底无力就练臀桥呼吸.mp4,79.575,1080x1920,success,yes,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,qwen-vl-max,high,sports_teaching,痛点问题 + 原因解释 + 方法交付,sports_teaching,痛点问题 + 图示辅助解释 + 呼吸-动作同步口令教学 + 数字倒计时收束,痛点可视化,产后女性；盆底肌无力者；子宫下垂困扰者,Z宫下垂；盆底无力,就练臀桥呼吸；每天练习十分钟 下垂说拜拜；可以很好的帮我们,将‘Z宫下垂’作为可自练改善的明确指向，未标注需医疗评估前提；‘就练臀桥呼吸’构成直接效果承诺,动作演示；解剖图示；口令引导；呼吸节奏提示,数字计数强化；动作完成,00:00:00.000：大字幕‘Z宫下垂盆底无力 就练臀桥呼吸’+人物仰卧准备位；00:00:01.000：延续同一画面，字幕‘每天练习十分钟 下垂说拜拜’,00:00:14.323：右侧出现子宫解剖对比图（正常结构/子宫脱垂）+字幕‘可以很好的帮我们’；00:00:25.464：同图示持续+字幕‘配合我们的呼吸’；00:00:38.196：字幕‘吸气放松’+动作保持；00:00:50.928：字幕‘呼气’+动作维持；00:01:03.660：字幕‘卷尾骨收会阴’+动作顶峰,00:01:19.225：字幕‘十九八七六五四三二一’倒计时+动作维持位,画面始终为单人仰卧位臀桥准备/执行状态；左上角固定标题‘每天练习十分钟 下垂说拜拜’；右侧持续出现子宫解剖对比图（正常vs脱垂）；字幕依次呈现痛点→原理→呼吸指令→动作要点→倒计时；无口播画面，仅字幕引导；人物动作从准备到顶峰保持连贯，无明显中断,以静态图示与分步字幕驱动，将呼吸节奏与骨盆底肌激活动作绑定，通过倒计时实现动作闭环,开头痛点字幕直接引出图示解释（00:00:14），图示后无缝转入呼吸口令（00:00:25→00:00:38），动作要点（卷尾骨收会阴）承接呼吸指令，最终以倒计时收束动作周期,从00:00:00.000开始，保留首帧痛点字幕+人物准备位，不裁前导黑场,截至于00:01:19.225倒计时最后一帧，确保‘一’字完整显示且动作未松懈,若解剖图示被证实存在医学误导（如将‘子宫脱垂’简化为仅靠臀桥可逆），或无医疗免责声明,‘Z宫下垂’表述是否合规；解剖图示准确性；‘就练臀桥呼吸’是否构成效果承诺；倒计时是否覆盖完整动作保持期,modified,旧结构称‘原因解释’为独立段落，实际画面中原因解释（图示）与方法交付（口令）高度交织、无明显分段；结尾非‘节奏收束+数字计数强化’而是纯倒计时收束，无额外价值重申,画面证据显示图示与口令同步出现，无独立‘原因解释’段落；结尾仅倒计时，无‘节奏收束’以外的收束动作或语言,00:00:00.000；00:00:01.000；00:00:14.323；00:00:25.464；00:00:38.196；00:00:50.928；00:01:03.660；00:01:19.225,success,success
