visual_action_unit_id,candidate_id,source_file,action_start_time,action_end_time,observed_action_name,observed_body_part_or_tool,action_cycle_complete,visual_obstruction_status,presenter_visible,contact_sheet_path_local,model_used,visual_api_status,reason,notes
VA001,R513_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:07:47.370,00:08:50.370,双手置于胸部区域做轻柔按压/抚触动作，伴随轻微呼吸起伏,双手、胸部区域,unclear,clear,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/_visual_inputs/VA001_R513_001_呼吸练习/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,关键帧显示 presenter 坐姿，双手持续在胸部区域做轻柔动作，与口播中‘呼吸练习’‘关注乳房健康’‘试图控制问题’的叙述一致；动作非剧烈运动，属配合呼吸的抚触/觉察类练习；时间戳（00:07:50–00:08:40）落在口播时段（00:05:48–00:07:55）之后，但画面动作延续性合理，属 intercut 结构（口播后接动作演示），未偏离主题。,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:07:50.520,00:08:03.120,00:08:15.720,00:08:28.320,00:08:40.920; forbidden_models_called=no"
VA002,R513_002,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:20:52.210,00:21:55.210,双手合十置于胸前，身体微前倾，闭眼或低垂眼，似在静默感受或呼吸,双手、胸部区域,unclear,clear,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/_visual_inputs/VA002_R513_002_动作_练习口播/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,口播内容聚焦于‘允许哭泣’‘乳房萎缩’等情绪与身体状态叙述，并引出‘当我们在哭泣时，我们的乳房是……’的未完成句；但关键帧中呈现的是静态坐姿、双手合十、闭眼冥想式动作，无哭泣、无明显情绪释放表现，也未见与‘乳房’直接相关的触碰或动作引导。画面动作属静默感受类练习，与口播所述‘哭泣’这一具体行为不一致；且口播尚未进入实际动作指导阶段（仍在情绪铺垫），故动作与口播声称的‘动作/练习口播’不匹配。时间戳显示帧在00:20:55之后，而口播结束于00:21:00.210，后续帧已超出该口播单元范围，存在时间错位风险。,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:20:55.360,00:21:07.960,00:21:20.560,00:21:33.160,00:21:45.760; forbidden_models_called=no"
VA003,R513_003,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:22:47.870,00:25:20.660,双手置于胸前/肩高位置做缓慢开合或按压动作，伴随呼吸节奏,双手、胸部区域,unclear,clear,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/_visual_inputs/VA003_R513_003_双手抬至肩高的呼吸动作/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,关键帧显示 presenter 在不同时间点持续进行双手抬至肩高/胸前的呼吸相关动作（如轻按、展开、收拢），与口播中描述的‘乳房呼吸练习’‘边按摩边自我对话’动作一致；口播明确提及‘关于乳房的呼吸的练习’‘凶势打气’等，问题聚焦胸部/乳房状态，目的为放松与降低紧张；画面无遮挡，人物完整可见；各帧动作连贯，符合 intercut 逻辑，未出现话题断裂。,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:22:55.510,00:23:26.067,00:23:56.625,00:24:27.184,00:24:57.742; forbidden_models_called=no"
VA004,R513_004,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:28:15.740,00:30:39.380,双手抬至肩高、屈肘、手放于身体两侧，配合呼吸做胸廓扩张动作；后续出现一手轻触腋下区域,双臂、肩部、腋下区域,unclear,clear,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/_visual_inputs/VA004_R513_004_双手抬至肩高的呼吸动作/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,画面中呈现的动作（双手抬至肩高屈肘、胸廓扩张、手轻触腋下）与口播描述的‘胸式呼吸’及‘腋下淋巴激活’动作一致；口播提及‘手自然放于身体两侧曲肘’‘肩在肩窝窝里’‘想象腋下有两个球吸气时……’，与关键帧中姿势匹配；时间点分布均匀，属穿插讲解与演示的intercut结构；无画面遮挡或主体缺失；主题连续聚焦胸部/腋下状态调节，未跳题。,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:28:22.922,00:28:51.650,00:29:20.378,00:29:49.106,00:30:17.834; forbidden_models_called=no"
VA005,R513_005,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:32:07.320,00:34:23.940,双手置于胸部/乳头区域，手指轻触或按压胸前位置，伴随呼吸节奏微调手位,双手、中指（劳宫穴位置）、胸部（乳头区域）,no,clear,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/_visual_inputs/VA005_R513_005_吸管式呼吸连接/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,画面中 presenter 持续演示将中指（劳宫穴）对准乳头位置的动作，与口播中‘将劳宫穴对准乳头’‘呼吸短浅因膈肌受限’的描述一致；动作连贯、无遮挡、人物完整可见；各帧显示同一动作的不同阶段（起始→定位→维持），符合 intercut 逻辑；未偏离呼吸连接与身体觉察主题。,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:32:14.151,00:32:41.475,00:33:08.799,00:33:36.123,00:34:03.447; forbidden_models_called=no"
VA006,R513_006,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:39:19.840,00:40:22.840,双手置于胸部区域，做轻柔按压/抚摸动作，伴随呼吸起伏,双手、胸部（乳头周围区域）,unclear,clear,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/_visual_inputs/VA006_R513_006_盆底_会阴收紧放松/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,口播声称动作是‘盆底/会阴收紧放松’，但画面中仅见双手在胸部操作，未见任何盆底或会阴部位动作；口播问题为‘胸部/乳房状态’，画面虽涉及胸部触碰，但该动作是主动触摸而非对‘状态’的观察或反馈；口播目的为‘建立身体连接’，但画面动作未体现与盆底-阴道-乳房通路相关的生理联动（如呼吸配合盆底收缩）。关键帧时间点（00:39:22.990等）均在口播结束之后（SU016结束于00:39:27.840），且动作持续进行，无法确认是否为同一逻辑链中的响应动作。因此动作、问题、目的三者均不匹配。,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:39:22.990,00:39:35.590,00:39:48.190,00:40:00.790,00:40:13.390; forbidden_models_called=no"
VA007,R513_007,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:40:28.510,00:42:46.740,双手置于胸部前方，做轻柔环抱/托举+小幅揉动动作,双手、乳房区域（手部接触胸部）,unclear,clear,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/_visual_inputs/VA007_R513_007_动作_练习口播/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,画面中 presenter 始终双手轻托/环绕胸部区域，配合口播中‘手拖住它拖住乳房来吸气 然后慢慢的揉’‘揉的时候并不需要很大的力度 主要是感受你的手心’等描述，动作与口播指令一致；身体部位明确为胸部/乳房操作；无遮挡；全程可见；动作目的为教学式疗愈练习，与口播声称的‘乳房疗愈’‘动作教学’完全对应；帧序列连续呈现同一动作阶段，属典型穿插剪辑（intercut）；未偏离主题。,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:40:35.422,00:41:03.068,00:41:30.714,00:41:58.360,00:42:26.005; forbidden_models_called=no"
VA008,R513_008,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:47:37.750,00:50:12.410,unclear,unclear,unclear,unclear,unclear,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/_visual_inputs/VA008_R513_008_云门_中府区域点按/04_视觉证据_contact_sheet.jpg,,failed,qwen3-vl-plus:failed:<urlopen error EOF occurred in violation of protocol (_ssl.c:1129)> | qwen-vl-max:failed:The read operation timed out,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:47:45.483,00:48:16.415,00:48:47.347,00:49:18.279,00:49:49.211; forbidden_models_called=no"
VA009,R513_009,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:51:08.710,00:53:00.490,双手在腹部位置进行按压和呼吸配合的动作,腹部,yes,clear,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/_visual_inputs/VA009_R513_009_动作_练习口播/04_视觉证据_contact_sheet.jpg,qwen-vl-max,success,画面中人物持续进行与口播内容一致的腹部按压和呼吸动作，动作与口播同步，涉及同一身体部位（腹部），且动作目的为放松和降低紧张，与口播目的完全一致。关键帧显示完整动作循环，无遮挡，主讲人全程可见，符合intercut逻辑，无话题断裂风险。,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:51:14.299,00:51:36.655,00:51:59.011,00:52:21.367,00:52:43.723; forbidden_models_called=no"
VA010,R513_010,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:57:55.360,00:58:58.360,单手置于胸前，另一手置于颈侧/腋下区域，做静态按压或轻触姿势，未见明显划圈动作,双手、胸部、颈侧/腋下区域,no,clear,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/_visual_inputs/VA010_R513_010_胸部呼吸_胸腔扩张/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,口播明确描述‘从乳房区划圈’‘螺旋式小圈’‘三指指腹花圈’，但所有关键帧中仅见静态手位（一手放胸前、一手放颈侧/腋下），无任何划圈、螺旋、指腹按摩动作；时间戳00:57:58.510已接近口播结束（00:58:03.360），后续帧更晚，仍未出现所述动作，故动作与口播不一致；因核心动作缺失，无法确认问题与目的是否匹配；存在明显话题断裂风险。,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:57:58.510,00:58:11.110,00:58:23.710,00:58:36.310,00:58:48.910; forbidden_models_called=no"
