opportunity_id,recording_id,source_file,start_time,end_time,route_decision,content_archetype,native_clip_opportunity,repackaging_opportunity,adjacent_merge_opportunity,problem_action_bridge_status,audio_tts_subtitle_alignment_status,candidate_status,evidence,manual_review_items
live_opp_001,rec_001,2025.3月28日-1号（被判医疗）.MP4,00:00:00.000,00:01:30.000,adjacent_merge_candidate,native_live_clip,no_current_window_incomplete,pending,yes,pending_problem_action_bridge_after_transcript,pending_audio_transcript,pending_audio_transcript,无有效开头理由、中段交付缺失、结尾非自然收束；仅含静态坐姿与零散手势，无法构成独立内容单元 存在前后文救回线索，但当前窗口仍缺完整开中结证据。,听口播/字幕；扩展前后窗口；确认动作完整循环；确认健康和业务风险
live_opp_002,rec_001,2025.3月28日-1号（被判医疗）.MP4,00:02:50.000,00:04:20.000,action_repackaging_candidate,single_action_tts_teaching,no_current_window_incomplete,possible,yes,pending_problem_action_bridge_after_transcript,pending_audio_transcript,pending_audio_transcript,缺乏开头观看理由与结尾收束；中段仅有讲解姿态，无可验证的动作/方法交付证据 备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。,听口播/字幕；扩展前后窗口；确认动作完整循环；确认健康和业务风险
live_opp_003,rec_001,2025.3月28日-1号（被判医疗）.MP4,00:04:20.000,00:05:50.000,reject_unusable,single_action_tts_teaching,no_current_window_incomplete,pending,no,pending_problem_action_bridge_after_transcript,pending_audio_transcript,rejected_missing_bridge,结尾帧无收束信号；全程无信息增量，重复讲解姿态 原弃用理由指向低信息增量或无法独立成段，当前视觉证据不支持救回。,听口播/字幕；扩展前后窗口；确认动作完整循环；确认健康和业务风险
live_opp_004,rec_001,2025.3月28日-1号（被判医疗）.MP4,00:05:40.000,00:08:40.000,action_repackaging_candidate,single_action_tts_teaching,no_current_window_incomplete,possible,yes,pending_problem_action_bridge_after_transcript,pending_audio_transcript,pending_audio_transcript,无明确开头观看理由（未说明问题/目标/受众），中段仅有手势变化无实质方法交付，结尾无自然收束；缺乏字幕/道具/流程支撑完整性 备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。,听口播/字幕；扩展前后窗口；确认动作完整循环；确认健康和业务风险
live_opp_005,rec_001,2025.3月28日-1号（被判医疗）.MP4,00:08:30.000,00:11:30.000,action_repackaging_candidate,single_action_tts_teaching,no_current_window_incomplete,possible,yes,pending_problem_action_bridge_after_transcript,pending_audio_transcript,pending_audio_transcript,开头无观看理由建立，中段动作缺乏可识别交付内容，结尾无收束信号；整体为片段化讲解，不满足完整候选结构要求 主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。,听口播/字幕；扩展前后窗口；确认动作完整循环；确认健康和业务风险
live_opp_006,rec_001,2025.3月28日-1号（被判医疗）.MP4,00:11:20.000,00:14:20.000,action_repackaging_candidate,single_action_tts_teaching,no_current_window_incomplete,possible,yes,pending_problem_action_bridge_after_transcript,pending_audio_transcript,pending_audio_transcript,缺乏开头观看理由、中段无真实可验证交付、结尾无自然收束；仅单人静态讲解片段，无结构完整性 存在前后文救回线索，但当前窗口仍缺完整开中结证据。,听口播/字幕；扩展前后窗口；确认动作完整循环；确认健康和业务风险
live_opp_007,rec_001,2025.3月28日-1号（被判医疗）.MP4,00:14:10.000,00:17:10.000,action_repackaging_candidate,single_action_tts_teaching,no_current_window_incomplete,possible,yes,pending_problem_action_bridge_after_transcript,pending_audio_transcript,pending_audio_transcript,缺少结构化开头（无观看理由/问题引入）与中段真实交付证据（动作无步骤说明、无原理/效果支撑）；仅靠视觉动作无法判定为完整教学片段 备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。,听口播/字幕；扩展前后窗口；确认动作完整循环；确认健康和业务风险
live_opp_008,rec_001,2025.3月28日-1号（被判医疗）.MP4,00:17:00.000,00:20:00.000,action_repackaging_candidate,single_action_tts_teaching,no_current_window_incomplete,possible,yes,pending_problem_action_bridge_after_transcript,pending_audio_transcript,pending_audio_transcript,无明确开头观看理由（未说明问题/价值）、中段动作无上下文支撑为有效交付、结尾无自然收束；仅靠重复手部动作不足以构成完整片段 备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。,听口播/字幕；扩展前后窗口；确认动作完整循环；确认健康和业务风险
live_opp_009,rec_001,2025.3月28日-1号（被判医疗）.MP4,00:19:50.000,00:22:50.000,action_repackaging_candidate,single_action_tts_teaching,no_current_window_incomplete,possible,yes,pending_problem_action_bridge_after_transcript,pending_audio_transcript,pending_audio_transcript,无明确开头观看理由与结尾自然收束；中段动作存在但交付完整性依赖口播，画面证据不足 主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。,听口播/字幕；扩展前后窗口；确认动作完整循环；确认健康和业务风险
live_opp_010,rec_001,2025.3月28日-1号（被判医疗）.MP4,00:22:40.000,00:25:40.000,action_repackaging_candidate,single_action_tts_teaching,no_current_window_incomplete,possible,yes,pending_problem_action_bridge_after_transcript,pending_audio_transcript,pending_audio_transcript,无明确开头动机、中段交付缺失、结尾未收束；仅静态坐姿+零星持物动作，无法独立成段 存在前后文救回线索，但当前窗口仍缺完整开中结证据。,听口播/字幕；扩展前后窗口；确认动作完整循环；确认健康和业务风险
