current_video_id,file_name,analysis_status,old_structure_formula_match,new_structure_formula_candidate,formula_action,editor_usable_score,live_screening_transfer_score,opening_value,middle_delivery_value,ending_value,action_visual_evidence,expression_or_emotion_evidence,subtitle_or_text_evidence,speech_action_sync,missing_part,recommended_editor_action,stage1_priority,manual_review_items,risk_notes,evidence_summary
cfv_0001,30+产后妈妈居家必练动作.mp4,pending_visual_review,人群点名 + 低门槛动作 + 坚持建议,人群/年龄点名 + 单动作循环演示 + 坚持建议,split,3,1,待视觉复核；基于标题/路径语义，待关键帧确认,单动作循环演示；需确认动作完整循环、发力点、方向/次数/呼吸,轻跟练/收藏/风险提醒优先；强转化与效果承诺待人工删改,单动作循环演示；当前未调用视觉模型，动作画面证据待人审,pending_visual_review：未做人脸/情绪视觉识别,文件名/路径语义可辅助，不能替代字幕 OCR 或画面确认,pending_visual_review：未做 ASR/口播与动作同步验证,无明显缺失但需视觉人审,只作灵感,B,关键帧确认动作是否完整；字幕/口播是否同题兑现；健康/效果/价格/课程事实待客户确认,无明显标题风险，但仍需视觉和业务人审,元数据：10.611s，1080x1920，60.000fps，audio=true；标题锚点：待视觉复核/待视觉复核/单动作循环演示
cfv_0002,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,pending_visual_review,痛点问题 + 原因解释 + 方法交付,问题问答 + 原因解释 + 方法边界（盆底松弛无力）,keep,3,3,盆底松弛无力；基于标题/路径语义，待关键帧确认,单动作循环演示；需确认动作完整循环、发力点、方向/次数/呼吸,轻跟练/收藏/风险提醒优先；强转化与效果承诺待人工删改,单动作循环演示；当前未调用视觉模型，动作画面证据待人审,pending_visual_review：未做人脸/情绪视觉识别,文件名/路径语义可辅助，不能替代字幕 OCR 或画面确认,pending_visual_review：未做 ASR/口播与动作同步验证,缺业务/健康事实确认,可二次加工,A,关键帧确认动作是否完整；字幕/口播是否同题兑现；健康/效果/价格/课程事实待客户确认,医学/健康边界风险；效果承诺风险；单一方法过度承诺,元数据：11.749s，1080x1920，60.000fps，audio=true；标题锚点：盆底松弛无力/小腹平/肚子平/单动作循环演示
cfv_0003,4月17日(1).mp4,pending_visual_review,待视觉复核：文件名无足够结构信息,待视觉复核：需关键帧/人工判断后定公式,pending_visual_review,1,1,待视觉复核；基于标题/路径语义，待关键帧确认,待视觉复核；需确认动作完整循环、发力点、方向/次数/呼吸,轻跟练/收藏/风险提醒优先；强转化与效果承诺待人工删改,待视觉复核；当前未调用视觉模型，动作画面证据待人审,pending_visual_review：未做人脸/情绪视觉识别,文件名/路径语义可辅助，不能替代字幕 OCR 或画面确认,pending_visual_review：未做 ASR/口播与动作同步验证,缺开头人群/痛点；缺动作证据；缺视觉结构证据,只作灵感,C,关键帧确认动作是否完整；字幕/口播是否同题兑现；健康/效果/价格/课程事实待客户确认,无明显标题风险，但仍需视觉和业务人审,元数据：27.353s，720x1280，60.000fps，audio=true；标题锚点：待视觉复核/待视觉复核/待视觉复核
cfv_0004,5月26日.mp4,pending_visual_review,待视觉复核：文件名无足够结构信息,待视觉复核：需关键帧/人工判断后定公式,pending_visual_review,1,1,待视觉复核；基于标题/路径语义，待关键帧确认,待视觉复核；需确认动作完整循环、发力点、方向/次数/呼吸,轻跟练/收藏/风险提醒优先；强转化与效果承诺待人工删改,待视觉复核；当前未调用视觉模型，动作画面证据待人审,pending_visual_review：未做人脸/情绪视觉识别,文件名/路径语义可辅助，不能替代字幕 OCR 或画面确认,pending_visual_review：未做 ASR/口播与动作同步验证,缺开头人群/痛点；缺动作证据；缺视觉结构证据,只作灵感,C,关键帧确认动作是否完整；字幕/口播是否同题兑现；健康/效果/价格/课程事实待客户确认,无明显标题风险，但仍需视觉和业务人审,元数据：14.141s，1080x1920，60.000fps，audio=true；标题锚点：待视觉复核/待视觉复核/待视觉复核
cfv_0005,5月26日 (2).mp4,pending_visual_review,待视觉复核：文件名无足够结构信息,待视觉复核：需关键帧/人工判断后定公式,pending_visual_review,1,1,待视觉复核；基于标题/路径语义，待关键帧确认,待视觉复核；需确认动作完整循环、发力点、方向/次数/呼吸,轻跟练/收藏/风险提醒优先；强转化与效果承诺待人工删改,待视觉复核；当前未调用视觉模型，动作画面证据待人审,pending_visual_review：未做人脸/情绪视觉识别,文件名/路径语义可辅助，不能替代字幕 OCR 或画面确认,pending_visual_review：未做 ASR/口播与动作同步验证,缺开头人群/痛点；缺动作证据；缺视觉结构证据,只作灵感,C,关键帧确认动作是否完整；字幕/口播是否同题兑现；健康/效果/价格/课程事实待客户确认,无明显标题风险，但仍需视觉和业务人审,元数据：12.213s，1080x1920，30.000fps，audio=true；标题锚点：待视觉复核/待视觉复核/待视觉复核
cfv_0006,5月26日(1).mp4,pending_visual_review,待视觉复核：文件名无足够结构信息,待视觉复核：需关键帧/人工判断后定公式,pending_visual_review,1,1,待视觉复核；基于标题/路径语义，待关键帧确认,待视觉复核；需确认动作完整循环、发力点、方向/次数/呼吸,轻跟练/收藏/风险提醒优先；强转化与效果承诺待人工删改,待视觉复核；当前未调用视觉模型，动作画面证据待人审,pending_visual_review：未做人脸/情绪视觉识别,文件名/路径语义可辅助，不能替代字幕 OCR 或画面确认,pending_visual_review：未做 ASR/口播与动作同步验证,缺开头人群/痛点；缺动作证据；缺视觉结构证据,只作灵感,C,关键帧确认动作是否完整；字幕/口播是否同题兑现；健康/效果/价格/课程事实待客户确认,无明显标题风险，但仍需视觉和业务人审,元数据：14.141s，1080x1920，60.000fps，audio=true；标题锚点：待视觉复核/待视觉复核/待视觉复核
cfv_0007,5月27日.mp4,pending_visual_review,待视觉复核：文件名无足够结构信息,待视觉复核：需关键帧/人工判断后定公式,pending_visual_review,1,1,待视觉复核；基于标题/路径语义，待关键帧确认,待视觉复核；需确认动作完整循环、发力点、方向/次数/呼吸,轻跟练/收藏/风险提醒优先；强转化与效果承诺待人工删改,待视觉复核；当前未调用视觉模型，动作画面证据待人审,pending_visual_review：未做人脸/情绪视觉识别,文件名/路径语义可辅助，不能替代字幕 OCR 或画面确认,pending_visual_review：未做 ASR/口播与动作同步验证,缺开头人群/痛点；缺动作证据；缺视觉结构证据,只作灵感,C,关键帧确认动作是否完整；字幕/口播是否同题兑现；健康/效果/价格/课程事实待客户确认,无明显标题风险，但仍需视觉和业务人审,元数据：16.509s，1080x1920，30.000fps，audio=true；标题锚点：待视觉复核/待视觉复核/待视觉复核
cfv_0008,5月27日 (1).mp4,pending_visual_review,待视觉复核：文件名无足够结构信息,待视觉复核：需关键帧/人工判断后定公式,pending_visual_review,1,1,待视觉复核；基于标题/路径语义，待关键帧确认,待视觉复核；需确认动作完整循环、发力点、方向/次数/呼吸,轻跟练/收藏/风险提醒优先；强转化与效果承诺待人工删改,待视觉复核；当前未调用视觉模型，动作画面证据待人审,pending_visual_review：未做人脸/情绪视觉识别,文件名/路径语义可辅助，不能替代字幕 OCR 或画面确认,pending_visual_review：未做 ASR/口播与动作同步验证,缺开头人群/痛点；缺动作证据；缺视觉结构证据,只作灵感,C,关键帧确认动作是否完整；字幕/口播是否同题兑现；健康/效果/价格/课程事实待客户确认,无明显标题风险，但仍需视觉和业务人审,元数据：22.384s，1080x1920，30.000fps，audio=true；标题锚点：待视觉复核/待视觉复核/待视觉复核
cfv_0009,70%女性中招的盆底肌误区.mp4,pending_visual_review,错误动作 + 正确动作 + 原因解释,误区/错误先抛 + 正确动作对比 + 原因解释（盆底松弛无力）,keep,3,3,盆底松弛无力；基于标题/路径语义，待关键帧确认,图解/解剖辅助说明；需确认动作完整循环、发力点、方向/次数/呼吸,轻跟练/收藏/风险提醒优先；强转化与效果承诺待人工删改,图解/解剖辅助说明；当前未调用视觉模型，动作画面证据待人审,pending_visual_review：未做人脸/情绪视觉识别,文件名/路径语义可辅助，不能替代字幕 OCR 或画面确认,pending_visual_review：未做 ASR/口播与动作同步验证,无明显缺失但需视觉人审,可二次加工,A,关键帧确认动作是否完整；字幕/口播是否同题兑现；健康/效果/价格/课程事实待客户确认,医学/健康边界风险；高发误区/比例刺激,元数据：65.782s，1080x1920，60.000fps，audio=true；标题锚点：盆底松弛无力/待视觉复核/图解/解剖辅助说明
cfv_0010,Z宫下垂盆底无力就练臀桥呼吸.mp4,pending_visual_review,人群点名 + 痛点放大 + 单动作演示 + 坚持建议,痛点/人群点名 + 工具辅助动作 + 坚持建议,merge,3,3,盆底松弛无力；基于标题/路径语义，待关键帧确认,工具辅助动作；需确认动作完整循环、发力点、方向/次数/呼吸,轻跟练/收藏/风险提醒优先；强转化与效果承诺待人工删改,工具辅助动作；当前未调用视觉模型，动作画面证据待人审,pending_visual_review：未做人脸/情绪视觉识别,文件名/路径语义可辅助，不能替代字幕 OCR 或画面确认,pending_visual_review：未做 ASR/口播与动作同步验证,无明显缺失但需视觉人审,可二次加工,A,关键帧确认动作是否完整；字幕/口播是否同题兑现；健康/效果/价格/课程事实待客户确认,医学/健康边界风险,元数据：79.575s，1080x1920，60.000fps，audio=true；标题锚点：盆底松弛无力/待视觉复核/工具辅助动作
