category,trigger_type,trigger_detail,count,example_video_ids,status_note
人群触发,身体状态点名,盆底松弛/盆底无力,8,fv_0006；fv_0029；fv_0037；fv_0047；fv_0061；fv_0065；fv_0074；fv_0089,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,动作状态点名,练错动作/误区人群,7,fv_0003；fv_0008；fv_0027；fv_0035；fv_0040；fv_0044；fv_0063,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,年龄点名,40岁/40+女性；女性/姐妹；臀凹陷/妈妈臀/扁平臀,5,fv_0020；fv_0033；fv_0075；fv_0077；fv_0083,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；漏尿/漏水/漏气人群,5,fv_0051；fv_0052；fv_0055；fv_0096；fv_0098,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,泛人群/场景点名,未显式细分_基于画面或标题待复核,5,fv_0043；fv_0046；fv_0070；fv_0084；fv_0087,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,年龄点名,40岁/40+女性；女性/姐妹,4,fv_0018；fv_0022；fv_0024；fv_0066,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,年龄点名,40岁/40+女性；女性/姐妹；盆底松弛/盆底无力,4,fv_0019；fv_0021；fv_0023；fv_0025,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,女性/姐妹；盆底松弛/盆底无力,3,fv_0031；fv_0071；fv_0097,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,40岁/40+女性；女性/姐妹；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀,2,fv_0073；fv_0092,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；女性/姐妹,2,fv_0059；fv_0060,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；女性/姐妹；臀凹陷/妈妈臀/扁平臀,2,fv_0016；fv_0032,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；漏尿/漏水/漏气人群；练错动作/误区人群,2,fv_0034；fv_0054,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；臀凹陷/妈妈臀/扁平臀,2,fv_0053；fv_0081,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,女性/姐妹；漏尿/漏水/漏气人群；练错动作/误区人群,2,fv_0009；fv_0015,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,小腹凸/悬垂腹/腹压问题,2,fv_0069；fv_0076,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,漏尿/漏水/漏气人群,2,fv_0039；fv_0085,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,漏尿/漏水/漏气人群；盆底松弛/盆底无力,2,fv_0080；fv_0093,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,漏尿/漏水/漏气人群；盆底松弛/盆底无力；练错动作/误区人群,2,fv_0014；fv_0045,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题,2,fv_0067；fv_0082,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀,2,fv_0041；fv_0091,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,盆底松弛/盆底无力；练错动作/误区人群,2,fv_0005；fv_0028,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,臀凹陷/妈妈臀/扁平臀,2,fv_0088；fv_0090,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,30岁/30+女性；产后妈妈/宝妈；女性/姐妹,1,fv_0004,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,30岁/30+女性；产后妈妈/宝妈；漏尿/漏水/漏气人群；盆底松弛/盆底无力；盆底高张/疼痛不适,1,fv_0001,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,年龄点名,30岁/30+女性；女性/姐妹,1,fv_0017,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,30岁/30+女性；女性/姐妹；盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀,1,fv_0094,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,35岁以后女性；产后妈妈/宝妈；盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀；练错动作/误区人群,1,fv_0002,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,40岁/40+女性；女性/姐妹；漏尿/漏水/漏气人群；盆底松弛/盆底无力,1,fv_0026,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈,1,fv_0049,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；女性/姐妹；盆底松弛/盆底无力,1,fv_0036,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；女性/姐妹；盆底松弛/盆底无力；臀凹陷/妈妈臀/扁平臀,1,fv_0058,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,产后妈妈/宝妈；小腹凸/悬垂腹/腹压问题；膨出/脱垂/下垂,1,fv_0050,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,产后妈妈/宝妈；漏尿/漏水/漏气人群；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀,1,fv_0100,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,产后妈妈/宝妈；漏尿/漏水/漏气人群；盆底松弛/盆底无力,1,fv_0011,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；盆底松弛/盆底无力,1,fv_0095,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,产后妈妈/宝妈；盆底松弛/盆底无力；臀凹陷/妈妈臀/扁平臀；练错动作/误区人群,1,fv_0030,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；盆底高张/疼痛不适,1,fv_0056,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；练错动作/误区人群,1,fv_0048,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,产后妈妈/宝妈；膨出/脱垂/下垂,1,fv_0057,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,女性/姐妹；漏尿/漏水/漏气人群,1,fv_0013,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,女性/姐妹；漏尿/漏水/漏气人群；盆底松弛/盆底无力；臀凹陷/妈妈臀/扁平臀,1,fv_0078,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,女性/姐妹；盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；练错动作/误区人群,1,fv_0012,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,女性/姐妹；盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀,1,fv_0038,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,女性/姐妹；盆底松弛/盆底无力；膨出/脱垂/下垂,1,fv_0086,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,女性/姐妹；练错动作/误区人群,1,fv_0007,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身份点名,女性/姐妹；臀凹陷/妈妈臀/扁平臀,1,fv_0072,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,小腹凸/悬垂腹/腹压问题；练错动作/误区人群,1,fv_0099,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,小腹凸/悬垂腹/腹压问题；膨出/脱垂/下垂,1,fv_0079,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,漏尿/漏水/漏气人群；小腹凸/悬垂腹/腹压问题；臀凹陷/妈妈臀/扁平臀,1,fv_0042,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,盆底松弛/盆底无力；小腹凸/悬垂腹/腹压问题；练错动作/误区人群,1,fv_0068,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,盆底松弛/盆底无力；膨出/脱垂/下垂,1,fv_0010,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
人群触发,身体状态点名,盆底松弛/盆底无力；臀凹陷/妈妈臀/扁平臀,1,fv_0062,基于前100条已解析样本归纳，待用户人审；不外推到518条pending样本
