pair_id,topic_guess,video_source_id,video_file_name,text_source_id,text_file_name,pair_confidence,pair_status,manual_check_reason,next_action
pair_0001,正样本成片/10分钟练出紧致 盆底肌,src_scan_0001,10分钟练出紧致 盆底肌.mp4,src_scan_0002,10分钟练出紧致 盆底肌.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0002,正样本成片/50+女性练出精致的盆底肌,src_scan_0005,50+女性练出精致的盆底肌.mp4,src_scan_0006,50+女性练出精致的盆底肌.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0003,正样本成片/60岁的夫妻生活还有意思吗,src_scan_0007,60岁的夫妻生活还有意思吗.mp4,src_scan_0008,60岁的夫妻生活还有意思吗.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0004,正样本成片/60岁还有夫妻生活是种什么体验,src_scan_0009,60岁还有夫妻生活是种什么体验.mp4,src_scan_0010,60岁还有夫妻生活是种什么体验.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0005,正样本成片/S蜜垂吊球练一次收一次,src_scan_0011,S蜜垂吊球练一次收一次.mp4,src_scan_0012,S蜜垂吊球练一次收一次.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0006,正样本成片/两个动作让你轻松臀跳舞,src_scan_0013,两个动作让你轻松臀跳舞.mp4,src_scan_0014,两个动作让你轻松臀跳舞.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0007,正样本成片/为什么男人都喜欢丰满的女人,src_scan_0015,为什么男人都喜欢丰满的女人.mp4,src_scan_0016,为什么男人都喜欢丰满的女人.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0008,正样本成片/亚洲和欧洲女性身体上的区别在哪,src_scan_0017,亚洲和欧洲女性身体上的区别在哪.mp4,src_scan_0018,亚洲和欧洲女性身体上的区别在哪.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0009,正样本成片/动态臀桥 练一次收一次,src_scan_0019,动态臀桥 练一次收一次.mp4,src_scan_0020,动态臀桥 练一次收一次.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
pair_0010,正样本成片/只要你会很玩 男人就会很上头,src_scan_0021,只要你会很玩 男人就会很上头.mp4,src_scan_0022,只要你会很玩 男人就会很上头.txt,1.00,已配对,,进入人工抽检，验证 txt 是否带 timecode 且内容对应视频
