pair_group_id,recording_id,talk_segment_id,talk_start_time,talk_end_time,talk_function,talk_summary,action_segment_id,action_start_time,action_end_time,normalized_action_id,action_function,target_problem,pair_relation,gap_seconds,why_pair,editor_sequence_advice,stage1_priority,review_status
pair_0001,rec_001,live_cand_0001,00:04:00.000,00:06:00.000,异议,机器转写高层摘要：口播功能=异议；主题=胸部/呼吸练习 / 情绪/关系表达 / 动作/问题关键词命中；结构倾向=多动作组合 + 同一主题推进 + 轻跟练收束；动作词族命中；转写字符数约 454。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,live_cand_0001,00:04:00.000,00:06:00.000,presenter_step_count_or_page_turn,演示,course_step_explain,talk_before_action,0,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,B,pending_manual_audio_visual_review
pair_0002,rec_001,live_cand_0002,00:06:00.000,00:08:00.000,异议,机器转写高层摘要：口播功能=异议；主题=动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达；结构倾向=问题问答 + 原因解释 + 方法边界；动作词族命中；转写字符数约 548。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,live_cand_0002,00:06:00.000,00:08:00.000,course_relationship_problem_reference,演示,relationship_communication,talk_before_action,0,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,B,pending_manual_audio_visual_review
pair_0003,rec_001,live_cand_0003,00:08:00.000,00:10:00.000,异议,机器转写高层摘要：口播功能=异议；主题=胸部/呼吸练习 / 问题问答/原因解释 / 课程/商品/业务信息 / 情绪/关系表达；结构倾向=问题问答 + 原因解释 + 方法边界；动作词族命中；转写字符数约 591。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,live_cand_0003,00:08:00.000,00:10:00.000,course_relationship_problem_reference,证据,relationship_communication,talk_before_action,0,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,B,pending_manual_audio_visual_review
pair_0004,rec_001,live_cand_0004,00:10:00.000,00:12:00.000,风险,机器转写高层摘要：口播功能=风险；主题=动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 误区纠错/风险提醒；结构倾向=误区/错误先抛 + 正确动作对比 + 原因解释；动作词族命中；转写字符数约 595。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,live_cand_0004,00:10:00.000,00:12:00.000,presenter_emphasis_warning_pause,纠错,risk_boundary,talk_before_action,0,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,A,pending_manual_audio_visual_review
pair_0005,rec_001,live_cand_0005,00:12:00.000,00:14:00.000,异议,机器转写高层摘要：口播功能=异议；主题=盆底/产后训练 / 胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达；结构倾向=多动作组合 + 同一主题推进 + 轻跟练收束；动作词族命中；转写字符数约 637。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,live_cand_0005,00:12:00.000,00:14:00.000,presenter_step_count_or_page_turn,证据,course_step_explain,talk_before_action,0,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,B,pending_manual_audio_visual_review
pair_0006,rec_001,live_cand_0006,00:14:00.000,00:16:00.000,方法,机器转写高层摘要：口播功能=方法；主题=胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中；结构倾向=问题问答 + 原因解释 + 方法边界；动作词族命中；转写字符数约 566。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,live_cand_0006,00:14:00.000,00:16:00.000,course_relationship_problem_reference,演示,relationship_communication,intercut_needed,0,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,A,pending_manual_audio_visual_review
pair_0007,rec_001,live_cand_0007,00:16:00.000,00:18:00.000,异议,机器转写高层摘要：口播功能=异议；主题=问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中；结构倾向=多动作组合 + 同一主题推进 + 轻跟练收束；动作词族命中；转写字符数约 556。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,live_cand_0007,00:16:00.000,00:18:00.000,presenter_step_count_or_page_turn,证据,course_step_explain,talk_before_action,0,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,B,pending_manual_audio_visual_review
pair_0008,rec_001,live_cand_0008,00:18:00.000,00:20:00.000,异议,机器转写高层摘要：口播功能=异议；主题=动作口令/跟练 / 问题问答/原因解释 / 情绪/关系表达；结构倾向=多动作组合 + 同一主题推进 + 轻跟练收束；动作词族命中；转写字符数约 606。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,live_cand_0008,00:18:00.000,00:20:00.000,presenter_step_count_or_page_turn,演示,course_step_explain,talk_before_action,0,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,B,pending_manual_audio_visual_review
pair_0009,rec_001,live_cand_0009,00:20:00.000,00:22:00.000,异议,机器转写高层摘要：口播功能=异议；主题=胸部/呼吸练习 / 问题问答/原因解释 / 情绪/关系表达 / 动作/问题关键词命中；结构倾向=问题问答 + 原因解释 + 方法边界；动作词族命中；转写字符数约 568。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,live_cand_0009,00:20:00.000,00:22:00.000,course_relationship_problem_reference,证据,relationship_communication,talk_before_action,0,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,B,pending_manual_audio_visual_review
pair_0010,rec_001,live_cand_0010,00:22:00.000,00:24:00.000,异议,机器转写高层摘要：口播功能=异议；主题=动作口令/跟练 / 胸部/呼吸练习 / 问题问答/原因解释 / 误区纠错/风险提醒；结构倾向=多动作组合 + 同一主题推进 + 轻跟练收束；动作词族命中；转写字符数约 486。原文留在本地忽略 ASR 缓存，提交表不展开敏感细节。,live_cand_0010,00:22:00.000,00:24:00.000,presenter_step_count_or_page_turn,纠错,course_step_explain,talk_before_action,0,同一 120 秒窗口内同时命中口播功能和动作/道具/发力词族；需原片确认画面是否同步。,先听口播确定主问题，再截同窗口动作；若动作在后半段，按口播在前动作在后剪。,B,pending_manual_audio_visual_review
