rejected_id,recording_id,start_time,end_time,original_reject_reason,missing_part,could_be_fixed_by_manual_edit,recheck_category,rescue_level,needs_transcript_or_audio,needs_manual_start_end_extension,risk_review_required,next_action,reason_for_next_action
rej_001,rec_001,00:00:00.000,00:01:30.000,无有效开头理由、中段交付缺失、结尾非自然收束；仅含静态坐姿与零散手势，无法构成独立内容单元,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,pending,yes,yes,no,context_window_recheck_before_any_export,存在前后文救回线索，但当前窗口仍缺完整开中结证据。
rej_002,rec_001,00:02:50.000,00:04:20.000,缺乏开头观看理由与结尾收束；中段仅有讲解姿态，无可验证的动作/方法交付证据,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;medical_or_business_risk;possible_manual_extension,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_003,rec_001,00:04:20.000,00:05:50.000,结尾帧无收束信号；全程无信息增量，重复讲解姿态,ending/evidence,no,middle_missing;ending_missing;evidence_missing;unlikely_rescue,no,yes,no,no,keep_rejected,原弃用理由指向低信息增量或无法独立成段，当前视觉证据不支持救回。
rej_004,rec_001,00:05:40.000,00:08:40.000,无明确开头观看理由（未说明问题/目标/受众），中段仅有手势变化无实质方法交付，结尾无自然收束；缺乏字幕/道具/流程支撑完整性,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;medical_or_business_risk;possible_manual_extension;unlikely_rescue,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_005,rec_001,00:08:30.000,00:11:30.000,开头无观看理由建立，中段动作缺乏可识别交付内容，结尾无收束信号；整体为片段化讲解，不满足完整候选结构要求,opening/evidence/continuity,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;continuity_risk;medical_or_business_risk;possible_manual_extension;unlikely_rescue,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_006,rec_001,00:11:20.000,00:14:20.000,缺乏开头观看理由、中段无真实可验证交付、结尾无自然收束；仅单人静态讲解片段，无结构完整性,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,pending,yes,yes,no,context_window_recheck_before_any_export,存在前后文救回线索，但当前窗口仍缺完整开中结证据。
rej_007,rec_001,00:14:10.000,00:17:10.000,缺少结构化开头（无观看理由/问题引入）与中段真实交付证据（动作无步骤说明、无原理/效果支撑）；仅靠视觉动作无法判定为完整教学片段,"opening,middle,evidence",unclear,opening_missing;middle_missing;evidence_missing;medical_or_business_risk;possible_manual_extension,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_008,rec_001,00:17:00.000,00:20:00.000,无明确开头观看理由（未说明问题/价值）、中段动作无上下文支撑为有效交付、结尾无自然收束；仅靠重复手部动作不足以构成完整片段,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_009,rec_001,00:19:50.000,00:22:50.000,无明确开头观看理由与结尾自然收束；中段动作存在但交付完整性依赖口播，画面证据不足,opening/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_010,rec_001,00:22:40.000,00:25:40.000,无明确开头动机、中段交付缺失、结尾未收束；仅静态坐姿+零星持物动作，无法独立成段,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,pending,yes,yes,no,context_window_recheck_before_any_export,存在前后文救回线索，但当前窗口仍缺完整开中结证据。
rej_011,rec_001,00:25:30.000,00:28:30.000,无明确开头观看理由（无问题引入/价值承诺）、中段仅有手势无实质交付证据、结尾无自然收束；整体为持续讲解片段但缺乏结构锚点,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;medical_or_business_risk;possible_manual_extension;unlikely_rescue,pending,yes,yes,yes,context_window_recheck_before_any_export,存在前后文救回线索，但当前窗口仍缺完整开中结证据。
rej_012,rec_001,00:28:20.000,00:31:20.000,无明确开头观看理由与结尾收束；中段仅动作序列，缺乏方法讲解证据（无字幕/道具说明/步骤分解）,opening/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_013,rec_001,00:31:10.000,00:34:10.000,无开头观看理由、无中段实质交付、结尾非自然收束；仅静态坐姿+零星手势，无法构成独立内容单元,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_014,rec_001,00:34:00.000,00:37:00.000,缺乏开头观看理由、中段真实交付、结尾收束三要素；仅呈现静态坐姿与微动作，无信息密度,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;continuity_risk;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_015,rec_001,00:36:50.000,00:39:50.000,无明确开头观看理由、无结尾收束；中段动作缺乏可识别的交付结构（步骤/原理/验证）；仅靠连续坐姿+手势不足以构成完整教学片段,opening/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;continuity_risk;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_016,rec_001,00:39:40.000,00:42:40.000,开头无观看理由建立，中段无明确方法交付证据，结尾未收束；仅靠重复坐姿+手部动作无法构成完整单元,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,pending,yes,yes,no,context_window_recheck_before_any_export,存在前后文救回线索，但当前窗口仍缺完整开中结证据。
rej_017,rec_001,00:42:30.000,00:45:30.000,无完整结构：开头未建立观看理由，中段仅展示物品无方法/逻辑链，结尾无收束；动作孤立，缺乏叙事支撑,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;medical_or_business_risk;possible_manual_extension,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_018,rec_001,00:45:20.000,00:48:20.000,缺乏完整结构：无明确开头（观看理由）、无中段实质交付（仅手势无动作/方法演示）、无结尾收束；黑帧过多导致连续性断裂,opening/middle/ending/evidence/continuity,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;continuity_risk;medical_or_business_risk;possible_manual_extension,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_019,rec_001,00:48:10.000,00:51:10.000,缺乏完整结构：无明确开头观看理由、无中段实质交付、无结尾收束；仅静态坐姿+零星手势，无法构成独立内容单元,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_020,rec_001,00:51:00.000,00:54:00.000,缺乏开头观看理由与结尾收束；中段仅持物无实质交付；无法独立成完整片段,opening/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;medical_or_business_risk;possible_manual_extension;unlikely_rescue,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_021,rec_001,00:53:50.000,00:56:50.000,无明确开头观看理由、无中段实质性交付、无结尾收束；仅为持续讲解片段，缺乏结构完整性,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_022,rec_001,00:56:40.000,00:59:40.000,缺乏明确开头（无痛点引入/观看理由）、中段交付不完整（动作孤立，无步骤逻辑）、结尾无收束；全程无字幕支撑，关键信息缺失,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_023,rec_001,00:59:30.000,01:02:30.000,无明确开头观看理由（仅坐姿持物，无语言/字幕支撑）、中段仅为动作序列无方法讲解、结尾无收束；不满足完整候选三要素,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_024,rec_001,01:02:20.000,01:05:20.000,缺乏完整结构：无明确开头理由、中段无可验证交付内容、结尾无收束；动作重复但无教学逻辑显性呈现,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_025,rec_001,01:05:10.000,01:08:10.000,缺乏开头观看理由、中段方法交付与结尾收束；仅为静态姿势重复帧，无信息增量,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_026,rec_001,01:08:00.000,01:11:00.000,无明确开头（无观看理由/问题引入）、无中段讲解/原理/目标说明、无结尾收束；仅为动作序列片段,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_027,rec_001,01:10:50.000,01:13:50.000,仅有静态画面，无开头理由、中段交付、结尾收束；缺乏动作流程与信息传递,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_028,rec_001,01:13:40.000,01:16:40.000,无明确开头理由陈述、无中段动作交付过程、无结尾收束；画面静态重复，缺乏信息增量,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;medical_or_business_risk;possible_manual_extension,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_029,rec_001,01:16:30.000,01:19:30.000,无开头观看理由、无中段真实交付、无结尾收束；仅重复动作片段，无教学结构；强光过曝导致关键帧信息缺失,opening/middle/ending/evidence/continuity,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;continuity_risk;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_030,rec_001,01:19:20.000,01:22:20.000,缺乏开头观看理由（无问题引入/目标声明）、无中段方法交付（仅动作无讲解）、无结尾收束（未停止动作/总结/过渡）,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_031,rec_001,01:22:10.000,01:25:10.000,开头缺失观看理由（无痛点引入/目标声明），中段动作无方法拆解证据，结尾无收束；仅靠动作无法构成完整教学单元,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_032,rec_001,01:25:00.000,01:28:00.000,无完整起承转合结构：缺失观看理由（开头）、无方法逻辑闭环（中段仅为动作堆叠）、无自然收束（结尾仅姿态变化）,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_033,rec_001,01:27:50.000,01:30:50.000,缺乏开头观看理由（无问题陈述/目标声明）、中段无方法逻辑链（仅动作无解释）、结尾无自然收束（无总结/过渡语）；所有关键要素均依赖口播推断，画面证据不足,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;medical_or_business_risk;possible_manual_extension,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_034,rec_001,01:30:40.000,01:33:40.000,无明确开头观看理由、无中段可验证交付、无结尾收束；仅呈现片段化动作，缺乏结构完整性,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_035,rec_001,01:33:30.000,01:36:30.000,无明确开头观看理由（未说明‘为什么看这个’）、中段无结构化交付（仅持物+手势，无方法/步骤/原理）、结尾突兀躺倒无收束；缺乏连续叙事逻辑,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;continuity_risk;medical_or_business_risk;possible_manual_extension,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_036,rec_001,01:36:20.000,01:39:20.000,无明确开头引入、无中段方法交付（仅静态姿势）、无结尾收束；缺乏语言/字幕/动作逻辑链,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
