video_id,file_name,analysis_route,ali_model_called,primary_model,primary_status,primary_latency_ms,primary_retry_count,high_review_required,high_review_called,high_model,high_status,high_latency_ms,final_model,final_status,error_type,error_summary,summary_local_path_ignored,created_at
fv_0001,30+产后妈妈居家必练动作.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,20579,0,yes,yes,qwen-vl-max,success,22578,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0001.json,2026-06-30T00:43:55+08:00
fv_0002,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,22621,0,yes,yes,qwen-vl-max,success,25036,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0002.json,2026-06-30T00:47:43+08:00
fv_0003,4月17日(1).mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,22359,0,yes,yes,qwen-vl-max,success,23229,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0003.json,2026-06-30T00:48:28+08:00
fv_0004,5月26日 (2).mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,24680,0,yes,yes,qwen-vl-max,success,22883,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0004.json,2026-06-30T00:49:16+08:00
fv_0005,5月26日(1).mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,21853,0,yes,yes,qwen-vl-max,success,25573,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0005.json,2026-06-30T00:50:04+08:00
fv_0006,5月26日.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,19960,0,yes,yes,qwen-vl-max,success,21885,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0006.json,2026-06-30T00:50:46+08:00
fv_0007,5月27日 (1).mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,20326,1,yes,yes,qwen-vl-max,success,24369,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0007.json,2026-06-30T00:51:50+08:00
fv_0008,5月27日.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,19122,0,no,no,,,,qwen3-vl-plus,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0008.json,2026-06-30T00:52:09+08:00
fv_0009,70%女性中招的盆底肌误区.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,24160,0,yes,yes,qwen-vl-max,success,25341,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0009.json,2026-06-30T00:52:59+08:00
fv_0010,Z宫下垂盆底无力就练臀桥呼吸.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,22108,0,yes,yes,qwen-vl-max,success,25953,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0010.json,2026-06-30T00:53:47+08:00
fv_0011,产后漏尿能自己好吗.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,18890,0,yes,yes,qwen-vl-max,success,17763,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0011.json,2026-06-30T00:54:24+08:00
fv_0012,你的小肚子凸可能不是胖.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,25750,0,yes,yes,qwen-vl-max,success,30868,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0012.json,2026-06-30T00:55:21+08:00
fv_0013,先减肥还是先改善漏尿.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,22162,0,yes,yes,qwen-vl-max,success,21963,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0013.json,2026-06-30T00:56:05+08:00
fv_0014,别再疯狂练收紧可能越练越漏尿.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,22060,0,yes,yes,qwen-vl-max,success,22305,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0014.json,2026-06-30T00:56:49+08:00
fv_0015,单纯练凯格尔能改善漏尿吗.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,23100,0,no,no,,,,qwen3-vl-plus,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0015.json,2026-06-30T00:57:12+08:00
fv_0016,妈妈臀 臀凹陷一个动作饱满臀部.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,20423,0,yes,yes,qwen-vl-max,success,25594,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0016.json,2026-06-30T00:57:59+08:00
fv_0017,30岁的女性练八爪鱼要多久6.2（4）.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,19360,0,no,no,,,,qwen3-vl-plus,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0017.json,2026-06-30T00:58:18+08:00
fv_0018,40岁女性练八爪鱼需要多久呢.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,21792,0,yes,yes,qwen-vl-max,success,25159,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0018.json,2026-06-30T00:59:05+08:00
fv_0019,40岁女性练出J致的盆底肌需要多久？6.1.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,21225,0,yes,yes,qwen-vl-max,success,24657,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0019.json,2026-06-30T00:59:51+08:00
fv_0020,40岁女性都想拥有灵动蜜桃臀6.15.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,22329,0,yes,yes,qwen-vl-max,success,24331,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0020.json,2026-06-30T01:00:38+08:00
fv_0021,40岁的女性修复盆底肌要多久.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,25070,0,yes,yes,qwen-vl-max,success,24062,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0021.json,2026-06-30T01:01:27+08:00
fv_0022,40岁的女性修复盆底肌要多久？.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,24096,0,yes,yes,qwen-vl-max,success,26354,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0022.json,2026-06-30T01:02:18+08:00
fv_0023,40岁的女性练出八爪鱼要多久.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,54537,0,yes,yes,qwen-vl-max,success,27135,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0023.json,2026-06-30T01:03:39+08:00
fv_0024,40岁的女性练出八爪鱼需要多久？.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,22523,0,yes,yes,qwen-vl-max,success,25802,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0024.json,2026-06-30T01:04:28+08:00
fv_0025,40＋的女性修复盆底肌要多久6.15.mp4,original_video_ffmpeg_frames_to_ali_vision_contact_sheet,yes,qwen3-vl-plus,success,23483,0,yes,yes,qwen-vl-max,success,22668,qwen-vl-max,success,,,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/model_summaries/fv_0025.json,2026-06-30T01:05:14+08:00
