visual_review_id,candidate_id,pair_group_id,recording_id,usable_structure_name,talk_start_time,talk_end_time,action_start_time,action_end_time,selection_score,sample_select_reason,local_full_context_path,local_full_context_exists
VAR001,live_cand_0006,pair_0006,rec_001,问题问答 + 原因解释 + 方法边界,00:14:00.000,00:16:00.000,00:14:00.000,00:16:00.000,113,score=113; keyword_count=7; previous_score=11; structure=问题问答 + 原因解释 + 方法边界; recording_coverage=rec_001; local_full_context_exists=true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/02_问题问答_原因解释方法边界/A002_live_cand_0006_pair_0006_rec_001/03_完整上下文_full_context.mp4,true
VAR002,live_cand_0164,pair_0164,rec_004,问题问答 + 原因解释 + 方法边界,00:14:00.000,00:16:00.000,00:14:00.000,00:16:00.000,113,score=113; keyword_count=7; previous_score=11; structure=问题问答 + 原因解释 + 方法边界; recording_coverage=rec_004; local_full_context_exists=true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/02_问题问答_原因解释方法边界/A077_live_cand_0164_pair_0164_rec_004/03_完整上下文_full_context.mp4,true
VAR003,live_cand_0063,pair_0063,rec_002,工具/动作演示 + 发力口令 + 低压跟练收束,00:18:00.000,00:20:00.000,00:18:00.000,00:20:00.000,108,score=108; keyword_count=5; previous_score=9; structure=工具/动作演示 + 发力口令 + 低压跟练收束; recording_coverage=rec_002; local_full_context_exists=true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A030_live_cand_0063_pair_0063_rec_002/03_完整上下文_full_context.mp4,true
VAR004,live_cand_0113,pair_0113,rec_003,工具/动作演示 + 发力口令 + 低压跟练收束,00:18:00.000,00:20:00.000,00:18:00.000,00:20:00.000,108,score=108; keyword_count=5; previous_score=9; structure=工具/动作演示 + 发力口令 + 低压跟练收束; recording_coverage=rec_003; local_full_context_exists=true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A051_live_cand_0113_pair_0113_rec_003/03_完整上下文_full_context.mp4,true
VAR005,live_cand_0023,pair_0023,rec_001,工具/动作演示 + 发力口令 + 低压跟练收束,00:48:00.000,00:50:00.000,00:48:00.000,00:50:00.000,107,score=107; keyword_count=4; previous_score=9; structure=工具/动作演示 + 发力口令 + 低压跟练收束; recording_coverage=rec_001; local_full_context_exists=true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A013_live_cand_0023_pair_0023_rec_001/03_完整上下文_full_context.mp4,true
VAR006,live_cand_0084,pair_0084,rec_002,工具/动作演示 + 发力口令 + 低压跟练收束,01:00:00.000,01:02:00.000,01:00:00.000,01:02:00.000,107,score=107; keyword_count=4; previous_score=9; structure=工具/动作演示 + 发力口令 + 低压跟练收束; recording_coverage=rec_002; local_full_context_exists=true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/04_工具动作演示_发力口令低压跟练收束/A040_live_cand_0084_pair_0084_rec_002/03_完整上下文_full_context.mp4,true
VAR007,live_cand_0081,pair_0081,rec_002,痛点/人群点名 + 单动作完整循环 + 坚持建议,00:54:00.000,00:56:00.000,00:54:00.000,00:56:00.000,103,score=103; keyword_count=5; previous_score=9; structure=痛点/人群点名 + 单动作完整循环 + 坚持建议; recording_coverage=rec_002; local_full_context_exists=true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/03_痛点人群点名_单动作完整循环坚持建议/A038_live_cand_0081_pair_0081_rec_002/03_完整上下文_full_context.mp4,true
VAR008,live_cand_0123,pair_0123,rec_003,痛点/人群点名 + 单动作完整循环 + 坚持建议,00:38:00.000,00:40:00.000,00:38:00.000,00:40:00.000,103,score=103; keyword_count=5; previous_score=9; structure=痛点/人群点名 + 单动作完整循环 + 坚持建议; recording_coverage=rec_003; local_full_context_exists=true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/03_痛点人群点名_单动作完整循环坚持建议/A056_live_cand_0123_pair_0123_rec_003/03_完整上下文_full_context.mp4,true
VAR009,live_cand_0066,pair_0066,rec_002,痛点/人群点名 + 单动作完整循环 + 坚持建议,00:24:00.000,00:26:00.000,00:24:00.000,00:26:00.000,99,score=99; keyword_count=4; previous_score=9; structure=痛点/人群点名 + 单动作完整循环 + 坚持建议; recording_coverage=rec_002; local_full_context_exists=true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/03_痛点人群点名_单动作完整循环坚持建议/A033_live_cand_0066_pair_0066_rec_002/03_完整上下文_full_context.mp4,true
VAR010,live_cand_0130,pair_0130,rec_003,痛点/人群点名 + 单动作完整循环 + 坚持建议,00:52:00.000,00:54:00.000,00:52:00.000,00:54:00.000,99,score=99; keyword_count=4; previous_score=9; structure=痛点/人群点名 + 单动作完整循环 + 坚持建议; recording_coverage=rec_003; local_full_context_exists=true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/03_痛点人群点名_单动作完整循环坚持建议/A061_live_cand_0130_pair_0130_rec_003/03_完整上下文_full_context.mp4,true
VAR011,live_cand_0051,pair_0051,rec_001,误区/错误先抛 + 正确动作对比 + 原因解释,01:46:00.000,01:48:00.000,01:46:00.000,01:48:00.000,98,score=98; keyword_count=5; previous_score=11; structure=误区/错误先抛 + 正确动作对比 + 原因解释; recording_coverage=rec_001; local_full_context_exists=true,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_live_A_editor_package/01_误区错误纠正_错误动作正确动作原因解释/A027_live_cand_0051_pair_0051_rec_001/03_完整上下文_full_context.mp4,true
