_source_file_id,_source_line_number,_source_path,qa_id,lesson_id,question_or_objection,answer_or_response,source_quote,timecode,response_type,can_bridge_to_live,review_flag
SRC13404,2,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/09_问题_答案_异议_回应_QA_objection_response_bank.csv,Q00001,L1071,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0007,课程内问题/问题候选,候选，需人工复核,needs_human_review
SRC13404,3,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/09_问题_答案_异议_回应_QA_objection_response_bank.csv,Q00002,L0001,我们怎么样就通过技巧,[已脱敏_仅保留高层词族:sensitive_adult_or_health_risk; 原文细节未复制; review_gate=professional_review_required],我们怎么样就通过技巧,00:00:23.640,课程内问题/问题候选,候选，需人工复核,needs_human_review
SRC13404,4,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/09_问题_答案_异议_回应_QA_objection_response_bank.csv,Q00003,L0001,我们怎么选择,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],我们怎么选择,00:01:01.080,课程内问题/问题候选,候选，需人工复核,needs_human_review
SRC13404,5,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/09_问题_答案_异议_回应_QA_objection_response_bank.csv,Q00004,L0001,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],00:01:04.040,课程内问题/问题候选,候选，需人工复核,needs_human_review
SRC13404,6,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/09_问题_答案_异议_回应_QA_objection_response_bank.csv,Q00005,L0001,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],来让自己变得更健康,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],00:01:06.240,课程内问题/问题候选,候选，需人工复核,needs_human_review
SRC13404,7,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/09_问题_答案_异议_回应_QA_objection_response_bank.csv,Q00006,L0001,是不是很想要去听今天的课程呢,那首先我们再说,是不是很想要去听今天的课程呢,00:01:14.440,课程内问题/问题候选,候选，需人工复核,needs_human_review
SRC13404,8,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/09_问题_答案_异议_回应_QA_objection_response_bank.csv,Q00007,L0001,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],很多姐妹们说,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],00:01:20.240,课程内问题/问题候选,候选，需人工复核,needs_human_review
SRC13404,9,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/09_问题_答案_异议_回应_QA_objection_response_bank.csv,Q00008,L0002,为什么呢,[已脱敏_仅保留高层词族:sensitive_adult_or_health_risk; 原文细节未复制; review_gate=professional_review_required],为什么呢,00:00:09.460,课程内问题/问题候选,候选，需人工复核,needs_human_review
SRC13404,10,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/09_问题_答案_异议_回应_QA_objection_response_bank.csv,Q00009,L0002,[已脱敏_仅保留高层词族:sensitive_adult_or_health_risk; 原文细节未复制; review_gate=professional_review_required],[已脱敏_仅保留高层词族:sensitive_adult_or_health_risk; 原文细节未复制; review_gate=professional_review_required],[已脱敏_仅保留高层词族:sensitive_adult_or_health_risk; 原文细节未复制; review_gate=professional_review_required],00:00:49.560,课程内问题/问题候选,候选，需人工复核,needs_human_review
SRC13404,11,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/09_问题_答案_异议_回应_QA_objection_response_bank.csv,Q00010,L0002,所以我们怎么在后入式的时候,也能够轻松拿捏和掌控呢,所以我们怎么在后入式的时候,00:01:06.360,课程内问题/问题候选,候选，需人工复核,needs_human_review
