problem_category_id,problem_category_name_cn,definition,source_keyword_families,recommended_structure,required_evidence,risk_gate,usable_status,source_file_ids
pelvic_floor_training,盆底/私密训练,训练类文本命中，可作为动作候选筛选入口。,盆底/私密训练/收紧/放松,痛点/人群点名 + 单动作完整循环 + 坚持建议,完整动作循环、发力方向、呼吸/次数口令、无遮挡画面。,professional_review_required; health_claim_review_required,text_keyword_confirmed_visual_pending_review,SRC13403;SRC13454
breathing_coordination,呼吸配合,口令/节奏辅助字段，不能替代动作证据。,呼吸/气息/配合,工具/动作演示 + 发力口令 + 低压跟练收束,口令与动作节奏同步，至少一次完整循环。,professional_review_required,text_keyword_confirmed_visual_pending_review,SRC13403;SRC13454
relationship_desire_problem,亲密关系诉求/伴侣感受,提升关系、伴侣感受、亲密互动等文本问题候选。,伴侣/亲密关系/愉悦度/感受,痛点问题 + 原因解释 + 方法交付,完整问题句、原因链、方法边界，不写关系改善已成立。,medium_sensitive_relationship; customer_review_if_business_claim,text_screening_candidate_pending_customer_review,SRC13403;SRC13454;SRC00087;SRC06157;SRC13404
posture_selection_problem,亲密姿势选择问题,围绕姿势选择、适配、怎么做的敏感课程文本候选。,体位/姿势/适合自己/怎么选择,问题问答 + 原因解释 + 方法边界,仅可保留高层主题和边界；不能写具体操作教程。,high_sensitive_intimate_instruction; compliance_review_required,do_not_auto_publish_high_sensitive,SRC13403;SRC13454;SRC00087;SRC06157;SRC13404
body_matching_problem,身体适配/结构匹配问题,身体差异、适配、结构匹配类表达。,身体结构/匹配/适配,问题问答 + 原因解释 + 方法边界,专业与合规复核；不能写身体结论已确认。,high_sensitive_body_claim; professional_review_required,professional_review_required_before_use,SRC13403;SRC13454
breath_pelvic_floor_control_problem,呼吸/盆底控制问题,呼吸配合、盆底收缩放松、发力方向类问题。,呼吸/盆底/收紧/放松/发力,痛点/人群点名 + 单动作完整循环 + 坚持建议,完整动作循环、口令、发力方向；需专业复核。,high_health_action_professional; health_claim_review_required,health_action_risk_pending_professional_review,SRC13403;SRC13454
discomfort_symptom_problem,不适/症状/健康风险问题,不舒服、干燥、异味、漏尿、疼痛等症状或健康风险类文本。,不舒服/干燥/异味/漏尿/疼痛,问题问答 + 原因解释 + 方法边界,必须保留非诊断边界和专业复核状态。,critical_health_claim_review_required; professional_review_required,health_claim_pending_professional_review,SRC13403;SRC13454
product_or_care_usage_problem,产品/护理使用问题,精油、护理产品、工具辅助等产品或护理使用文本。,精油/产品/护理/按摩/工具,工具/动作演示 + 发力口令 + 低压跟练收束,产品功效、使用边界、客户/合规确认。,critical_product_effect_review_required; customer_review_required,product_effect_pending_customer_compliance_review,SRC13403;SRC13454
body_position_technique_sensitive,亲密姿势/体位技巧,成人亲密关系课程主题，只做高层主题和合规待审标记。,体位技巧/姿势/亲密姿势词族,问题问答 + 原因解释 + 方法边界,客户、合规、专业边界确认；本轮不确认视觉动作。,compliance_review_required; customer_review_required; professional_review_required,do_not_auto_publish_high_sensitive,SRC13403;SRC13454
touch_or_tool_method_sensitive,触碰/工具方法,工具或触碰类主题，只作为风险和主题标签。,按摩/工具/产品辅助词族,工具/动作演示 + 发力口令 + 低压跟练收束,工具位置、遮挡风险、适用边界均需人工确认。,compliance_review_required; customer_review_required; professional_review_required,do_not_auto_publish_high_sensitive,SRC13403;SRC13454
relationship_communication,亲密关系/伴侣沟通,问题、原因、方法边界类文本候选。,亲密关系/伴侣/沟通/情感,痛点问题 + 原因解释 + 方法交付,完整主语、原因链、边界句。,customer_review_if_business_claim; compliance_review_if_sensitive,text_screening_candidate_pending_customer_review,SRC13403;SRC13454;SRC00087;SRC06157;SRC13404
course_offer_or_business,课程/业务事实,课程、助理、转化相关词，必须客户确认。,课程/助理/报名/专场,问题问答 + 原因解释 + 方法边界,课程名称、权益、价格、链接、口径均需客户确认。,customer_review_required; business_fact_review_required,business_fact_pending_customer_review,SRC13403;SRC13454
presentation_delivery,数字人/讲师呈现动作,讲解手势、表情、视线、镜头等呈现层动作。,neutral_idle/hand_open_explain/serious_emphasis,痛点问题 + 原因解释 + 方法交付,口播、手势、视线、表情同向。,visual_review_required,bridge_only_pending_human_review,SRC00057;SRC00058;SRC00341;SRC00342;SRC06162;SRC06163;SRC06164;SRC06165;SRC06166;SRC06167;SRC06168;SRC06169;SRC06170;SRC06171;SRC06172;SRC06173;SRC06174;SRC06175;SRC06176;SRC06177;SRC06178
courseware_attention,课件/屏幕重点承接,课件指向、高亮、鼠标或视线关注。,hand_point_screen/highlight_focus/eye_to_slide,工具/动作演示 + 发力口令 + 低压跟练收束,OCR/课件文字和动作指向同题。,visual_review_required; ocr_review_required,screening_helper_pending_visual_review,SRC00057;SRC00058;SRC00341;SRC00342;SRC06162;SRC06163;SRC06164;SRC06165;SRC06166;SRC06167;SRC06168;SRC06169;SRC06170;SRC06171;SRC06172;SRC06173;SRC06174;SRC06175;SRC06176;SRC06177;SRC06178
risk_boundary,注意事项/风险边界,警示、禁忌、适用/不适用边界。,warning_reminder/serious_emphasis/注意/不要,结果前置 + 操作过程 + 注意事项/风险边界,不要删掉风险提醒和适用边界。,professional_review_required; compliance_review_required,risk_gate_required_before_live_use,SRC00057;SRC00058;SRC00341;SRC00342;SRC06162;SRC06163;SRC06164;SRC06165;SRC06166;SRC06167;SRC06168;SRC06169;SRC06170;SRC06171;SRC06172;SRC06173;SRC06174;SRC06175;SRC06176;SRC06177;SRC06178;SRC00087;SRC06157;SRC13404
visual_review_blocker,视觉低置信/不可用,OCR/人脸/动作/画面不可确认时的阻断类。,low_confidence/no_face/scene_no_presenter/OCR unavailable,日期/主题不明素材 + 待视觉复核索引,重新抽帧、人工看原片或视觉模型复核。,visual_review_required,manual_review_only,SRC00057;SRC00058;SRC00341;SRC00342;SRC06162;SRC06163;SRC06164;SRC06165;SRC06166;SRC06167;SRC06168;SRC06169;SRC06170;SRC06171;SRC06172;SRC06173;SRC06174;SRC06175;SRC06176;SRC06177;SRC06178
