rule_id,trigger_type,trigger_detail,sample_count,required_middle_delivery,allowed_ending_styles,start_boundary_advice,end_boundary_advice,must_have_evidence,discard_if,example_video_ids,manual_review_note
ali_fgr_001,人群点名,盆底肌松弛,2,动作演示,结果重申；动作完成,从00:00:00.000开始，保留首帧完整标题字幕与坐姿起始动作,截至于00:00:23.984，含‘消失了’字幕与卡通图示完整帧,00:00:04.380（抽空坐在这个小球上）、00:00:07.787（手扶颈后）、00:00:11.680（坐椅夹球）、00:00:15.574（上下拍击100次）、00:00:19.467（魔力转圈圈100次）,若字幕‘消失了’被证实为未经临床验证的绝对化效果承诺，或无医疗免责声明时应放弃,fv_0048；fv_0082,健康/动作/业务承诺仍需人工复核
ali_fgr_002,痛点可视化,产后臀凹陷,2,动作演示,动作完成,从00:00:00.000开始，保留首帧痛点字幕与体态画面,截至00:00:16.159，确保最后一帧为完整动作定格+指令字幕,00:00:05.283–00:00:13.207：多帧重复‘一组八次 上下左右每天10组’+右侧竖排‘不会发力看这里’，呈现正确动作与发力提示的对比式分步演示,若实际视频中无‘不会发力看这里’等关键提示字幕，或动作演示模糊无法区分正误，则应放弃,fv_0008；fv_0058,健康/动作/业务承诺仍需人工复核
ali_fgr_003,痛点可视化,产后骨盆外翻,2,动作演示,自我觉察提问；轻行动（休息一下）,从00:00:00.000开始，保留标题帧及首动作准备态,截至于00:00:41.005，含最后觉察提问帧，避免截断在动作中途,00:00:07.444（臀部对比图+‘骨盆外翻假胯宽’字幕）、00:00:13.234（手放手腕动作）、00:00:19.850（晃动动作）、00:00:26.467（呼气内收）、00:00:33.084（双手抱膝）,若无明确禁忌提示或适用人群限定，且字幕存在绝对化效果承诺（如‘告别困扰’）时应放弃,fv_0059；fv_0060,健康/动作/业务承诺仍需人工复核
ali_fgr_004,痛点可视化,太紧的不要练,2,动作演示,结果重申,从00:00:00.000主讲人入画+字幕完整呈现处开始,截至于00:00:11.469动作完成帧，避免黑场或静止帧拖尾,00:00:02.127–00:00:09.455：重复跪姿前倾动作序列，下方三阶段图解（膀胱/腹肌/骨盆变化）同步出现,若实际口播含‘治愈’‘根治’‘医院同款’等医疗宣称，或动作与图解解剖结构明显矛盾时应放弃,fv_0074；fv_0078,健康/动作/业务承诺仍需人工复核
ali_fgr_005,结果承诺,小肚子平了,2,动作演示；单动作循环演示,结果重申；动作完成态展示,从00:00:00.000开始，保留首帧标题字幕与主讲人正面亮相,截至00:00:14.719动作终态帧，避免冗余重复帧（如00:00:12.055与14.719差异微小）,00:00:02.712–00:00:12.055：连续4帧展示同一动作不同阶段（坐姿→手臂上举→后仰→还原），字幕重复‘呼气向前顶 吸气向后坐’及组数要求,若字幕中‘盆底肌紧了’被证实缺乏医学依据或未标注适用禁忌，则应放弃；或当动作实际无法达成所述效果（如小球支撑下无法有效激活盆底肌）时,fv_0038；fv_0094,健康/动作/业务承诺仍需人工复核
ali_fgr_006,结果承诺,肚子不平,2,多角度动作演示；动作演示,动作完成定格；动作完成,从00:00:00.000开始，保留首帧完整字幕与人物正面亮相,截至00:00:15.230动作定格帧，避免黑场或无声拖尾,00:00:01.000–00:00:12.464（连续7帧展示跪姿、坐凳、俯身、侧卧等不同体位使用小球的动作，无步骤拆解或口令提示）,若字幕中‘省去大几万科技费’‘练出八爪鱼’被平台判定为医疗效果承诺或误导性宣传，则整条应放弃,fv_0041；fv_0092,健康/动作/业务承诺仍需人工复核
ali_fgr_007,结果承诺,腰粗,2,动作演示,无明确收束；结果重申,从00:00:00.000开始，保留首帧标题画面,截至00:00:10.161（动作循环第6帧），避免末帧无效延续,00:00:01.000–00:00:10.161：连续7帧均为同一跪姿动作循环（双手抱臂前推+躯干微后仰），字幕重复‘高段位女性都在练盆底…腹平了 腰细了 臀翘了’，无新动作或解释,若字幕中‘腰细了臀部翘了’无法通过医学依据支撑，或无免责声明时应放弃,fv_0075；fv_0077,健康/动作/业务承诺仍需人工复核
ali_fgr_008,人群点名,你以为你在练盆底肌,1,动作演示,动作完成,从00:00:00.000开始，保留坐姿持球帧作为视觉锚点,截至于00:00:33.737（平躺+号召字幕），避免后续可能存在的黑场或冗余帧,00:00:06.136至00:00:27.270连续四组动作帧：屈膝仰卧→脚跟拎起→臀桥抬起→回落，配‘快读的找到盆底肌发力’‘带动盆底肌’等分步字幕,若实际成片中缺失‘脚后跟拎起’或‘臀桥顶峰’关键动作帧，或字幕承诺‘收盆底’但动作未体现盆底肌协同激活证据，应放弃,fv_0046,健康/动作/业务承诺仍需人工复核
ali_fgr_009,人群点名,修复盆底肌要多久,1,单动作多角度演示,收益具象化,从00:00:00.000开始，保留首帧标题字幕与人物正面入镜,截至于00:00:18.435，避免后续可能存在的冗余重复或无效收尾,00:00:03.381至00:00:15.028（连续展示坐椅/跪姿/侧身位使用球练习，字幕含‘40岁女人’‘快7天慢半个月’‘不光能收紧紧致’）,若实际口播存在‘保证治愈’‘医疗级效果’等越界表述，或动作与字幕严重脱节时应放弃,fv_0025,健康/动作/业务承诺仍需人工复核
ali_fgr_010,人群点名,修复盆底肌要多久？,1,图解（盆底肌前后对比）、类比图（章鱼触手）、字幕递进解释,结果重申,从00:00:00.000开始，保留首帧完整字幕与人物正面构图,截至于00:00:18.156，确保‘少女股的包裹感’字幕完整显示且人物姿态稳定,00:00:05.922（侧身+字幕‘快7天慢半个月’）、00:00:08.883（背对+蓝色图示‘产后益底肌/修复后益底肌’）、00:00:11.844（背对+章鱼图解+‘不光能收紧紧致’）,若图解医学准确性存疑（如‘益底肌’错字、解剖图失真）或时间承诺缺乏依据支撑,fv_0022,健康/动作/业务承诺仍需人工复核
