candidate_id,source_file,speech_unit_id,speech_start_time,speech_end_time,speech_claimed_action,speech_claimed_problem,speech_claimed_function,visual_action_unit_id,action_start_time,action_end_time,observed_action_name,action_cycle_complete,visual_obstruction_status,logic_relation,same_action_check,same_problem_check,same_function_check,topic_break_check,usable_structure_name,p0_gate_result,reason,editor_task_potential,manual_review_items,talk_action_same_point,structure_folder,local_task_folder,full_context_path,speech_clip_path,action_clip_path,contact_sheet_path,model_used,visual_api_status,notes
R513_001,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,SU001,00:05:48.870,00:07:55.370,呼吸练习,胸部/乳房状态,配合呼吸完成练习,VA001,00:07:47.370,00:08:50.370,双手置于胸部区域做轻柔按压/抚触动作，伴随轻微呼吸起伏,unclear,clear,intercut,yes,yes,yes,no,工具/动作演示 + 发力口令 + 低压跟练收束,weak_related,动作/问题/目的/循环/遮挡任一项未全部达到 true_pair,no,弱相关待人工复核,呼吸练习 -> 双手置于胸部区域做轻柔按压/抚触动作，伴随轻微呼吸起伏,02_工具动作演示_发力口令低压跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M001_R513_001,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M001_R513_001/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M001_R513_001/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M001_R513_001/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M001_R513_001/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:07:50.520,00:08:03.120,00:08:15.720,00:08:28.320,00:08:40.920; forbidden_models_called=no"
R513_002,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,SU006,00:19:43.110,00:21:00.210,动作/练习口播,胸部/乳房状态,建立身体连接,VA002,00:20:52.210,00:21:55.210,双手合十置于胸前，身体微前倾，闭眼或低垂眼，似在静默感受或呼吸,unclear,clear,talk_before_action,no,unclear,no,yes,问题问答 + 原因解释 + 方法边界,logic_mismatch,视觉动作与口播动作不一致,no,错配剔除,动作/练习口播 -> 双手合十置于胸前，身体微前倾，闭眼或低垂眼，似在静默感受或呼吸,01_问题问答_原因解释方法边界,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M002_R513_002,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M002_R513_002/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M002_R513_002/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M002_R513_002/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M002_R513_002/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:20:55.360,00:21:07.960,00:21:20.560,00:21:33.160,00:21:45.760; forbidden_models_called=no"
R513_003,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,SU008,00:22:51.870,00:24:58.660,双手抬至肩高的呼吸动作,胸部/乳房状态,放松和降低紧张,VA003,00:22:47.870,00:25:20.660,双手置于胸前/肩高位置做缓慢开合或按压动作，伴随呼吸节奏,unclear,clear,intercut,yes,yes,yes,no,工具/动作演示 + 发力口令 + 低压跟练收束,weak_related,动作/问题/目的/循环/遮挡任一项未全部达到 true_pair,no,弱相关待人工复核,双手抬至肩高的呼吸动作 -> 双手置于胸前/肩高位置做缓慢开合或按压动作，伴随呼吸节奏,02_工具动作演示_发力口令低压跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M003_R513_003,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M003_R513_003/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M003_R513_003/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M003_R513_003/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M003_R513_003/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:22:55.510,00:23:26.067,00:23:56.625,00:24:27.184,00:24:57.742; forbidden_models_called=no"
R513_004,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,SU012,00:28:19.740,00:30:17.380,双手抬至肩高的呼吸动作,胸部/乳房状态,放松和降低紧张,VA004,00:28:15.740,00:30:39.380,双手抬至肩高、屈肘、手放于身体两侧，配合呼吸做胸廓扩张动作；后续出现一手轻触腋下区域,unclear,clear,intercut,yes,yes,yes,no,工具/动作演示 + 发力口令 + 低压跟练收束,weak_related,动作/问题/目的/循环/遮挡任一项未全部达到 true_pair,no,弱相关待人工复核,双手抬至肩高的呼吸动作 -> 双手抬至肩高、屈肘、手放于身体两侧，配合呼吸做胸廓扩张动作；后续出现一手轻触腋下区域,02_工具动作演示_发力口令低压跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M004_R513_004,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M004_R513_004/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M004_R513_004/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M004_R513_004/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M004_R513_004/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:28:22.922,00:28:51.650,00:29:20.378,00:29:49.106,00:30:17.834; forbidden_models_called=no"
R513_005,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,SU014,00:32:11.320,00:34:01.940,吸管式呼吸连接,呼吸短浅,建立身体连接,VA005,00:32:07.320,00:34:23.940,双手置于胸部/乳头区域，手指轻触或按压胸前位置，伴随呼吸节奏微调手位,no,clear,intercut,yes,yes,yes,no,工具/动作演示 + 发力口令 + 低压跟练收束,weak_related,动作/问题/目的/循环/遮挡任一项未全部达到 true_pair,no,弱相关待人工复核,吸管式呼吸连接 -> 双手置于胸部/乳头区域，手指轻触或按压胸前位置，伴随呼吸节奏微调手位,02_工具动作演示_发力口令低压跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M005_R513_005,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M005_R513_005/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M005_R513_005/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M005_R513_005/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M005_R513_005/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:32:14.151,00:32:41.475,00:33:08.799,00:33:36.123,00:34:03.447; forbidden_models_called=no"
R513_006,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,SU016,00:37:33.160,00:39:27.840,盆底/会阴收紧放松,胸部/乳房状态,建立身体连接,VA006,00:39:19.840,00:40:22.840,双手置于胸部区域，做轻柔按压/抚摸动作，伴随呼吸起伏,unclear,clear,unclear,no,no,no,yes,工具/动作演示 + 发力口令 + 低压跟练收束,logic_mismatch,视觉动作与口播动作不一致,no,错配剔除,盆底/会阴收紧放松 -> 双手置于胸部区域，做轻柔按压/抚摸动作，伴随呼吸起伏,02_工具动作演示_发力口令低压跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M006_R513_006,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M006_R513_006/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M006_R513_006/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M006_R513_006/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M006_R513_006/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:39:22.990,00:39:35.590,00:39:48.190,00:40:00.790,00:40:13.390; forbidden_models_called=no"
R513_007,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,SU018,00:40:32.510,00:42:24.740,动作/练习口播,胸部/乳房状态,动作教学,VA007,00:40:28.510,00:42:46.740,双手置于胸部前方，做轻柔环抱/托举+小幅揉动动作,unclear,clear,intercut,yes,yes,yes,no,工具/动作演示 + 发力口令 + 低压跟练收束,weak_related,动作/问题/目的/循环/遮挡任一项未全部达到 true_pair,no,弱相关待人工复核,动作/练习口播 -> 双手置于胸部前方，做轻柔环抱/托举+小幅揉动动作,02_工具动作演示_发力口令低压跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M007_R513_007,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M007_R513_007/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M007_R513_007/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M007_R513_007/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M007_R513_007/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:40:35.422,00:41:03.068,00:41:30.714,00:41:58.360,00:42:26.005; forbidden_models_called=no"
R513_008,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,SU021,00:47:41.750,00:49:50.410,云门/中府区域点按,胸部/乳房状态,点按激活,VA008,00:47:37.750,00:50:12.410,unclear,unclear,unclear,intercut,unclear,unclear,unclear,unclear,工具/动作演示 + 发力口令 + 低压跟练收束,manual_review,qwen3-vl-plus:failed:<urlopen error EOF occurred in violation of protocol (_ssl.c:1129)> | qwen-vl-max:failed:The read operation timed out,no,需人工复核视觉动作,云门/中府区域点按 -> unclear,02_工具动作演示_发力口令低压跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M008_R513_008,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M008_R513_008/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M008_R513_008/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M008_R513_008/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M008_R513_008/04_视觉证据_contact_sheet.jpg,,failed,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:47:45.483,00:48:16.415,00:48:47.347,00:49:18.279,00:49:49.211; forbidden_models_called=no"
R513_009,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,SU023,00:51:12.710,00:52:38.490,动作/练习口播,动作相关问题,放松和降低紧张,VA009,00:51:08.710,00:53:00.490,双手在腹部位置进行按压和呼吸配合的动作,yes,clear,intercut,yes,yes,yes,no,问题问答 + 原因解释 + 方法边界,true_pair,同动作、同问题、同目的、动作循环、遮挡和顺序字段均满足 P0,yes_pending_user_review,进入剪辑任务候选，仍需用户人审,动作/练习口播 -> 双手在腹部位置进行按压和呼吸配合的动作,01_问题问答_原因解释方法边界,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_logic_first_video_package/01_问题问答_原因解释方法边界/R001_R513_009,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_logic_first_video_package/01_问题问答_原因解释方法边界/R001_R513_009/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_logic_first_video_package/01_问题问答_原因解释方法边界/R001_R513_009/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_logic_first_video_package/01_问题问答_原因解释方法边界/R001_R513_009/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_logic_first_video_package/01_问题问答_原因解释方法边界/R001_R513_009/04_视觉证据_contact_sheet.jpg,qwen-vl-max,success,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:51:14.299,00:51:36.655,00:51:59.011,00:52:21.367,00:52:43.723; forbidden_models_called=no"
R513_010,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,SU024,00:56:10.590,00:58:03.360,胸部呼吸/胸腔扩张,胸部/乳房状态,点按激活,VA010,00:57:55.360,00:58:58.360,单手置于胸前，另一手置于颈侧/腋下区域，做静态按压或轻触姿势，未见明显划圈动作,no,clear,talk_before_action,no,unclear,no,yes,工具/动作演示 + 发力口令 + 低压跟练收束,logic_mismatch,视觉动作与口播动作不一致,no,错配剔除,胸部呼吸/胸腔扩张 -> 单手置于胸前，另一手置于颈侧/腋下区域，做静态按压或轻触姿势，未见明显划圈动作,02_工具动作演示_发力口令低压跟练收束,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M009_R513_010,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M009_R513_010/03_完整上下文_full_context.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M009_R513_010/01_口播段_speech.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M009_R513_010/02_动作段_action.mp4,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_513_manual_review_pool/06_人工复核池/M009_R513_010/04_视觉证据_contact_sheet.jpg,qwen3-vl-plus,success,"not_old_102_entry; sheet_status=created_pil; frame_timecodes=00:57:58.510,00:58:11.110,00:58:23.710,00:58:36.310,00:58:48.910; forbidden_models_called=no"
